Entropy,NumTrajs,ExplainedVariance,MinReturn,Time,MaxReturn,Perplexity,LossBefore,AverageReturn,AveragePolicyStd,MaxKL,LossAfter,MeanKL,TotalExecTime,StdReturn,ItrTime
2.38378,200,0.994075559096,2300.0,925.3711657524109,2900.0,10.8458,-0.0243494,2677.0,0.797083,0.0643121,-0.0280218,0.0130256,33.0351448059082,125.183864775,33.2817063331604
2.37161,200,0.995079434793,2300.0,958.7570290565491,2900.0,10.7146,-0.00693296,2671.0,0.792209,0.0180076,-0.00882276,0.00681934,33.08230805397034,121.074357318,33.3694007396698
2.36814,200,0.994670737757,2300.0,990.955001115799,2900.0,10.6775,-0.0186735,2669.0,0.790797,0.00422515,-0.0200363,0.00174416,31.873762130737305,116.786129313,32.18043065071106
2.3588,200,0.994270139333,2200.0,1024.9725224971771,3000.0,10.5783,-0.0195671,2672.5,0.787082,0.00415333,-0.020541,0.00115524,33.67709469795227,129.975959316,33.98761606216431
2.34902,200,0.993541813417,2200.0,1057.0583398342133,2900.0,10.4753,-0.00265225,2652.5,0.783182,0.0485906,-0.00661804,0.0157273,31.76106595993042,134.884209602,32.08128786087036
2.34769,200,0.993207363243,2300.0,1091.4714546203613,3000.0,10.4614,-0.00404159,2663.5,0.782663,0.00823522,-0.00514422,0.0035918,34.0734806060791,141.837054397,34.392343044281006
2.34567,200,0.99413408366,2300.0,1127.785700559616,3100.0,10.4403,-0.025742,2682.5,0.781854,0.00387171,-0.0266463,0.0015111,35.97804379463196,119.347182623,36.30936527252197
2.3328,200,0.993893695906,2300.0,1163.8055384159088,2900.0,10.3068,-0.0231148,2664.5,0.776847,0.0982341,-0.0281681,0.0221063,35.70710039138794,123.651728658,36.001734256744385
2.32124,200,0.994595257827,2400.0,1200.3603978157043,3000.0,10.1883,-0.0092981,2669.0,0.772412,0.0843054,-0.0129666,0.0211292,36.157456159591675,118.907527096,36.526167154312134
2.31659,200,0.995076401754,2400.0,1236.239783525467,3000.0,10.1411,-0.00194195,2671.5,0.770644,0.038777,-0.0037411,0.0091044,35.528424978256226,118.902270794,35.86256957054138
2.31562,200,0.994584727434,2300.0,1271.7177209854126,2900.0,10.1312,-0.00334545,2663.0,0.770244,0.042925,-0.00725117,0.0127857,35.09243178367615,118.87388275,35.46180176734924
2.31395,200,0.994358183442,2200.0,1307.229756116867,3000.0,10.1143,-0.00378994,2663.5,0.769643,0.130108,-0.0114021,0.0357145,35.08948063850403,118.396579342,35.499030351638794
2.31206,200,0.994610122038,2200.0,1342.6853742599487,3000.0,10.0952,-0.0108453,2673.0,0.768889,0.0313018,-0.0125113,0.00899796,35.03854203224182,127.949208673,35.44156813621521
2.30663,200,0.994006006004,2300.0,1378.8657217025757,2900.0,10.0406,-0.0275114,2672.5,0.766827,0.0498478,-0.0309554,0.0169798,35.75835347175598,126.466398699,36.16122484207153
2.29288,200,0.994768286835,2300.0,1414.3378012180328,2900.0,9.90339,-0.0149342,2674.5,0.7616,0.0388727,-0.018118,0.0137468,35.03461766242981,114.454139287,35.455666303634644
2.28541,200,0.995466557277,2400.0,1450.3499867916107,2900.0,9.82972,-0.00304958,2667.0,0.758756,0.0295639,-0.0050752,0.00865682,35.558361291885376,105.882009803,35.99366116523743
2.28389,200,0.994954975008,2300.0,1486.4299597740173,2900.0,9.81475,-0.00939388,2667.5,0.758198,0.0139331,-0.0108216,0.00534439,35.6332049369812,117.871752341,36.066468477249146
2.27919,200,0.994379869379,2300.0,1522.4658341407776,3100.0,9.76876,-0.0067226,2676.5,0.756437,0.0440642,-0.00916864,0.0130706,35.60563111305237,128.053699673,36.02513670921326
2.27583,200,0.994688575228,2300.0,1559.6657609939575,2900.0,9.73597,-0.0128957,2684.5,0.755139,0.00989184,-0.0136137,0.00193657,36.74095845222473,115.367889813,37.187541246414185
2.26938,200,0.994667304735,2300.0,1595.849815607071,2900.0,9.6734,-0.0160465,2664.0,0.752679,0.0496919,-0.0186904,0.0152251,35.74878406524658,121.26005113,36.17113375663757
2.26136,200,0.994525490682,2200.0,1631.9563829898834,3000.0,9.5961,-0.0185117,2689.0,0.749686,0.142888,-0.025851,0.0464515,35.66958737373352,121.568910499,36.090529918670654
2.2521,200,0.993624159315,2200.0,1667.8778562545776,2900.0,9.50769,-0.00450453,2657.5,0.746222,0.204081,-0.01317,0.0576404,35.480990409851074,132.829778288,35.90969657897949
