0AveragePolicyStd,1EnvExecTime,LossBefore,0StdReturn,1StdReturn,MeanKLBefore,1NumTrajs,0AverageReturn,0PolicyExecTime,1AverageReturn,dLoss,LossAfter,0Entropy,1MinReturn,0MaxReturn,MeanKL,1PolicyExecTime,1MaxReturn,1Perplexity,1ExplainedVariance,0Perplexity,0ProcessExecTime,0EnvExecTime,Time,1Entropy,ItrTime,1AveragePolicyStd,0NumTrajs,0MinReturn,1ProcessExecTime,ComputeUpdatedDistTime,0ExplainedVariance
1.0,13.959594011306763,-1.39698386192e-09,185.995052951,211.756526201,4.62751525987e-09,1200,31.5833333333,16.20882534980774,44.9166666667,0.00644353823736,-0.00644353963435,2.83788,0.0,1900.0,0.00666573364288,22.768258094787598,2000.0,17.1002,0.12699585593,17.0795,0.6274006366729736,13.94747257232666,72.5298912525177,2.83909,72.5298969745636,1.00061,1200,0.0,0.6072206497192383,0.696221113204956,0.0930839824384
1.00469,14.371927976608276,2.91038304567e-10,215.775716248,315.92869053,-1.39698219659e-09,1200,45.0833333333,14.42696499824524,83.75,0.00732443790184,-0.00732443761081,2.84716,0.0,1900.0,0.00718989735469,25.093315362930298,2300.0,17.2713,0.148385801104,17.2388,0.6112959384918213,13.69346833229065,146.59703040122986,2.84904,72.18771886825562,1.00565,1200,0.0,0.6319780349731445,0.10550928115844727,0.0851757952424
0.997645,13.847686290740967,1.62981450558e-09,246.858033876,339.06848497,-1.10594344793e-09,1200,56.6666666667,14.11010479927063,102.75,0.00664548086934,-0.00664547923952,2.83311,0.0,1900.0,0.00668916199356,24.436736345291138,2200.0,16.9697,0.130192416583,16.9983,0.6068544387817383,13.434174299240112,218.85353875160217,2.83143,70.18442726135254,0.996815,1200,0.0,0.6077361106872559,0.09241247177124023,0.12276034591
1.00339,13.757922649383545,-1.10594555736e-09,280.521538092,439.098500402,-4.22005363987e-09,1200,71.0,14.438202619552612,144.916666667,0.00925210287096,-0.00925210397691,2.84463,0.0,2000.0,0.00660663517192,24.105621099472046,2500.0,17.2527,0.191138915959,17.1952,0.6217195987701416,13.807177066802979,291.29336309432983,2.84797,70.43532395362854,1.00509,1200,0.0,0.6105465888977051,0.07343053817749023,0.120485591092
0.999609,14.33317756652832,-1.16415321827e-10,285.813847732,445.7014992,3.25963234182e-09,1200,70.6666666667,14.780235290527344,150.416666667,0.00721442687791,-0.00721442699432,2.83705,0.0,2100.0,0.00632242206484,25.030280590057373,2500.0,17.0726,0.190765953482,17.0654,0.6253261566162109,14.09315037727356,365.74941539764404,2.83748,72.58659505844116,0.999817,1200,0.0,0.633721113204956,0.07879948616027832,0.102808240636
0.995681,13.827979564666748,1.2805685401e-09,333.172867626,571.805565001,-6.4028582436e-10,1200,91.5833333333,14.40807032585144,239.75,0.00839695276227,-0.0083969514817,2.82917,0.0,2300.0,0.00674090022221,24.272657871246338,2800.0,16.8843,0.23025077843,16.9313,0.6314647197723389,13.938340902328491,438.4932610988617,2.82638,70.79850745201111,0.994285,1200,0.0,0.6137599945068359,0.09911274909973145,0.124567779107
0.999228,14.185805797576904,-1.71712599695e-09,324.831195478,530.313717425,-8.14907974434e-10,1200,82.1666666667,14.850637674331665,215.833333333,0.00863528173068,-0.0086352834478,2.83628,0.0,2400.0,0.00777166988701,24.783663272857666,2500.0,17.0086,0.196168632425,17.0522,0.6407277584075928,14.182289838790894,512.7139649391174,2.83372,72.3769428730011,0.997952,1200,0.0,0.6275882720947266,0.08185410499572754,0.0837762933228
0.998281,13.65833044052124,1.62981450558e-09,374.926205702,562.143813153,-8.14905920521e-10,1200,109.416666667,14.679492235183716,231.0,0.00621791812591,-0.0062179164961,2.83443,0.0,2400.0,0.00712397648022,23.458316802978516,2700.0,16.9641,0.204751935242,17.0206,0.6453080177307129,14.133000135421753,585.9204709529877,2.8311,71.32331585884094,0.996638,1200,0.0,0.604943037033081,0.08191418647766113,0.11542112649
0.989894,13.974809885025024,1.2805685401e-09,335.04766452,658.61310511,6.98489488471e-10,1200,91.75,14.84811782836914,317.666666667,0.0072458939394,-0.00724589265883,2.81753,0.0,2300.0,0.00668711820617,23.765844106674194,2500.0,16.6063,0.239938510358,16.7354,0.6554605960845947,14.396353006362915,659.0682947635651,2.80978,71.3460283279419,0.98608,1200,0.0,0.6178114414215088,0.08652687072753906,0.0826183420788
0.982844,14.255223751068115,2.61934474111e-10,380.291956557,685.410744655,-5.12227327221e-09,1200,117.166666667,15.75528335571289,334.333333333,0.0068218887609,-0.00682188849896,2.80325,0.0,2400.0,0.0073736384511,24.677822589874268,2600.0,16.3976,0.252474051807,16.4982,0.6586360931396484,14.321961641311646,734.3133943080902,2.79714,73.66253519058228,0.979838,1200,0.0,0.6635751724243164,0.08776402473449707,0.0934717535352
0.97471,13.991072654724121,1.44063960761e-09,392.7525373,682.483190676,2.58441890111e-08,1200,115.666666667,15.936698198318481,333.166666667,0.00863322387158,-0.00863322243094,2.78655,0.0,2300.0,0.00704688858241,23.609358549118042,2800.0,16.0883,0.222388811916,16.2249,0.6708300113677979,14.546659469604492,808.4860947132111,2.7781,72.55568408966064,0.970613,1200,0.0,0.6193752288818359,0.07953786849975586,0.103006790163
