LossBefore,AverageReturn,StdReturn,MaxKL,ExplainedVariance,ItrTime,AveragePolicyStd,MeanKL,Perplexity,MaxReturn,TotalExecTime,Time,MinReturn,LossAfter,Entropy,NumTrajs
-0.00407096,2684.5,110.497737533,0.268795,0.995128680595,9.734235763549805,0.723652,0.0337249,8.84754,3000.0,9.67716908454895,282.1153049468994,2400.0,-0.00845099,2.18014,200
0.00383613,2668.0,115.654658358,0.169774,0.995004996837,10.103128671646118,0.72285,0.017056,8.82955,3000.0,10.050049304962158,292.22487235069275,2300.0,-0.000714555,2.1781,200
-0.00445878,2677.0,130.656036983,0.282669,0.993764827909,10.067799806594849,0.72344,0.0413246,8.84651,3000.0,10.007470607757568,302.2963948249817,2300.0,-0.00931135,2.18002,200
-0.0164834,2672.0,112.765242872,0.513262,0.994931296522,10.22752833366394,0.722768,0.0868292,8.8268,3000.0,10.116998434066772,312.5340025424957,2400.0,-0.0321135,2.17779,200
0.00583949,2683.0,114.503275062,0.931016,0.994521643415,9.901149034500122,0.719822,0.151996,8.75436,3000.0,9.832185983657837,322.44043946266174,2400.0,-0.0127133,2.16955,200
-0.00557232,2687.5,113.990131152,0.109144,0.994487435667,10.020695209503174,0.720564,0.0202958,8.77995,3000.0,9.885464191436768,332.4664912223816,2300.0,-0.00828146,2.17247,200
-0.00418983,2673.0,123.170613378,0.80532,0.994109048599,8.754731893539429,0.719576,0.0638309,8.75552,3000.0,8.698247909545898,341.23167872428894,2400.0,-0.0126373,2.16968,200
-0.0292448,2666.0,127.451951731,0.174376,0.994047948879,8.681974649429321,0.718536,0.0207005,8.7372,2900.0,8.626864910125732,349.9352180957794,2300.0,-0.0347501,2.16759,200
0.00522433,2678.5,121.604892994,0.176788,0.994288745687,8.692742347717285,0.713467,0.0272124,8.61037,3000.0,8.639639377593994,358.6390686035156,2300.0,0.00138349,2.15297,200
-0.00306863,2678.0,129.67652062,0.215511,0.994646858888,8.65422797203064,0.714402,0.0458978,8.63289,3000.0,8.595847606658936,367.29858899116516,2200.0,-0.00899591,2.15558,200
-0.00707537,2661.5,111.210386206,0.0350616,0.994621994851,8.740241289138794,0.713626,0.00644162,8.61966,2900.0,8.685672044754028,376.0448708534241,2300.0,-0.00841613,2.15405,200
0.00154185,2687.5,109.97158724,0.503554,0.995533498751,8.692327976226807,0.712303,0.0738378,8.58921,3000.0,8.639854907989502,384.7407832145691,2400.0,-0.0111652,2.15051,200
0.00846447,2702.5,112.888219049,0.657923,0.99498096249,9.443402290344238,0.71263,0.106644,8.59585,3100.0,9.347603559494019,394.190301656723,2400.0,-0.00203928,2.15128,200
-0.01031,2677.0,112.565536467,0.835573,0.994734870963,8.859814643859863,0.714036,0.18727,8.6323,3000.0,8.788575887680054,403.0540335178375,2400.0,-0.0304893,2.15551,200
0.00167342,2699.0,118.739210036,0.210551,0.994998886467,8.650279521942139,0.712322,0.0252579,8.58792,3000.0,8.59382700920105,411.7143144607544,2400.0,-0.00194893,2.15036,200
-0.0291564,2686.5,115.185719601,1.36014,0.994608285613,8.927621841430664,0.712573,0.109315,8.5951,3000.0,8.864682674407959,420.654256105423,2300.0,-0.0499124,2.15119,200
-0.00709005,2685.5,114.628748576,0.91853,0.995111889559,8.760789394378662,0.707259,0.149769,8.47071,3000.0,8.712165355682373,429.4194002151489,2400.0,-0.0212736,2.13661,200
0.00912754,2681.0,108.807168881,0.501555,0.994780174735,8.736998081207275,0.705574,0.0899045,8.44074,2900.0,8.685901641845703,438.1631078720093,2400.0,-0.0028699,2.13307,200
0.00334966,2679.0,112.066944279,0.611087,0.995042734698,9.475155591964722,0.707056,0.0565992,8.47934,2900.0,9.385514736175537,447.6420314311981,2400.0,-0.00170245,2.13763,200
-0.00107288,2691.5,118.649694479,0.130476,0.994445787917,9.610280275344849,0.707684,0.0146742,8.49355,3000.0,9.50242018699646,457.25665187835693,2400.0,-0.00369976,2.13931,200
-0.00343106,2687.0,114.590575529,0.383506,0.994648307265,16.020198345184326,0.707429,0.0616718,8.489,3000.0,15.90507173538208,473.2795720100403,2300.0,-0.0144735,2.13877,200
