ExplainedVariance,LossBefore,Time,MaxReturn,NumTrajs,MeanKL,StdReturn,LossAfter,AverageReturn,MinReturn,Perplexity,ItrTime,AveragePolicyStd,MaxKL,Entropy
0.994056983571,-0.00722137,527.427036523819,2900.0,200,0.0157143,124.674576398,-0.0120929,2657.5,2300.0,10.8181,16.139564275741577,0.795871,0.0817915,2.38122
0.993026126714,-0.00558242,543.6558635234833,3000.0,200,0.00464514,140.562263784,-0.00763684,2656.5,2200.0,10.7791,15.999290943145752,0.794441,0.015442,2.37761
0.993902377229,-0.00774897,560.1263258457184,3000.0,200,0.00417234,128.038080273,-0.0095614,2647.5,2300.0,10.7491,16.179190397262573,0.793329,0.0193825,2.37482
0.993608349528,-0.0231966,576.7351269721985,3000.0,200,0.00459073,131.748814036,-0.0267087,2668.5,2100.0,10.7075,16.386666536331177,0.791785,0.0244952,2.37094
0.993701079764,0.00468664,593.3653841018677,3000.0,200,0.0188275,134.011193562,0.000852523,2671.0,2300.0,10.584,16.28683090209961,0.787212,0.0947512,2.35934
0.994558905419,-0.0104831,609.9847798347473,3000.0,200,0.00597663,125.343527954,-0.0125863,2683.0,2200.0,10.6089,16.428030729293823,0.78813,0.0644033,2.36169
0.993879930795,-0.0110847,626.4642298221588,3000.0,200,0.0118535,129.51833847,-0.0139787,2665.0,2100.0,10.5534,16.284390687942505,0.786066,0.0632758,2.35645
0.994524688987,0.0147763,643.1928942203522,3100.0,200,0.00100536,122.653984852,0.013464,2666.0,2400.0,10.4951,16.53542947769165,0.783901,0.00960518,2.3509
0.993449094201,-0.00606987,659.9699125289917,3000.0,200,0.00423979,131.753557827,-0.00835295,2671.0,2200.0,10.5729,16.56256604194641,0.786805,0.0163562,2.35829
0.994505434614,-0.0136973,676.3781628608704,2900.0,200,0.0118345,118.084715353,-0.0164253,2666.0,2300.0,10.5409,16.22635507583618,0.785616,0.0565152,2.35526
0.994436356654,-0.0147846,692.8140726089478,3000.0,200,0.00300842,124.273891063,-0.0163674,2666.0,2300.0,10.4689,16.248091459274292,0.782938,0.0207036,2.34841
0.993911053336,-0.00973955,709.2250294685364,3100.0,200,0.00540535,130.828131531,-0.0110362,2672.0,2200.0,10.3918,16.21133279800415,0.780047,0.0217668,2.34102
0.994527333658,-0.024371,725.6329472064972,3000.0,200,0.00208918,118.058248335,-0.0256479,2671.5,2400.0,10.3413,16.226539373397827,0.778146,0.00931412,2.33615
0.995106119565,-0.0110568,741.9962539672852,2900.0,200,0.0058395,113.22433484,-0.0126122,2669.5,2300.0,10.2161,16.14937710762024,0.773412,0.0314145,2.32396
0.99363581228,-0.0027694,758.272153377533,3000.0,200,0.005581,128.650689854,-0.0044233,2657.0,2300.0,10.1597,16.093156099319458,0.771278,0.0256279,2.31843
0.994743463587,-0.0035541,775.1150465011597,2900.0,200,0.0118253,115.775645107,-0.00638863,2664.0,2300.0,10.1457,16.643094301223755,0.770763,0.0444961,2.31705
0.994213816696,0.00319884,791.5120935440063,3000.0,200,0.0141829,125.395374715,-0.00224603,2676.0,2300.0,10.1277,16.084866046905518,0.770098,0.111387,2.31527
0.994723404408,-0.0250538,808.0604403018951,2900.0,200,0.00711722,120.240384231,-0.0275943,2668.5,2200.0,10.1439,16.36489748954773,0.770676,0.0246298,2.31687
0.993563583076,-0.0119818,824.4396424293518,3000.0,200,0.00514325,130.957054029,-0.0144013,2675.5,2200.0,10.0176,16.195196866989136,0.76586,0.0183645,2.30434
