0ExplainedVariance,1EnvExecTime,0Entropy,0Perplexity,1AverageReturn,0MaxReturn,1AveragePolicyStd,1StdReturn,MeanKLBefore,0EnvExecTime,1MaxReturn,0AveragePolicyStd,ItrTime,1ProcessExecTime,1PolicyExecTime,0AverageReturn,0StdReturn,ComputeUpdatedDistTime,1NumTrajs,LossBefore,1MinReturn,0PolicyExecTime,0NumTrajs,1Entropy,0ProcessExecTime,1Perplexity,LossAfter,MeanKL,0MinReturn,Time,1ExplainedVariance,dLoss
0.0421191804781,28.953844785690308,2.83788,17.0795,34.55,1600.0,1.00143,192.824525152,-5.45333378454e-09,28.54237174987793,2200.0,1.0,195.7934591770172,1.3663537502288818,74.06558156013489,11.4,101.980586388,0.9277374744415283,2000,-1.10594555736e-09,0.0,54.05654215812683,2000,2.84072,1.3496947288513184,17.128,-0.00570106040686,0.00814023893327,0.0,195.7934536933899,0.143438070287,0.00570105930092
0.034383477289,28.703237771987915,2.84287,17.165,54.0,1300.0,0.999223,251.244900446,-2.44472486699e-09,28.32129740715027,2600.0,1.0025,193.8201220035553,1.3328659534454346,75.1653082370758,8.95,76.517301965,0.10366344451904297,2000,-5.82076609135e-10,0.0,51.97476005554199,2000,2.83629,1.3366713523864746,17.0524,-0.00613750750199,0.00760353822261,0.0,393.8985860347748,0.17335849487,0.00613750691991
0.0654061354184,29.11660075187683,2.83134,16.9683,150.8,1900.0,0.996453,459.118024042,5.50774703623e-17,28.285080909729004,2700.0,0.996744,190.29722619056702,1.3679883480072021,75.38378667831421,19.05,136.426161347,0.09949254989624023,2000,-2.32830643654e-10,0.0,48.881452560424805,2000,2.83076,1.3352255821228027,16.9583,-0.00667967647314,0.00949603598565,0.0,588.4630463123322,0.29996962517,0.00667967624031
0.0640829472415,29.182703733444214,2.80966,16.6043,223.65,1900.0,0.983689,549.277413972,-4.65661731397e-10,28.354475736618042,2700.0,0.985992,193.0063440799713,1.361701488494873,74.99824690818787,30.15,176.906691507,0.10791993141174316,2000,9.31322574615e-10,0.0,52.00395369529724,2000,2.80497,1.3669250011444092,16.5265,-0.00612273393199,0.00720594124869,0.0,786.206449508667,0.331668495262,0.00612273486331
0.0689778677793,28.591187953948975,2.79257,16.3229,286.85,2100.0,0.97744,606.664715885,9.31322352571e-10,28.340477228164673,2600.0,0.977619,189.40293216705322,1.326580286026001,69.38397026062012,36.55,190.575700182,0.09264588356018066,2000,-1.7462298274e-09,0.0,54.472790479660034,2000,2.79219,1.3907663822174072,16.3167,-0.00628841482103,0.00679416395724,0.0,980.3531649112701,0.370325206311,0.0062884130748
0.0615038787582,29.643170833587646,2.79086,16.295,376.5,1900.0,0.977044,699.991249945,-1.39698319579e-09,28.096861839294434,2700.0,0.976784,194.26645493507385,1.4096813201904297,74.90054273605347,33.45,172.238490181,0.10973882675170898,2000,6.33008312434e-10,0.0,52.85299301147461,2000,2.79136,1.3524727821350098,16.3032,-0.00619477778673,0.006237574853,0.0,1179.0958633422852,0.399005694623,0.00619477841974
0.0567080695392,30.387253999710083,2.76817,15.9294,359.75,1900.0,0.965662,681.920037468,-9.31320742747e-10,30.724754810333252,2600.0,0.965748,208.08057141304016,1.450580358505249,79.17549967765808,27.45,172.428238697,0.10865998268127441,2000,1.2805685401e-09,0.0,58.5912082195282,2000,2.76797,1.533965826034546,15.9262,-0.00681830011308,0.00748708937317,0.0,1391.888958454132,0.393005528411,0.00681830139365
0.0546252817364,28.07092308998108,2.76976,15.9549,395.2,1600.0,0.964587,703.958066933,-3.21306536932e-08,29.84164023399353,2900.0,0.966521,189.63538599014282,1.321155309677124,68.00432968139648,27.2,155.820922857,0.11399173736572266,2000,-3.49245965481e-10,0.0,55.038318157196045,2000,2.76574,1.4946675300598145,15.8908,-0.00751050608233,0.00979754794389,0.0,1586.3108780384064,0.425409798342,0.00751050573308
0.0648264266991,28.079729795455933,2.74971,15.6381,476.75,1800.0,0.95677,757.036615693,-1.86264603741e-09,27.662168741226196,2700.0,0.956883,174.1706199645996,1.3176345825195312,64.63300824165344,39.15,195.735222942,0.12226080894470215,2000,1.04773789644e-09,0.0,45.51401495933533,2000,2.74947,1.3313374519348145,15.6344,-0.00580493547022,0.00668470794335,0.0,1765.0782923698425,0.419554165252,0.00580493651796
0.0759593826702,28.217467069625854,2.74472,15.5602,570.75,2100.0,0.956026,857.793353611,1.86264537128e-09,27.45681405067444,2900.0,0.954548,175.14620065689087,1.322920799255371,65.1758975982666,35.95,188.155779874,0.11459708213806152,2000,0.0,0.0,46.0167875289917,2000,2.74773,1.3223867416381836,15.6072,-0.00654943380505,0.00734267337248,0.0,1944.6568825244904,0.44377592867,0.00654943380505
0.0568557088687,29.24400281906128,2.70203,14.91,668.95,2100.0,0.933451,906.697798332,6.07153216592e-17,27.664228200912476,2800.0,0.934338,182.98586082458496,1.402308702468872,68.90429282188416,37.85,193.474487982,0.10751509666442871,2000,2.38651409745e-09,0.0,46.49657964706421,2000,2.70013,1.3480095863342285,14.8816,-0.00531941279769,0.00686623342335,0.0,2132.0207681655884,0.445707425514,0.0053194151842
0.0674656663628,25.384495496749878,2.68828,14.7064,579.65,1800.0,0.927752,801.130998963,3.725292963e-09,27.182839393615723,2700.0,0.927954,153.52349090576172,1.171180248260498,51.22045040130615,37.6,193.355217152,0.3843667507171631,2000,-1.16415321827e-10,0.0,41.5531222820282,2000,2.68784,1.308563232421875,14.6999,-0.00570769608021,0.00953830871731,0.0,2290.2089879512787,0.390637455156,0.00570769596379
