AverageReturn,AveragePolicyStd,StdReturn,Time,Entropy,ItrTime,ExplainedVariance,LossBefore,MaxKL,LossAfter,Perplexity,NumTrajs,MeanKL,MaxReturn,TotalExecTime,MinReturn
20.0,0.999438,60.0,16.70555853843689,2.83651,16.70556330680847,0.170143763529,-0.00357537,18.8044,-0.00272395,17.0561,20,0.159831,200.0,16.363420963287354,0.0
35.0,0.997621,131.434394281,34.60170078277588,2.83293,17.881612062454224,0.0804701890763,-0.0261511,86.5332,0.0693451,16.9953,20,0.498161,600.0,17.501070022583008,0.0
50.0,0.991158,124.49899598,50.61281752586365,2.81986,15.987494468688965,0.224459828461,0.017212,0.0031109,0.0159235,16.7745,20,0.000344244,400.0,15.816256999969482,0.0
50.0,0.995478,217.944947177,66.25401592254639,2.82847,15.586894273757935,0.170176799446,0.00163687,8.12164,0.0018682,16.9195,20,0.0754472,1000.0,15.482893466949463,0.0
25.0,0.995811,108.972473589,85.2593584060669,2.82928,18.98686146736145,0.109934037501,0.0105874,2.45,0.00836891,16.9333,20,0.025113,500.0,18.822335481643677,0.0
50.0,0.998385,162.788205961,102.08374667167664,2.83458,16.76841402053833,0.124907270965,0.0174693,6.6948,0.0234961,17.0232,20,0.0414968,700.0,16.570383071899414,0.0
15.0,1.00273,65.3834841531,119.94260263442993,2.84331,17.834940910339355,0.13815366094,0.000164513,1620.14,-4.05827,17.1725,20,13.5967,300.0,17.665417194366455,0.0
