StdReturn,LossBefore,MinReturn,MaxKL,AveragePolicyStd,NumTrajs,ItrTime,Perplexity,ExplainedVariance,TotalExecTime,LossAfter,AverageReturn,MaxReturn,Entropy,Time,MeanKL
2561.1716069,-0.0228285,7900.0,2.04517,0.87453,20,7.553717613220215,13.0471,0.621201233732,7.442034006118774,-0.146424,12280.0,17300.0,2.56857,7.553709983825684,0.883002
998.799279135,-0.0148356,18200.0,0.185832,0.864232,20,7.120497226715088,12.7527,0.962412746635,7.026950359344482,-0.0376212,20280.0,21700.0,2.54574,14.678369045257568,0.0642033
315.396575758,-0.0138992,20500.0,0.0194759,0.861003,20,6.910290002822876,12.6584,0.990940204199,6.8632917404174805,-0.0155716,21105.0,21600.0,2.53832,21.591975212097168,0.00172734
466.368952654,-0.0145553,19500.0,0.103935,0.85799,20,7.116735219955444,12.5708,0.987911750816,7.044954299926758,-0.0195549,21050.0,21600.0,2.53137,28.71983051300049,0.00682332
304.097023991,-0.0296886,20700.0,0.0598247,0.854847,20,7.2575013637542725,12.4796,0.991353716286,7.193485736846924,-0.0363288,21255.0,21900.0,2.5241,35.984522104263306,0.0111041
306.390273997,-0.00626295,20600.0,0.0345477,0.848551,20,7.0745275020599365,12.2957,0.991614842941,7.048609256744385,-0.011274,21275.0,21700.0,2.50925,43.06771683692932,0.0130038
182.756668825,0.00439707,21000.0,0.136142,0.84721,20,7.316111326217651,12.2573,0.993330825543,7.273634910583496,-0.00386475,21460.0,21800.0,2.50612,50.39051842689514,0.0311654
