Entropy,LossBefore,StdReturn,NumTrajs,Perplexity,AveragePolicyStd,Time,MaxReturn,AverageReturn,MaxKL,LossAfter,TotalExecTime,ItrTime,MinReturn,ExplainedVariance,MeanKL
2.8392,0.00347552,139.55285737,20,17.1021,1.00066,16.78138017654419,600.0,55.0,151.712,-0.322276,16.49660587310791,16.781385898590088,0.0,0.158643427483,0.917877
2.84268,-0.0,0.0,20,17.1616,1.00241,34.09092307090759,0.0,0.0,0.0,-0.0,17.023236513137817,17.291544198989868,0.0,1,0.0
2.84268,0.00532002,108.972473589,20,17.1616,1.00241,51.2058539390564,500.0,25.0,0.020669,0.00144062,16.809136152267456,17.09778642654419,0.0,0.165571601132,0.00274647
2.84534,-0.00592604,124.09673646,20,17.2074,1.00376,67.9649612903595,500.0,40.0,0.000562087,-0.00658662,16.618915796279907,16.735405445098877,0.0,0.197548878417,4.845e-05
2.84237,-0.016091,244.131112315,20,17.1564,1.00228,84.86550617218018,1100.0,80.0,40.231,-0.012482,16.698556184768677,16.8647141456604,0.0,0.13726562096,0.33706
2.83433,-0.000215665,107.121426428,20,17.019,0.998264,102.11038517951965,400.0,45.0,3088.17,6.52443,17.18511199951172,17.231425762176514,0.0,0.280169769844,34.4701
2.83422,0.0049037,95.3939201417,20,17.0171,0.998273,119.25945568084717,400.0,30.0,445.249,0.727515,16.963007926940918,17.14143395423889,0.0,0.221732247123,3.40599
