AverageReturn,MaxReturn,LossBefore,Entropy,StdReturn,MeanKL,ExplainedVariance,Time,Perplexity,LossAfter,MaxKL,ItrTime,AveragePolicyStd,NumTrajs,MinReturn,TotalExecTime
255.0,4600.0,-0.00370934,2.8392,1002.73376327,28.6685,0.344501886089,13.043574333190918,17.1021,-4.87368,3392.44,13.043580532073975,1.00066,20,0.0,12.888779878616333
50.0,1000.0,0.00703945,2.83549,217.944947177,171.139,0.0921177021884,24.88393807411194,17.0388,5.6623,5890.82,11.833807229995728,0.998851,20,0.0,11.714498519897461
300.0,4100.0,0.0155245,2.83901,964.883412646,0.000557387,0.331025337947,37.32254433631897,17.0989,0.0133378,0.00438405,12.407112121582031,1.00066,20,0.0,12.288977861404419
920.0,9700.0,0.0062001,2.84677,2329.50638548,0.0896484,0.26827752241,49.87389326095581,17.2321,-0.0758842,14.2835,12.530723094940186,1.00468,20,0.0,12.489529371261597
1025.0,12800.0,-0.00469925,2.84987,3178.97389105,0.186978,0.608164966086,62.00700354576111,17.2856,-0.0422669,25.5569,12.130216360092163,1.00619,20,0.0,12.07866358757019
995.0,12400.0,-0.0113935,2.84752,3083.90580271,0.147781,0.166395873031,74.47729778289795,17.245,-0.0223277,17.1758,12.461426258087158,1.00501,20,0.0,12.397004842758179
1130.0,13400.0,0.010977,2.84183,3149.14274049,0.00911954,0.336873044865,86.87864470481873,17.1471,0.00528266,1.73149,12.385080575942993,1.00224,20,0.0,12.351606607437134
