Entropy,AveragePolicyStd,TotalExecTime,StdReturn,MaxReturn,AverageReturn,LossAfter,Time,MinReturn,NumTrajs,ExplainedVariance,LossBefore,Perplexity,MaxKL,ItrTime,MeanKL
2.72206,0.947542,5.744166135787964,156.204993518,500.0,240.0,-0.029556,5.810640573501587,0.0,20,0.641798670614,0.019467,15.2117,2.17825,5.810643196105957,0.195296
2.74153,0.95662,5.702487945556641,111.803398875,400.0,250.0,-0.0138804,11.592754602432251,0.0,20,0.765541553251,-0.00508832,15.5107,1.71918,5.7793848514556885,0.0689293
2.73899,0.955129,5.274618864059448,102.95630141,600.0,420.0,0.0119018,16.9194757938385,100.0,20,0.887317382087,0.0242634,15.4713,0.703784,5.318501949310303,0.0566089
2.75112,0.960333,5.154085397720337,101.365674664,900.0,635.0,-0.0166032,22.146207809448242,500.0,20,0.923263787968,-0.0128634,15.6601,0.541848,5.220620632171631,0.0234269
2.74468,0.957294,5.190550088882446,116.081867662,1000.0,805.0,0.00762515,27.379521131515503,600.0,20,0.919819682794,0.0162293,15.5597,0.174373,5.225339889526367,0.0255074
2.7528,0.961297,5.61081600189209,72.6291952317,1000.0,885.0,-0.00966607,33.03945803642273,800.0,20,0.93896649405,-0.00642639,15.6865,0.0261385,5.652709007263184,0.00297657
2.74959,0.960157,5.584218978881836,67.8232998313,1000.0,880.0,-0.0115544,38.66160035133362,800.0,20,0.943184794606,-0.0066341,15.6362,0.0692385,5.616374254226685,0.0108866
