MaxReturn,Time,ExplainedVariance,AveragePolicyStd,Entropy,NumTrajs,MinReturn,MeanKL,TotalExecTime,AverageReturn,Perplexity,ItrTime,MaxKL,LossAfter,StdReturn,LossBefore
11800.0,10.720424175262451,0.196064262631,0.827472,2.45436,20,0.0,0.191774,10.647671937942505,6045.0,11.639,10.720431566238403,0.531615,-0.0222137,2791.85869986,0.00838444
37500.0,21.047739028930664,0.834815009194,0.831486,2.46275,20,26500.0,0.0319161,10.270437479019165,33620.0,11.737,10.322438478469849,0.0835624,-0.029796,3358.66044726,-0.0182321
39200.0,31.435430765151978,0.919998679323,0.827527,2.45363,20,32300.0,0.0663753,10.343898296356201,36985.0,11.6305,10.383593797683716,0.144313,-0.041087,1904.27807843,-0.0196362
36800.0,41.792789459228516,0.830759542333,0.823268,2.44381,20,24500.0,0.143345,10.271929740905762,32755.0,11.5168,10.353139638900757,0.296704,-0.0501782,2668.79654526,-0.0103579
40800.0,52.30964732170105,0.906584358102,0.821153,2.43863,20,30500.0,0.0655964,10.483980894088745,36635.0,11.4574,10.51230239868164,0.191487,-0.0270638,2076.60179139,-0.00739617
40800.0,62.89289093017578,0.97324188944,0.819378,2.43493,20,37700.0,0.00248904,10.530491352081299,39280.0,11.4151,10.579590082168579,0.0107179,-0.0115988,799.12452096,-0.00999001
40500.0,73.46870350837708,0.958505145253,0.81723,2.42994,20,35600.0,0.0858934,10.51737117767334,38690.0,11.3582,10.568959474563599,0.179231,-0.0344765,1269.60623817,-0.0153554
