0Entropy,1MinReturn,MeanKLBefore,Time,1Entropy,0Perplexity,0AveragePolicyStd,1EnvExecTime,1Perplexity,ItrTime,0ProcessExecTime,dLoss,0EnvExecTime,0AverageReturn,ComputeUpdatedDistTime,0NumTrajs,1MaxReturn,0MinReturn,MeanKL,1PolicyExecTime,1ExplainedVariance,LossAfter,0StdReturn,0ExplainedVariance,1AverageReturn,1ProcessExecTime,0PolicyExecTime,1AveragePolicyStd,1NumTrajs,LossBefore,1StdReturn,0MaxReturn
2.83788,0.0,0.0,7.350673675537109,2.83788,17.0795,1.0,0.9171674251556396,17.0795,7.350675582885742,0.05592536926269531,0.0,1.1560521125793457,0.0,0.7331478595733643,80,0.0,0.0,0.0,1.687652349472046,1,0.0,0.0,1,0.0,0.04148578643798828,1.4220306873321533,1.0,80,0.0,0.0,0.0
2.83788,0.0,0.0,13.07663869857788,2.83788,17.0795,1.0,0.9247801303863525,17.0795,5.377558469772339,0.04498863220214844,0.0,0.9986612796783447,0.0,0.08864450454711914,80,0.0,0.0,0.0,1.6654589176177979,1,0.0,0.0,1,0.0,0.041517019271850586,1.0443010330200195,1.0,80,0.0,0.0,0.0
2.83788,0.0,0.0,19.48733115196228,2.83076,17.0795,1.0,1.159409761428833,16.9584,6.173943281173706,0.051755666732788086,0.0,1.0676202774047852,1.25,0.0964803695678711,80,0.0,0.0,0.0,2.127260446548462,1,0.0,11.1102430216,0.195989459663,0.0,0.05080103874206543,1.0870697498321533,0.996468,80,0.0,0.0,100.0
2.83788,0.0,4.0745365415e-10,25.31023073196411,2.83382,17.0795,1.0,0.9895365238189697,17.0104,5.579920053482056,0.05109524726867676,0.0148204485886,1.0638489723205566,10.0,0.08336138725280762,80,200.0,0.0,0.00863713026047,1.7725536823272705,0.165299890334,-0.0148204490542,88.8819441732,0.152677369686,2.5,0.04371023178100586,1.126920223236084,0.997993,80,-4.65661287308e-10,22.2204860433,800.0
2.84032,0.0,0.0,31.1404972076416,2.84032,17.1213,1.00122,1.0135915279388428,17.1213,5.603980779647827,0.04709506034851074,0.0,0.9823267459869385,0.0,0.08284425735473633,80,0.0,0.0,0.0,1.8237478733062744,1,0.0,0.0,1,0.0,0.04586291313171387,1.034635305404663,1.00122,80,0.0,0.0,0.0
2.84032,0.0,-2.32830643654e-10,37.198731422424316,2.83764,17.1213,1.00122,1.0551972389221191,17.0754,5.831545829772949,0.05212807655334473,0.00133153563365,1.095724105834961,1.25,0.08412313461303711,80,500.0,0.0,0.00869289692491,1.8955779075622559,0.097906221447,-0.00133153423667,11.1102430216,0.0741024310087,6.25,0.047438621520996094,1.1430537700653076,0.99989,80,1.39698386192e-09,55.5512151082,100.0
2.83899,0.0,0.0,43.50870656967163,2.83899,17.0985,1.00056,1.0890986919403076,17.0985,6.084935665130615,0.05411815643310547,0.00575274939183,1.1513454914093018,0.0,0.10150957107543945,80,300.0,0.0,0.00904008559883,1.9553823471069336,0.106597837442,-0.00575275020674,0.0,1,6.25,0.04800081253051758,1.1908886432647705,1.00056,80,-8.14907252789e-10,39.8238308052,0.0
2.82837,0.0,-4.65661287308e-10,50.06537342071533,2.82693,16.9179,0.995265,1.1369082927703857,16.8935,6.165734529495239,0.05531644821166992,0.00563407619484,1.14418625831604,6.25,0.07023882865905762,80,1000.0,0.0,0.00842792261392,2.031402349472046,0.116570693892,-0.00563407503068,39.8238308052,0.0587625987589,25.0,0.05032992362976074,1.1729681491851807,0.994589,80,1.16415321827e-09,156.12494996,300.0
2.82491,0.0,4.65661287308e-10,56.38190031051636,2.82819,16.8594,0.993564,1.140744686126709,16.9148,6.057742595672607,0.04997420310974121,0.00479050760623,1.0700511932373047,35.0,0.10175395011901855,80,1600.0,0.0,0.00612138956785,2.033687114715576,0.176683720979,-0.00479050818831,177.552809046,0.151829690617,76.25,0.04908442497253418,1.1162421703338623,0.995256,80,-5.82076609135e-10,287.334191317,1400.0
2.81963,0.0,2.09547579288e-09,62.73664045333862,2.81886,16.7707,0.990995,1.1729190349578857,16.7578,6.123710632324219,0.050463199615478516,0.00962192658335,1.0961663722991943,10.0,0.08435678482055664,80,1700.0,0.0,0.00989096518606,2.083012104034424,0.242151588087,-0.00962192565203,78.4219357068,0.0432818739201,78.75,0.05123138427734375,1.1504878997802734,0.9906,80,9.31322574615e-10,282.264835748,700.0
2.82952,0.0,0.0,69.08452296257019,2.82604,16.9373,0.996677,1.2238318920135498,16.8784,6.131250858306885,0.045842885971069336,0.0134914265946,0.9893217086791992,3.75,0.11893534660339355,80,2100.0,0.0,0.00773527659476,2.1226871013641357,0.498765093452,-0.0134914321825,33.3307290649,0.0788590872491,348.75,0.0517115592956543,1.053359031677246,0.994764,80,-5.58793544769e-09,664.453487838,300.0
2.84378,0.0,1.39698386192e-09,75.25642991065979,2.8356,17.1805,1.00363,1.1062042713165283,17.0407,5.933212757110596,0.0485081672668457,0.0145677980181,1.0362417697906494,48.75,0.0843656063079834,80,2500.0,0.0,0.00765865063295,1.9765539169311523,0.524299521404,-0.0145677961409,204.935203174,0.131094960239,551.25,0.04753565788269043,1.094228982925415,0.999514,80,1.87719706446e-09,826.134636424,1400.0
