StdReturn,MeanKL,Perplexity,MinReturn,TotalExecTime,Entropy,Time,MaxReturn,LossAfter,NumTrajs,ItrTime,AveragePolicyStd,AverageReturn,LossBefore,ExplainedVariance,MaxKL
435.889894354,0.0936725,15.2117,0.0,4.761691093444824,2.72206,4.845492362976074,2000.0,0.0162877,20,4.8454930782318115,0.947542,100.0,0.0362039,0.0313643824235,0.223524
1222.74281842,0.10368,15.7725,0.0,4.776555061340332,2.75827,9.680436849594116,4800.0,-0.0636,20,4.830861806869507,0.965617,1370.0,-0.0234348,0.117576199228,0.231145
2988.72464439,0.0979731,15.5887,10300.0,4.838172912597656,2.74655,14.564780473709106,22500.0,-0.0421052,20,4.879928827285767,0.960511,18345.0,-0.00592971,0.753261528058,0.270854
874.799977138,0.0136084,15.5426,19300.0,4.7336790561676025,2.74358,19.34519600868225,22400.0,-0.0464784,20,4.772064447402954,0.958585,20965.0,-0.0377484,0.970820168495,0.0248552
2605.8539867,0.0220433,15.252,9900.0,4.721702814102173,2.72471,24.119885444641113,22700.0,-0.0311401,20,4.7707359790802,0.949589,21005.0,-0.0224623,0.909588486299,0.273985
390.384425919,0.0235652,15.0816,20700.0,4.944594383239746,2.71348,29.097959756851196,22500.0,-0.0208502,20,4.973499298095703,0.944372,22060.0,-0.0141089,0.992796739966,0.455285
760.575440045,0.0364695,14.9756,19900.0,4.771225690841675,2.70642,33.908010482788086,22700.0,-0.0132851,20,4.799748659133911,0.941172,21845.0,-0.000894571,0.981031538574,0.243856
