Time,0ProcessExecTime,ItrTime,LossAfter,LossBefore,0PolicyExecTime,1ExplainedVariance,MeanKL,0EnvExecTime,0NumTrajs,1AverageReturn,1StdReturn,1Perplexity,1PolicyExecTime,1ProcessExecTime,0AveragePolicyStd,0MinReturn,0AverageReturn,0Entropy,0StdReturn,1EnvExecTime,0ExplainedVariance,0MaxReturn,ComputeUpdatedDistTime,1MaxReturn,1NumTrajs,1Entropy,dLoss,1AveragePolicyStd,0Perplexity,1MinReturn,MeanKLBefore
43.79678535461426,0.3668045997619629,43.79678773880005,0.0,0.0,2.6115872859954834,1,0.0,8.464840173721313,400,0.0,0.0,17.0795,10.895097494125366,0.36287999153137207,1.0,0.0,0.0,2.83788,0.0,9.376020669937134,1,0.0,4.899773359298706,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
81.9571123123169,0.3597724437713623,37.30385088920593,0.0,0.0,2.5856118202209473,1,0.0,9.814610004425049,400,0.0,0.0,17.0795,11.139352560043335,0.33652186393737793,1.0,0.0,0.0,2.83788,0.0,9.580009460449219,1,0.0,0.3173539638519287,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
116.79525899887085,0.34702062606811523,34.831801414489746,0.0,0.0,2.3236474990844727,1,0.0,9.043923377990723,400,0.0,0.0,17.0795,10.403145551681519,0.31825780868530273,1.0,0.0,0.0,2.83788,0.0,9.007993936538696,1,0.0,0.2989029884338379,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
153.88977670669556,0.3389761447906494,36.30286359786987,0.0,0.0,2.246692657470703,1,0.0,8.677638053894043,400,0.0,0.0,17.0795,11.080498695373535,0.37807726860046387,1.0,0.0,0.0,2.83788,0.0,10.103820562362671,1,0.0,0.2831149101257324,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
188.65830302238464,0.37413549423217773,34.7638156414032,0.0,0.0,2.500230073928833,1,0.0,9.52880573272705,400,0.0,0.0,17.0795,10.081345796585083,0.3348238468170166,1.0,0.0,0.0,2.83788,0.0,8.605319023132324,1,0.0,0.3220176696777344,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
224.27322912216187,0.3617093563079834,34.75758624076843,0.0,0.0,2.473562002182007,1,0.0,9.197056531906128,400,0.0,0.0,17.0795,10.42650556564331,0.30980348587036133,1.0,0.0,0.0,2.83788,0.0,8.762803077697754,1,0.0,0.30934715270996094,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
259.78102564811707,0.36751890182495117,35.50125980377197,0.0,0.0,2.640982151031494,1,0.0,9.7910475730896,400,0.0,0.0,17.0795,10.318089485168457,0.3123950958251953,1.0,0.0,0.0,2.83788,0.0,8.790518522262573,1,0.0,0.3207533359527588,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
296.4686439037323,0.3645005226135254,35.861642599105835,0.0,0.0,2.5256757736206055,1,0.0,9.273293018341064,400,0.0,0.0,17.0795,10.748043298721313,0.35242748260498047,1.0,0.0,0.0,2.83788,0.0,9.2407066822052,1,0.0,0.31310272216796875,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
332.2906403541565,0.37763476371765137,35.81685519218445,0.0,0.0,2.5990757942199707,1,0.0,9.11668848991394,400,0.0,0.0,17.0795,11.033248662948608,0.3548734188079834,1.0,0.0,0.0,2.83788,0.0,9.142825365066528,1,0.0,0.3100616931915283,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
369.88054275512695,0.3772740364074707,36.35537600517273,0.0,0.0,2.592822313308716,1,0.0,9.095252513885498,400,0.0,0.0,17.0795,10.278002262115479,0.3339219093322754,1.0,0.0,0.0,2.83788,0.0,9.148083686828613,1,0.0,0.2976083755493164,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
403.167751789093,0.35352444648742676,33.28223896026611,0.0,0.0,2.549041986465454,1,0.0,8.828621864318848,400,0.0,0.0,17.0795,9.262999534606934,0.2836613655090332,1.0,0.0,0.0,2.83788,0.0,8.076215744018555,1,0.0,0.30703139305114746,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
438.1068136692047,0.37016844749450684,34.077561140060425,0.0,0.0,2.5564005374908447,1,0.0,9.456608533859253,400,0.0,0.0,17.0795,9.509717226028442,0.28621554374694824,1.0,0.0,0.0,2.83788,0.0,8.265641212463379,1,0.0,0.2958333492279053,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
470.34862065315247,0.3601236343383789,32.23732900619507,0.0,0.0,2.746593952178955,1,0.0,9.046895503997803,400,0.0,0.0,17.0795,8.62363600730896,0.2885262966156006,1.0,0.0,0.0,2.83788,0.0,7.790557146072388,1,0.0,0.2945880889892578,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
503.52700114250183,0.3359873294830322,32.238537073135376,0.0,0.0,3.262148380279541,1,0.0,8.622981786727905,400,0.0,0.0,17.0795,8.721567392349243,0.30379676818847656,1.0,0.0,0.0,2.83788,0.0,7.710471153259277,1,0.0,0.2857027053833008,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
534.8251476287842,0.31844472885131836,31.293635368347168,0.0,0.0,3.346599817276001,1,0.0,8.076611995697021,400,0.0,0.0,17.0795,8.576650619506836,0.2765185832977295,1.0,0.0,0.0,2.83788,0.0,7.493001699447632,1,0.0,0.30700182914733887,0.0,400,2.83788,0.0,1.0,17.0795,0.0,0.0
