StdReturn,ItrTime,MeanKL,LossAfter,Entropy,MinReturn,NumTrajs,TotalExecTime,AveragePolicyStd,MaxReturn,LossBefore,ExplainedVariance,Time,Perplexity,AverageReturn,MaxKL
346.0,35.358603954315186,0.031399,-0.0501055,2.66982,1000.0,200,35.03512167930603,0.919407,3000.0,-0.0358154,0.941765345407,1040.131355047226,14.4374,2378.0,0.98433
279.334476927,36.583186864852905,0.0354531,-0.0621472,2.65192,1400.0,200,36.348716020584106,0.911211,2900.0,-0.0473342,0.963028688191,1076.73530960083,14.1812,2441.5,0.963042
256.802940014,35.62009048461914,0.0288236,-0.0607491,2.62825,1200.0,200,35.38517642021179,0.900495,2900.0,-0.046033,0.97205813394,1112.3737478256226,13.8495,2498.5,0.182999
192.986398484,36.360363721847534,0.00908177,-0.0244367,2.60523,1800.0,200,36.09797739982605,0.89019,2900.0,-0.0190126,0.985497133287,1148.757872581482,13.5344,2562.5,0.0834493
173.256313016,35.436195850372314,0.0388206,-0.0457117,2.59573,1900.0,200,35.1057562828064,0.885967,2900.0,-0.0332986,0.988833228574,1184.2172286510468,13.4063,2588.5,1.3116
162.971623297,34.32347798347473,0.0709323,-0.0642779,2.57908,2200.0,200,33.96586322784424,0.878626,2900.0,-0.0451627,0.990075279759,1218.5593829154968,13.185,2590.5,0.862296
135.571936624,36.242257833480835,0.0157883,-0.0423089,2.5565,2200.0,200,36.012402057647705,0.868778,2900.0,-0.0352478,0.992234818822,1254.8223745822906,12.8906,2629.5,0.282009
129.379287369,35.82221961021423,0.0187611,-0.0262604,2.53887,2200.0,200,35.46470880508423,0.861151,2900.0,-0.0196571,0.99288878963,1290.6494829654694,12.6654,2631.0,0.178477
141.788574998,33.928982734680176,0.0517657,-0.0315685,2.52904,2100.0,200,33.635618925094604,0.85692,3100.0,-0.0175126,0.992626439583,1324.592827796936,12.5415,2636.0,3.59331
129.783473524,34.52506113052368,0.0113858,-0.02493,2.52029,2200.0,200,34.215375900268555,0.853195,2900.0,-0.0194108,0.992498918082,1359.1413288116455,12.4322,2657.5,0.125608
128.825463322,34.127018451690674,0.0536265,-0.0442452,2.51058,2300.0,200,33.83768653869629,0.849044,3000.0,-0.0316373,0.993105098308,1393.2854244709015,12.3121,2652.0,1.20433
128.038080273,32.653992891311646,0.00965107,-0.0329226,2.49476,2300.0,200,32.33699631690979,0.842359,2900.0,-0.0262943,0.993318986307,1425.9640986919403,12.1189,2672.5,0.105799
123.570829891,32.96628952026367,0.019025,-0.00811429,2.48162,2200.0,200,32.69214177131653,0.836851,3000.0,-0.00266118,0.994491931435,1458.949376821518,11.9606,2680.5,0.218396
116.162601555,32.787436962127686,0.00330795,-0.0216585,2.48029,2300.0,200,32.48922920227051,0.836278,3100.0,-0.0186036,0.994589073963,1491.7602248191833,11.9447,2667.5,0.0548333
118.760262714,32.854480266571045,2.10714,-0.020995,2.47098,2300.0,200,32.505207538604736,0.832409,3000.0,-0.0149666,0.994201211466,1524.6296997070312,11.8341,2664.0,239.89
126.138812425,30.802531957626343,0.0112864,-0.00107592,2.4635,2300.0,200,30.595659017562866,0.829289,2900.0,0.0041666,0.994146896544,1555.4405975341797,11.7458,2667.0,0.213323
117.003205084,31.955219745635986,0.0181595,-0.0254287,2.46558,2300.0,200,31.625035285949707,0.830152,2900.0,-0.0199877,0.994646897096,1587.4172863960266,11.7703,2660.5,0.4117
124.176285981,31.01076054573059,0.0204896,-0.0110523,2.45559,2300.0,200,30.706294775009155,0.826014,2900.0,-0.00641383,0.993685693891,1618.439661026001,11.6533,2669.5,0.357956
114.44540183,32.782179832458496,0.0586721,-0.0204409,2.45238,2400.0,200,32.38837957382202,0.824696,3000.0,-0.00782249,0.994525125441,1651.2285804748535,11.616,2676.5,0.484955
115.494588618,33.49277186393738,0.0807913,-0.0118097,2.44847,2200.0,200,33.18302941322327,0.823092,3000.0,0.000363485,0.995093784009,1684.7371935844421,11.5706,2669.0,5.40516
111.659079344,32.094985008239746,0.0201524,-0.0182381,2.44865,2300.0,200,31.925710916519165,0.823179,3000.0,-0.00848539,0.994795270454,1716.8401584625244,11.5727,2661.5,0.965094
