LossAfter,Perplexity,LossBefore,NumTrajs,MaxKL,MaxReturn,AverageReturn,TotalExecTime,StdReturn,AveragePolicyStd,MinReturn,ExplainedVariance,Time,ItrTime,MeanKL,Entropy
-0.00569727,5.17191,0.000433898,200,0.585353,3000.0,2690.5,13.56549072265625,108.902479311,0.550444,2400.0,0.995325740574,405.4581241607666,13.642566442489624,0.0776845,1.64324
-0.00343363,5.17303,0.0117894,200,1.48673,3000.0,2675.5,13.582037448883057,112.914790882,0.550492,2300.0,0.995277536472,419.1317021846771,13.66955304145813,0.260919,1.64346
-0.0108518,5.20362,0.00191621,200,1.06404,3000.0,2683.0,13.455887794494629,128.495136095,0.552126,2300.0,0.994034997859,432.6641309261322,13.525586605072021,0.228982,1.64935
-0.0441188,5.20861,-0.00883578,200,3.64907,3000.0,2678.0,13.527110576629639,108.240473022,0.552419,2400.0,0.995138124716,446.29015612602234,13.61406683921814,0.446492,1.65031
-0.0237939,5.18565,0.0110388,200,4.0869,3000.0,2689.0,13.579982280731201,113.925414197,0.551196,2400.0,0.994480008995,459.9516818523407,13.655895471572876,0.691241,1.64589
-0.00992925,5.21434,-0.00291143,200,0.547186,3000.0,2691.0,13.341363191604614,110.08632976,0.552662,2400.0,0.994830274428,473.37631726264954,13.415037155151367,0.112431,1.65141
-0.0204063,5.20676,0.0103605,200,5.77591,3000.0,2682.0,13.323662519454956,118.220133649,0.552271,2400.0,0.994501165664,486.7846555709839,13.393481492996216,0.463502,1.64996
-0.0390175,5.2338,-0.0286496,200,0.498817,2900.0,2670.0,13.4846031665802,129.228479833,0.553653,2200.0,0.993898975869,500.3783030509949,13.584217071533203,0.0549933,1.65514
-0.000194331,5.15937,0.00693884,200,0.436684,3000.0,2680.5,13.494893312454224,119.87389207,0.54973,2400.0,0.994457044215,513.9563202857971,13.574262380599976,0.0770478,1.64081
-0.0131418,5.1773,0.00397346,200,1.12796,3000.0,2682.5,13.539661645889282,126.268562992,0.550694,2300.0,0.994896057239,527.5706059932709,13.605124711990356,0.259014,1.64428
-0.00260681,5.18759,-0.000979212,200,0.105058,2900.0,2665.0,13.393533706665039,108.512672071,0.551199,2400.0,0.99467396935,541.0318372249603,13.455111742019653,0.0115571,1.64627
-0.0207524,5.18505,0.00563739,200,2.00935,3000.0,2689.0,13.406647205352783,108.531101533,0.55107,2400.0,0.995639197318,554.5132777690887,13.4734628200531,0.326104,1.64578
-0.00700275,5.19969,0.0119124,200,2.606,3100.0,2704.0,13.76474142074585,112.623265802,0.551863,2400.0,0.994952856269,568.3759005069733,13.858841896057129,0.350022,1.6486
-0.0432186,5.23075,-0.00576736,200,3.47403,3000.0,2680.0,13.32299542427063,109.087121146,0.553484,2400.0,0.995045244006,581.7952077388763,13.411669969558716,0.79526,1.65455
-0.00379655,5.21569,0.00253418,200,0.851248,3000.0,2700.5,13.52986478805542,117.684960806,0.552699,2400.0,0.995040589859,595.3959455490112,13.598025560379028,0.0860712,1.65167
-0.0744534,5.2223,-0.0239568,200,7.05698,3000.0,2688.5,13.440501928329468,114.96847394,0.553043,2300.0,0.994574730851,608.9143557548523,13.50775694847107,0.606692,1.65294
-0.0342241,5.16012,-0.00511303,200,5.27037,3000.0,2687.5,13.507824420928955,114.864050077,0.549723,2400.0,0.994980803425,622.5043346881866,13.581061363220215,0.734684,1.64096
-0.0161887,5.14694,0.00986792,200,1.96717,2900.0,2681.5,13.483259439468384,108.202356721,0.548976,2400.0,0.994794166974,636.0506603717804,13.53922700881958,0.464585,1.6384
-0.00476968,5.1724,0.0050087,200,1.21989,2900.0,2680.5,13.464149236679077,111.668034817,0.550324,2400.0,0.995139659457,649.6136467456818,13.547369480133057,0.147827,1.64334
-0.00074723,5.18537,0.00372635,200,0.350359,3000.0,2693.5,13.48139476776123,118.354340858,0.551019,2400.0,0.994517518984,663.1646564006805,13.536674976348877,0.0276553,1.64584
-0.0234493,5.19504,-0.00311146,200,1.52494,3000.0,2687.0,13.459658145904541,114.590575529,0.551528,2300.0,0.994641287137,676.6958031654358,13.526493787765503,0.188404,1.6477
