ExplainedVariance,Time,MinReturn,Perplexity,MaxReturn,AverageReturn,AveragePolicyStd,MeanKL,ItrTime,LossBefore,LossAfter,Entropy,TotalExecTime,StdReturn,NumTrajs,MaxKL
0.230124516386,11.566762924194336,0.0,17.1021,400.0,20.0,1.00066,8.26986,11.566769123077393,0.00419527,0.49241,2.8392,11.447113037109375,87.1779788708,20,979.601
1,22.881157398223877,0.0,17.174,0.0,0.0,1.00277,0.0,11.303886413574219,-0.0,-0.0,2.8434,11.245314121246338,0.0,20,0.0
1,34.32891392707825,0.0,17.174,0.0,0.0,1.00277,0.0,11.44322919845581,-0.0,-0.0,2.8434,11.304931879043579,0.0,20,0.0
0.194631912572,46.32784676551819,0.0,17.174,400.0,30.0,1.00277,7.53118,11.994433403015137,0.0107182,0.989371,2.8434,11.894793033599854,95.3939201417,20,856.85
0.152325936063,57.89637851715088,0.0,17.2663,400.0,20.0,1.00546,0.748875,11.560051202774048,-0.00822316,0.0149462,2.84876,11.491645097732544,87.1779788708,20,60.6198
0.150733488389,69.29374742507935,0.0,17.1954,400.0,50.0,1.00342,3.4937,11.386312246322632,-0.0112542,0.687926,2.84464,11.33278203010559,124.49899598,20,190.754
0.266663744601,80.7384684085846,0.0,17.0989,500.0,45.0,1.00058,32.8472,11.43283462524414,-0.00131441,8.15441,2.83902,11.358712673187256,124.398553046,20,1946.32
