Entropy,TotalExecTime,ExplainedVariance,MeanKL,MinReturn,Perplexity,LossBefore,MaxKL,Time,LossAfter,NumTrajs,MaxReturn,AverageReturn,StdReturn,AveragePolicyStd,ItrTime
2.83788,17.52635908126831,0.140344338978,49.7134,0.0,17.0795,0.0132907,3004.85,17.731663465499878,7.08928,20,200.0,10.0,43.5889894354,1.0,17.731670141220093
2.85117,16.31218123435974,0.105271390764,0.483547,0.0,17.308,0.0225924,29.6494,34.20293140411377,0.118099,20,600.0,40.0,135.646599663,1.00668,16.44328212738037
2.86246,15.314362049102783,0.210246871908,7.50806,0.0,17.5046,-0.0154267,672.078,49.64863157272339,-0.144839,20,900.0,45.0,196.150452459,1.01239,15.43796443939209
2.85475,16.301159620285034,0.235297598284,0.36205,0.0,17.3701,-0.0101257,33.3857,66.1280882358551,0.0212287,20,800.0,55.0,182.961744635,1.00853,16.456831693649292
2.84969,17.175447463989258,1,0.0,0.0,17.2824,-0.0,0.0,83.37444424629211,-0.0,20,0.0,0.0,0.0,1.00598,17.234419345855713
2.84969,15.648777484893799,0.203246841365,0.000577344,0.0,17.2824,0.021149,0.0641109,99.23302221298218,0.0199044,20,900.0,60.0,198.494332413,1.00598,15.814027070999146
2.86026,16.449271202087402,1,0.0,0.0,17.4661,-0.0,0.0,115.8827064037323,-0.0,20,0.0,0.0,0.0,1.01133,16.587620735168457
