ItrTime,1Entropy,LossBefore,0PolicyExecTime,0NumTrajs,1ExplainedVariance,1EnvExecTime,MeanKL,1ProcessExecTime,1AverageReturn,1AveragePolicyStd,0ProcessExecTime,0MaxReturn,1PolicyExecTime,0ExplainedVariance,0Perplexity,dLoss,1NumTrajs,1MaxReturn,0AveragePolicyStd,0MinReturn,LossAfter,1Perplexity,0Entropy,0AverageReturn,Time,MeanKLBefore,0EnvExecTime,ComputeUpdatedDistTime,0StdReturn,1MinReturn,1StdReturn
189.6103286743164,2.83642,-3.37604416645e-10,13.625945329666138,400,0.0552009513066,52.040111780166626,0.00427795061842,1.6672682762145996,110.5,0.999298,1.7607309818267822,4100.0,53.796570777893066,0.0416901384354,17.0795,0.00118467480643,400,3300.0,1.0,0.0,-0.00118467514403,17.0545,2.83788,89.25,189.61032390594482,-3.12137926617e-10,50.96345615386963,5.00828742980957,383.939366958,0.0,415.740002886
197.9100432395935,2.8531,-5.90807736067e-10,11.771966457366943,400,0.055025529542,68.96961879730225,0.00850325264037,2.10703182220459,154.0,1.00772,1.3631277084350586,6000.0,65.89909267425537,0.044948734411,17.3362,0.00151105771365,400,5900.0,1.00754,0.0,-0.00151105830446,17.3415,2.8528,106.5,388.24261450767517,-6.34463648286e-10,40.655407190322876,0.34345507621765137,496.797493955,0.0,627.641617486
184.8639624118805,2.83861,4.91854779128e-10,10.815931558609009,400,0.0758571197757,64.31358814239502,0.00664911419153,1.965867519378662,383.0,1.0005,1.1937878131866455,7400.0,62.7138237953186,0.0545661239709,17.1048,0.00237264929165,400,8600.0,1.00084,0.0,-0.00237264879979,17.092,2.83936,290.0,573.1169962882996,1.16415849183e-10,36.55445075035095,0.3473536968231201,905.013812049,0.0,1101.82167341
169.32025909423828,2.82205,-6.71570909994e-10,12.992818355560303,400,0.0479564151309,47.378188610076904,0.00944080762565,1.5134625434875488,394.25,0.992249,1.6433405876159668,9800.0,47.74568152427673,0.047886689847,16.8189,0.00172813926256,400,12800.0,0.992451,0.0,-0.00172813993413,16.8112,2.8225,320.0,743.1742312908173,-1.62981494967e-09,50.703431606292725,0.39255690574645996,1002.89580715,0.0,1251.95524581
132.4574751853943,2.79423,2.27009910869e-10,9.595492362976074,400,0.0761600301824,38.030797481536865,0.00901477225125,1.3347890377044678,356.75,0.978469,1.3197081089019775,16300.0,36.831263303756714,0.0704217524445,16.3804,0.00246703833691,400,12300.0,0.979344,0.0,-0.0024670381099,16.35,2.79608,296.75,875.6371326446533,1.08499254026e-08,38.48367977142334,0.33875083923339844,1231.71199454,0.0,1317.51828735
134.82971501350403,2.80203,4.26371132844e-10,9.575454473495483,400,0.0708746877788,38.92289161682129,0.0080491527915,1.2939743995666504,455.75,0.982278,1.2904222011566162,19400.0,37.65824890136719,0.0544501592033,16.3951,0.0019337643942,400,13900.0,0.979779,0.0,-0.00193376396783,16.4781,2.79698,398.75,1011.1542205810547,7.26140525487e-09,38.398409843444824,0.8067286014556885,1707.82710996,0.0,1561.54312701
136.09623312950134,2.80207,-8.20728041084e-10,10.474787473678589,400,0.0584232628187,38.91730976104736,0.00785636343062,1.2817928791046143,185.75,0.982295,1.4058291912078857,7500.0,37.30051374435425,0.0556060998753,16.4337,0.00340960837784,400,5800.0,0.980924,0.0,-0.00340960919857,16.4788,2.79934,147.0,1147.2561757564545,-7.96281263149e-09,39.33060622215271,0.3565530776977539,615.297489025,0.0,679.979365496
134.05525255203247,2.79103,-7.8871381648e-10,10.218607902526855,400,0.0932999135442,38.57461738586426,0.00934417080134,1.2706224918365479,463.5,0.976876,1.399566411972046,8100.0,36.48165440559387,0.0624250616961,16.2836,0.00322411572852,400,9400.0,0.976426,0.0,-0.00322411651723,16.2978,2.79016,302.5,1282.1592416763306,1.39698530521e-09,38.900550365448,0.42824387550354004,862.521738856,0.0,1076.78584222
131.5850043296814,2.76605,-1.16415321827e-10,9.962411642074585,400,0.108386279922,37.999898195266724,0.00769438501447,1.2220768928527832,696.0,0.96488,1.257070541381836,8100.0,36.21329998970032,0.0750314908277,15.9222,0.00274185498711,400,6200.0,0.965647,0.0,-0.00274185510352,15.8957,2.76771,512.5,1413.7503311634064,-5.07570740993e-09,37.82799172401428,0.3487727642059326,1088.84973711,0.0,1238.3997739
133.228919506073,2.78596,4.94765339809e-11,9.93101716041565,400,0.125645206554,38.28665089607239,0.00639969855547,1.2243587970733643,1090.25,0.97461,1.2365503311157227,8000.0,36.525386333465576,0.0849451839783,16.1579,0.00234551779286,400,10100.0,0.972815,0.0,-0.00234551774338,16.2154,2.78241,661.75,1547.7625720500946,-3.35275873731e-09,38.57321572303772,0.3531651496887207,1296.07559097,0.0,1822.36931973
133.5578155517578,2.77836,-1.31840349749e-09,10.132226705551147,400,0.0782899500846,38.36816668510437,0.00669944565743,1.2158408164978027,1264.75,0.97079,1.255218744277954,13600.0,36.4762806892395,0.0555892155545,16.0739,0.00247535932285,400,16700.0,0.97018,0.0,-0.00247536064126,16.0926,2.77719,736.0,1681.3259871006012,-2.28173591132e-09,38.52541899681091,0.3836519718170166,1680.12023379,0.0,2273.55062347
134.8278591632843,2.77673,-4.42742065232e-10,10.31264615058899,400,0.111311295398,38.55438542366028,0.00967238284647,1.2306253910064697,1436.25,0.970048,1.2738242149353027,8400.0,36.95625615119934,0.0558570536752,16.0604,0.00314930712302,400,13900.0,0.969848,0.0,-0.00314930756576,16.0664,2.77636,718.75,1816.8439791202545,-1.24797230328e-08,38.63551616668701,0.7605094909667969,1450.95604258,0.0,2041.17881076
