NumTrajs,Perplexity,Entropy,StdReturn,AveragePolicyStd,AverageReturn,LossBefore,TotalExecTime,Time,MinReturn,MeanKL,LossAfter,MaxReturn,ExplainedVariance,ItrTime,MaxKL
200,11.3286,2.42733,124.09270728,0.814456,2651.0,-0.0168299,25.66300368309021,755.6068217754364,2300.0,0.0276156,-0.0236652,3000.0,0.993968319336,25.87348461151123,0.20356
200,11.2337,2.41891,117.490425142,0.811028,2664.0,-0.0164745,26.710429191589355,782.5526442527771,2300.0,0.0162114,-0.0223827,2900.0,0.994566931289,26.921733617782593,0.120317
200,11.1415,2.41068,113.884810225,0.807682,2680.5,-0.00266562,25.63982367515564,808.3320939540863,2400.0,0.00946692,-0.00692208,3000.0,0.995092831188,25.774913787841797,0.0618412
200,11.1267,2.40934,126.600750393,0.80716,2666.5,0.00339656,25.60386824607849,834.149178981781,2300.0,0.0314345,-0.00341042,2900.0,0.993618300915,25.809974908828735,0.263237
200,11.1456,2.41104,117.860086543,0.807856,2653.0,0.00332093,25.9284987449646,860.2818036079407,2300.0,0.00327651,0.00161869,3000.0,0.994442653809,26.112801551818848,0.0265767
200,11.1641,2.4127,128.26145173,0.808538,2657.0,-0.0142462,26.530526638031006,887.071875333786,2300.0,0.007238,-0.0171077,3000.0,0.994118902202,26.782719373703003,0.0827694
200,11.0848,2.40558,117.122798805,0.805648,2663.5,-0.0071718,25.931440830230713,913.2169053554535,2300.0,0.00125144,-0.00822106,3000.0,0.994828539804,26.137187242507935,0.00959104
200,11.0452,2.40199,129.451728455,0.804215,2656.5,-0.0167995,25.786911249160767,939.2919685840607,2300.0,0.00504592,-0.0191217,2900.0,0.99397031629,26.053654670715332,0.0376712
200,10.9528,2.39359,129.459453112,0.800846,2690.5,-0.0178286,25.65463662147522,965.1225094795227,2200.0,0.000571253,-0.0186379,2900.0,0.994604010891,25.82615852355957,0.00313415
200,10.8556,2.38468,141.276324981,0.797256,2671.0,-0.0202054,25.09722876548767,990.4339382648468,2100.0,0.00759012,-0.023545,3000.0,0.993326686238,25.29627537727356,0.0498945
200,10.7465,2.37458,128.053699673,0.793252,2651.5,-0.0183756,26.65763282775879,1017.3561482429504,2200.0,0.00871413,-0.021685,2900.0,0.993341325839,26.919224500656128,0.105748
200,10.6482,2.36539,124.543165208,0.789663,2683.0,-0.00435534,26.350857496261597,1043.8622493743896,2300.0,0.0388256,-0.0119798,3000.0,0.995104021869,26.501580238342285,0.221288
200,10.625,2.36321,116.866376687,0.788807,2668.5,-0.0174488,25.842987537384033,1069.8154339790344,2200.0,0.00517513,-0.0196905,3000.0,0.993999462543,25.9421067237854,0.0451265
200,10.5327,2.35449,138.541510025,0.785403,2652.5,-0.0155722,23.424436569213867,1093.3332750797272,2300.0,0.0126899,-0.0196888,3000.0,0.993691982009,23.510952711105347,0.0447599
200,10.451,2.3467,117.250799571,0.782399,2673.5,-0.0103049,24.475696325302124,1118.0642738342285,2300.0,0.00604223,-0.0136277,3000.0,0.99497321071,24.72189688682556,0.0410901
200,10.3973,2.34155,126.466398699,0.780373,2667.5,-0.0102948,25.644001483917236,1143.9021303653717,2200.0,0.00696029,-0.0121763,2900.0,0.994377134091,25.819055795669556,0.0477683
200,10.3439,2.3364,139.318878836,0.778329,2659.5,-0.0154246,24.812732696533203,1168.955638885498,2100.0,0.049669,-0.0246374,3000.0,0.992971050071,25.030333518981934,0.359039
200,10.2645,2.32869,115.827457885,0.775316,2672.0,-0.00440662,26.76463794708252,1195.9209985733032,2300.0,0.0143438,-0.00733906,2900.0,0.994561186,26.957377433776855,0.0677869
200,10.2419,2.32649,113.082934168,0.774489,2678.5,-0.000697397,25.793020486831665,1221.810518026352,2300.0,0.0362475,-0.00915578,3000.0,0.995125044152,25.871227502822876,0.408143
200,10.2383,2.32614,108.346665846,0.774383,2669.0,0.00845319,26.608734846115112,1248.7009439468384,2400.0,0.0123023,0.00407047,2900.0,0.995174894792,26.876033544540405,0.0519296
200,10.2817,2.33036,116.394802289,0.776015,2673.5,-0.0160569,27.041218042373657,1275.9800124168396,2200.0,0.00103089,-0.0170304,3000.0,0.994482056735,27.27236843109131,0.0261397
200,10.1995,2.32233,111.084427351,0.772896,2685.5,-0.0148366,27.209588289260864,1303.405526638031,2400.0,0.00253107,-0.0160263,2900.0,0.994732790442,27.422564029693604,0.0356779
