LossBefore,0StdReturn,MeanKLBefore,ItrTime,0PolicyExecTime,1ExplainedVariance,1StdReturn,1ProcessExecTime,0AveragePolicyStd,1PolicyExecTime,1AveragePolicyStd,Time,MeanKL,0MaxReturn,0ExplainedVariance,1EnvExecTime,0NumTrajs,1Perplexity,0EnvExecTime,1AverageReturn,0Entropy,0ProcessExecTime,1MinReturn,0AverageReturn,ComputeUpdatedDistTime,1NumTrajs,dLoss,LossAfter,1MaxReturn,1Entropy,0MinReturn,0Perplexity
-5.09317032993e-11,1400.36760799,3.6870950737e-09,808.6478614807129,154.98526668548584,0.0856332633822,1294.44367973,6.440788745880127,1.0,288.47174167633057,0.999638,808.6478555202484,0.00674608629197,16200.0,0.0954920487225,160.9386501312256,2000,17.067,163.5686252117157,233.4,2.83788,6.661847114562988,0.0,253.25,1.0631461143493652,2000,0.000786838769272,-0.000786838820204,15500.0,2.83715,0.0,17.0794
-1.45519152284e-11,1388.47426246,7.56700591076e-10,1573.9890024662018,400.58454728126526,0.101848969724,1521.93403191,10.046109199523926,0.992442,610.8915205001831,0.993727,2388.124208211899,0.00866452790797,13700.0,0.0943636238958,236.37127876281738,2000,16.8657,272.373690366745,315.55,2.82269,11.677704811096191,0.0,294.15,0.3169405460357666,2000,0.0017755592562,-0.00177555927075,14700.0,2.82528,0.0,16.8221
1.51339918375e-09,1884.64081459,1.62981328433e-09,869.453780412674,201.92288899421692,0.114290942098,2165.50123009,6.553129434585571,0.991637,309.103209733963,0.99223,3263.328622817993,0.0073035643436,17000.0,0.0952250651973,158.7797725200653,2000,16.8149,162.1881229877472,530.65,2.82107,6.7785515785217285,0.0,467.0,0.2532029151916504,2000,0.00100642524194,-0.00100642372854,19800.0,2.82227,0.0,16.7949
4.22005541623e-10,1979.89100142,-1.50175996083e-08,840.3921642303467,179.84056091308594,0.129127206208,2302.30838453,6.44895339012146,0.991609,307.1874632835388,0.990899,4108.30438375473,0.00813897140324,18000.0,0.0976714199057,157.81510877609253,2000,16.7693,158.23918747901917,688.55,2.82098,6.681999206542969,0.0,557.85,0.25193285942077637,2000,0.00183995366388,-0.00183995324187,16500.0,2.81955,0.0,16.7934
2.91038304567e-11,1931.05927149,-1.60653321757e-08,823.583402633667,174.29469680786133,0.0969732252207,2169.85407574,6.155948638916016,0.987115,299.77488708496094,0.987743,4936.420722723007,0.00721160182729,15500.0,0.0803211539666,156.0842592716217,2000,16.6633,156.7534260749817,617.7,2.81194,6.561542510986328,0.0,550.3,0.24817347526550293,2000,0.00166183980764,-0.00166183977854,19000.0,2.81321,0.0,16.6422
5.52972778678e-10,2482.84210885,-2.3283017736e-09,817.3589684963226,171.78723764419556,0.118465294821,2910.68671923,6.068230152130127,0.980733,299.0725178718567,0.979517,5757.896613121033,0.00693164113909,18900.0,0.0983523221234,155.63102865219116,2000,16.3868,154.82099676132202,881.35,2.79896,6.242842674255371,0.0,700.25,0.2475283145904541,2000,0.00118374786689,-0.00118374731392,19500.0,2.79647,0.0,16.4276
1.45519152284e-10,3091.86215572,4.65666283311e-10,818.3866610527039,171.82959938049316,0.134972611809,3532.68264071,6.112364292144775,0.969477,299.09756731987,0.97034,6580.42538690567,0.00850727409124,19200.0,0.100850341249,155.83388423919678,2000,16.0797,155.63926029205322,1315.6,2.77578,6.184889316558838,0.0,1047.1,0.2504289150238037,2000,0.00143779270002,-0.0014377925545,20900.0,2.77756,0.0,16.0512
-7.42147676647e-10,3074.37985779,-1.8626434839e-09,829.0774841308594,173.8780174255371,0.124901247316,3637.78088263,6.216791391372681,0.958742,304.903831243515,0.959804,7414.23527097702,0.00706401793286,20200.0,0.0810352307321,157.2893705368042,2000,15.7339,156.3263509273529,1239.5,2.7536,6.240999221801758,0.0,904.3,0.2596156597137451,2000,0.00153022744053,-0.00153022818267,21200.0,2.75582,0.0,15.6991
-2.54658516496e-10,3366.87630304,1.8626434839e-09,876.1827094554901,177.29271817207336,0.124951130011,4197.41644825,6.529842376708984,0.944992,339.0855460166931,0.944602,8295.071759462357,0.00722184823826,21400.0,0.0862009259995,164.69749069213867,2000,15.2395,157.88430380821228,1724.6,2.72472,6.338367700576782,0.0,1208.6,0.2504007816314697,2000,0.00128735774342,-0.00128735799808,21400.0,2.72389,0.0,15.2521
-9.89530235529e-10,3582.7567654,-9.31321186837e-10,903.5170629024506,201.00933408737183,0.114706339832,4236.93455106,6.543696165084839,0.943566,337.00916957855225,0.942983,9203.084351062775,0.00691295415163,20800.0,0.0886554711612,164.88362455368042,2000,15.1857,163.03175854682922,1733.1,2.72157,6.611066579818726,0.0,1408.6,0.2642550468444824,2000,0.0012816178496,-0.00128161883913,21100.0,2.72035,0.0,15.2041
-5.3842086345e-10,3585.46777422,-7.07767178199e-16,910.8007612228394,203.60427713394165,0.130284447485,4544.57526728,6.612348318099976,0.925497,338.9820861816406,0.924387,10118.779162168503,0.00741788558662,19700.0,0.0815382401076,165.52367401123047,2000,14.5937,164.9601275920868,1874.2,2.68298,6.58134126663208,0.0,1257.8,0.2616002559661865,2000,0.0014502437989,-0.00145024433732,21700.0,2.68059,0.0,14.6287
1.22236087918e-09,3720.85845471,-5.5879310068e-09,904.0278372764587,199.77170848846436,0.161032446932,5293.6429609,6.588711977005005,0.921379,338.3821258544922,0.921518,11027.504927158356,0.00954344496131,22100.0,0.0814848693591,165.78979182243347,2000,14.5036,162.87382864952087,2389.55,2.6741,6.448058366775513,0.0,1410.6,0.2666001319885254,2000,0.00139558309456,-0.0013955818722,21900.0,2.6744,0.0,14.4993
