MinReturn,Entropy,ExplainedVariance,LossAfter,Perplexity,TotalExecTime,StdReturn,LossBefore,Time,NumTrajs,MeanKL,MaxKL,AverageReturn,MaxReturn,ItrTime,AveragePolicyStd
0.0,2.74043,0.107052606273,-0.0492656,15.4937,5.881629228591919,254.754784057,-0.0123656,5.953409194946289,20,0.147178,0.990013,90.0,900.0,5.953413009643555,0.95435
0.0,2.72807,0.372072849569,-0.0233676,15.3033,5.824206829071045,844.319252416,-0.00436181,11.868655681610107,20,0.0432116,0.329431,825.0,3600.0,5.911212205886841,0.948969
700.0,2.72589,0.390992360822,-0.0561695,15.2699,5.598659515380859,1932.48544626,-0.00929985,17.502707958221436,20,0.125547,0.215138,3750.0,7600.0,5.630312204360962,0.948106
18100.0,2.72124,0.954742179051,-0.00887655,15.1991,5.664761781692505,1064.0018797,0.00509312,23.226481676101685,20,0.0359223,0.100014,20530.0,22300.0,5.716954231262207,0.946463
0.0,2.72378,0.886699311429,-0.018389,15.2379,5.775587320327759,4669.73232638,-0.00504477,29.05061364173889,20,0.0445834,0.3022,19860.0,22200.0,5.814889192581177,0.947212
19700.0,2.72126,0.983548045665,-0.00779587,15.1995,10.074366092681885,618.44563221,0.00736348,39.17302966117859,20,0.0453896,0.153615,21005.0,22100.0,10.118553638458252,0.945937
19600.0,2.72494,0.984501118644,-0.0168121,15.2555,5.645445346832275,551.611276172,-0.00395491,44.8798189163208,20,0.0650804,0.191578,21315.0,22000.0,5.702599763870239,0.947847
