AveragePolicyStd,MeanKL,LossBefore,StdReturn,NumTrajs,MaxReturn,ItrTime,Perplexity,TotalExecTime,Entropy,MaxKL,LossAfter,Time,MinReturn,AverageReturn,ExplainedVariance
0.805297,0.412607,0.0361692,124.473892845,40,500.0,5.264837026596069,11.0609,5.20267915725708,2.40341,13.0885,-0.0351987,5.2648444175720215,0.0,72.5,0.053967147642
0.819485,0.169418,0.000131952,561.493544041,40,2900.0,4.721473217010498,11.4682,4.674224853515625,2.43958,1.21423,-0.0539988,9.990467071533203,0.0,1235.0,0.378457431428
0.819519,0.137077,-0.0104308,1037.10835982,40,5400.0,4.7584521770477295,11.469,4.72477912902832,2.43965,3.14792,-0.0657536,14.753687381744385,100.0,2487.5,0.41464679535
0.817392,0.0639056,-0.0252754,902.770042702,40,5900.0,6.2332727909088135,11.4093,6.171518087387085,2.43443,2.82093,-0.0556214,20.99909806251526,600.0,4427.5,0.780557296884
0.812204,0.0229344,-0.028865,1314.68627436,40,6800.0,4.781608581542969,11.2661,4.704747676849365,2.42179,0.303758,-0.055773,25.78957462310791,0.0,4940.0,0.698909448699
0.806335,0.0489726,-0.0419683,711.617874986,40,6600.0,4.7053022384643555,11.1046,4.662408351898193,2.40736,2.85043,-0.0750464,30.502835035324097,3700.0,5190.0,0.837661013896
0.79793,0.0393334,-0.0437874,978.618286157,40,7400.0,4.728486776351929,10.874,4.69319486618042,2.38638,0.955588,-0.0692488,35.23967528343201,2400.0,5707.5,0.840346687373
