StdReturn,Entropy,ItrTime,MinReturn,AveragePolicyStd,MeanKL,LossBefore,Perplexity,ExplainedVariance,Time,MaxReturn,MaxKL,NumTrajs,LossAfter,AverageReturn
647.911838138,2.77349,16.4143545627594,0.0,0.96874,0.0108094,-0.0266844,16.0145,0.484985707812,522.080070734024,2400.0,0.0336388,200,-0.0414527,564.5
676.863354009,2.76015,16.320123195648193,0.0,0.962353,0.010424,-0.0271932,15.8022,0.509078719015,538.6122283935547,2400.0,0.0307798,200,-0.0410749,784.0
677.384491998,2.74656,16.242153644561768,0.0,0.955822,0.0142256,-0.0129727,15.5888,0.607331669174,555.1462166309357,2600.0,0.0388286,200,-0.0294472,1075.5
565.928440706,2.74007,16.23797583580017,0.0,0.952837,0.0178464,-0.0278219,15.4881,0.755568535203,571.574850320816,2600.0,0.0713261,200,-0.0462531,1455.0
504.100932354,2.72616,16.62820053100586,0.0,0.946296,0.019018,-0.0485534,15.2741,0.80412695021,588.4004225730896,2600.0,0.0529971,200,-0.0670013,1711.5
394.95695968,2.70188,16.265287160873413,600.0,0.934941,0.0207881,-0.0444829,14.9077,0.896012363926,604.8659739494324,2700.0,0.0597095,200,-0.0621825,1953.0
331.124976406,2.67964,16.289061307907104,1100.0,0.924627,0.0232319,-0.0509784,14.5798,0.932704642205,621.3446960449219,2800.0,0.064018,200,-0.0692206,2122.5
278.563727,2.65415,16.43860149383545,700.0,0.912842,0.0270579,-0.0573907,14.2129,0.955897363168,637.9709942340851,2700.0,0.0705437,200,-0.0766872,2248.5
259.418098829,2.62545,16.373498678207397,1400.0,0.8997,0.0328222,-0.0469745,13.8108,0.965138168974,654.530665397644,2900.0,0.114905,200,-0.0665762,2348.5
213.072170872,2.60197,16.212819814682007,1600.0,0.889098,0.0188588,-0.0510552,13.4903,0.981846816308,670.9188029766083,2900.0,0.0496628,200,-0.0628328,2449.5
195.958541534,2.57644,16.515218496322632,1800.0,0.877866,0.0217695,-0.0657562,13.1502,0.979544332649,687.6095871925354,2900.0,0.0666196,200,-0.079599,2474.5
158.252172181,2.54356,16.295249223709106,1900.0,0.86354,0.0231766,-0.0524645,12.7249,0.987515383308,704.0968568325043,2900.0,0.0681897,200,-0.0637191,2542.5
162.55460621,2.51733,16.432149410247803,2000.0,0.852261,0.0125265,-0.0245818,12.3955,0.989462690677,720.7301256656647,2900.0,0.0375454,200,-0.0306468,2574.0
159.216048186,2.50504,16.117225408554077,2100.0,0.847078,0.0151894,-0.0439981,12.244,0.990408245969,737.0404005050659,3000.0,0.0496414,200,-0.0516351,2600.5
135.613421165,2.48304,16.673529386520386,2200.0,0.837799,0.0142784,-0.0315365,11.9776,0.992331471801,754.0293090343475,2900.0,0.046207,200,-0.0372073,2603.0
144.692777981,2.46727,16.234264612197876,2100.0,0.831221,0.0202535,-0.0206774,11.7902,0.991606353561,770.4597496986389,2900.0,0.0611122,200,-0.0289022,2608.0
135.646599663,2.45693,16.247791290283203,2100.0,0.827007,0.0242106,-0.0241638,11.669,0.993027415588,786.9001338481903,2900.0,0.0830366,200,-0.0323551,2630.0
