Entropy,TotalExecTime,AverageReturn,ItrTime,MeanKL,MinReturn,ExplainedVariance,StdReturn,MaxKL,AveragePolicyStd,LossBefore,LossAfter,MaxReturn,NumTrajs,Time,Perplexity
2.90787,5.334546089172363,447.5,5.392871141433716,0.629271,0.0,0.255256174476,317.795138415,29.1363,1.03594,0.0137915,-0.0865191,1400.0,40,5.392863750457764,18.3177
2.92166,5.791125774383545,960.0,5.870671987533569,0.128343,300.0,0.348436420701,424.735211632,7.51372,1.04292,-0.0197107,-0.0504187,2000.0,40,11.266549348831177,18.5721
2.91181,4.698202133178711,1027.5,4.757369756698608,0.112715,100.0,0.252536439934,582.231697866,10.4201,1.03789,-0.0215053,-0.0495591,2600.0,40,16.030027151107788,18.39
2.90105,5.784449815750122,1202.5,5.820010662078857,0.0964541,300.0,0.415236770634,497.236110917,4.48528,1.03224,-0.0103409,-0.0425825,2300.0,40,21.85784125328064,18.1933
2.89588,5.057912111282349,1252.5,5.109593629837036,0.0467726,300.0,0.315719956161,675.273092904,7.77265,1.02949,-0.0269012,-0.0526236,2900.0,40,26.9739031791687,18.0995
2.88243,5.982302188873291,1145.0,6.050749778747559,0.0738353,100.0,0.344952452179,585.213636205,6.93106,1.02257,-0.0531813,-0.0785447,2600.0,40,33.03131294250488,17.8577
2.85584,6.146344184875488,1282.5,6.182197570800781,0.150802,200.0,0.397523396246,661.395305396,33.1031,1.00903,-0.00295952,-0.0374031,2900.0,40,39.22685956954956,17.3891
