Perplexity,AverageReturn,Entropy,TotalExecTime,ItrTime,AveragePolicyStd,MaxReturn,MeanKL,LossAfter,MaxKL,StdReturn,ExplainedVariance,LossBefore,MinReturn,NumTrajs,Time
5.20145,1514.0,1.64894,13.49120044708252,13.578843832015991,0.551939,2900.0,0.193066,0.0168032,1.31659,1299.65533893,0.838593577833,0.0108565,0.0,200,406.9356052875519
5.22976,1517.5,1.65437,13.413374900817871,13.50140929222107,0.553452,2900.0,0.069109,0.00180831,0.944781,1296.89774076,0.830939437285,-0.00203175,0.0,200,420.44087052345276
5.22445,1535.5,1.65335,13.531311750411987,13.613142967224121,0.553181,2900.0,0.208678,0.0228238,2.37186,1287.82364864,0.830488663887,0.00344213,0.0,200,434.0570333003998
5.23345,1393.5,1.65507,13.618156433105469,13.681859493255615,0.55361,3000.0,0.168081,-0.0203458,1.66445,1322.80298987,0.833083443539,0.00966401,0.0,200,447.75012135505676
5.2588,1363.0,1.6599,13.430290937423706,13.510778427124023,0.554955,2900.0,0.0914617,-0.001715,0.687366,1298.81907901,0.826085601375,0.00627308,0.0,200,461.2715423107147
5.27531,1317.5,1.66304,13.43110728263855,13.525258302688599,0.555845,3000.0,0.0884264,-0.029001,0.561263,1327.04323592,0.832316705,-0.0159936,0.0,200,474.80378913879395
5.2333,1504.5,1.65504,13.5530686378479,13.659891128540039,0.553598,2900.0,0.319963,0.0276849,2.81546,1282.19723522,0.83593198617,0.0205822,0.0,200,488.4708089828491
5.28743,1553.0,1.66533,13.40017557144165,13.496331453323364,0.556477,3000.0,0.249101,0.0116606,1.85822,1301.99500767,0.839242288099,0.0111897,0.0,200,501.97055983543396
5.3171,1467.0,1.67093,13.294935941696167,13.358652591705322,0.558048,2900.0,0.132204,-0.013756,0.880324,1307.44445389,0.833105088183,0.00607302,0.0,200,515.3369433879852
5.33327,1402.0,1.67396,13.26113247871399,13.340799570083618,0.558869,3000.0,0.385474,0.043836,4.93601,1315.97720345,0.819778597651,0.00431743,0.0,200,528.6962645053864
5.34479,1677.0,1.67612,13.346788167953491,13.405612707138062,0.559472,2900.0,0.271879,-0.0276867,2.0361,1255.57596345,0.844139560721,-7.08243e-05,0.0,200,542.1055979728699
5.34461,1398.0,1.67609,13.36793303489685,13.4532949924469,0.559466,2900.0,0.0721812,-0.00143737,0.666656,1310.22746117,0.829385775327,0.00791635,0.0,200,555.5651268959045
5.3658,1686.0,1.68005,13.328876733779907,13.385764122009277,0.560583,3000.0,0.030447,-0.00855718,0.288994,1256.54446798,0.847181871301,-0.00777912,0.0,200,568.9567189216614
5.34497,1737.0,1.67616,13.423279047012329,13.494664430618286,0.559498,2900.0,0.0488349,-0.0152357,0.644714,1253.68696252,0.849581570473,-0.00727956,0.0,200,582.456591129303
5.32555,1607.5,1.67252,13.416051387786865,13.480159044265747,0.558451,3000.0,0.150203,-0.0282344,0.811603,1283.11875912,0.834410034013,-0.0186014,0.0,200,595.9484543800354
5.27625,1480.5,1.66322,13.410959482192993,13.479682207107544,0.555866,2900.0,0.345637,0.00626264,4.75954,1312.73369348,0.833363308301,-0.0136112,0.0,200,609.4370288848877
5.24046,1512.0,1.65641,13.421074867248535,13.518335342407227,0.553967,2900.0,0.0610546,0.00707254,0.52818,1303.4784233,0.83789979801,0.00691258,0.0,200,622.9616451263428
5.25861,1672.0,1.65987,13.24881362915039,13.308395862579346,0.554899,2900.0,0.319432,0.0117775,2.65865,1272.36629946,0.839711195386,-0.00351661,0.0,200,636.2730131149292
5.24937,1617.5,1.65811,13.347028493881226,13.401042938232422,0.554411,2900.0,0.0434765,-0.00849706,0.21955,1298.09235034,0.849833062269,-0.00272895,0.0,200,649.6779570579529
5.24221,1707.0,1.65674,13.34865140914917,13.428216218948364,0.554018,2900.0,0.185972,0.000374085,2.24277,1251.85901762,0.846785668716,0.00092841,0.0,200,663.1201040744781
5.24465,1739.5,1.65721,13.28321623802185,13.375938177108765,0.554142,3000.0,0.240169,-0.00690412,1.79639,1263.40403276,0.836504826387,-0.00260797,0.0,200,676.5019679069519
