MaxKL,MaxReturn,TotalExecTime,MeanKL,AverageReturn,NumTrajs,Entropy,Time,ExplainedVariance,LossBefore,Perplexity,ItrTime,MinReturn,StdReturn,AveragePolicyStd,LossAfter
0.173803,1800.0,29.737730026245117,0.0474722,243.5,200,2.82159,30.049243211746216,0.36722887279,-0.00967353,16.8035,30.049251556396484,0.0,445.822554387,0.991891,-0.0408788
0.0403371,2300.0,27.812464237213135,0.0136983,727.0,200,2.81192,58.10573101043701,0.557563621209,-0.0147042,16.6418,28.044182062149048,0.0,603.051407427,0.987104,-0.0297216
0.0474876,2400.0,28.014529943466187,0.0157981,1049.0,200,2.80456,86.4259569644928,0.601600647849,-0.0363959,16.5199,28.31449055671692,0.0,659.544539815,0.983481,-0.0527115
0.0624325,2400.0,27.730818033218384,0.0215068,1314.0,200,2.78637,114.49232339859009,0.726536542484,-0.0486946,16.222,28.062087535858154,0.0,592.118231437,0.974574,-0.069578
0.0749421,2700.0,28.708637237548828,0.0276315,1677.0,200,2.76202,143.44938969612122,0.833228059432,-0.056058,15.8318,28.933029651641846,0.0,489.153350188,0.962788,-0.0797373
0.0666424,2600.0,30.160048007965088,0.0238729,1896.0,200,2.73399,173.9828279018402,0.905689513481,-0.0671461,15.3942,30.507153749465942,400.0,384.29676033,0.949419,-0.0866264
0.122514,2700.0,29.261213302612305,0.0412709,2072.5,200,2.70042,203.5342082977295,0.933102266149,-0.0609506,14.8859,29.542399406433105,600.0,361.37757263,0.933714,-0.0871668
0.033926,2800.0,29.22495698928833,0.0141533,2246.5,200,2.66994,233.01545786857605,0.964424844912,-0.0432121,14.4391,29.464622974395752,1100.0,275.658756436,0.919738,-0.05439
0.0507931,2800.0,30.70252561569214,0.0201527,2309.0,200,2.64833,264.0154902935028,0.971805768415,-0.0502934,14.1305,30.988340616226196,1400.0,246.817746526,0.90987,-0.0635629
0.0630275,2900.0,29.833144664764404,0.0230534,2400.0,200,2.62319,294.23199009895325,0.981145024337,-0.0531188,13.7796,30.19682812690735,1600.0,209.523268398,0.898563,-0.0665396
0.0677004,2900.0,31.493706941604614,0.024243,2467.0,200,2.59663,326.0078122615814,0.985352994918,-0.0347152,13.4184,31.75270652770996,1600.0,195.987244483,0.886702,-0.0461961
0.0592141,2900.0,30.359965562820435,0.0217663,2497.5,200,2.57927,356.70865058898926,0.987535302277,-0.0466608,13.1875,30.69780206680298,1500.0,185.59027453,0.879149,-0.0561092
0.270469,2900.0,30.373730659484863,0.0855126,2547.0,200,2.55594,387.3977303504944,0.987062422106,-0.0418873,12.8834,30.67140555381775,1900.0,185.178292464,0.868931,-0.0690803
0.0448624,2900.0,32.70039176940918,0.0177608,2590.5,200,2.535,420.44544529914856,0.991179748265,-0.047813,12.6164,33.03242778778076,1900.0,162.66453209,0.859826,-0.0548316
0.0836388,3000.0,31.77680468559265,0.0294444,2619.0,200,2.51109,452.5325229167938,0.992661705202,-0.0314498,12.3184,32.07169437408447,2100.0,157.920866259,0.849653,-0.0416826
