ExplainedVariance,NumTrajs,AverageReturn,TotalExecTime,ItrTime,LossAfter,Time,Entropy,LossBefore,Perplexity,MaxReturn,MeanKL,AveragePolicyStd,StdReturn,MaxKL,MinReturn
0.988122427005,200,2590.0,13.208157300949097,13.281999349594116,-0.0516837,381.9517056941986,2.6376,-0.0440699,13.9796,3000.0,0.0181695,0.904734,184.932420089,0.254069,1800.0
0.989376826342,200,2618.0,12.753615379333496,12.81721806526184,-0.0470526,394.7776117324829,2.61557,-0.0298138,13.675,2900.0,0.0816956,0.894803,166.661333248,0.976914,2000.0
0.992120632627,200,2642.0,12.455435752868652,12.532340049743652,-0.0291243,407.32059502601624,2.60066,-0.0214001,13.4726,3000.0,0.0355939,0.888155,137.244307714,0.361432,2200.0
0.993193564932,200,2643.5,13.137794971466064,13.190823316574097,-0.0138354,420.5188102722168,2.58996,-0.0103387,13.3292,2900.0,0.0135025,0.883433,137.323523112,0.741923,2100.0
0.993667856088,200,2665.0,12.281445264816284,12.342833042144775,-0.0207056,432.8670084476471,2.58479,-0.016262,13.2605,3000.0,0.00397469,0.881192,134.443296597,0.0677191,2200.0
0.991875260449,200,2647.0,10.032136917114258,10.090278387069702,-0.0327221,442.96579599380493,2.57666,-0.0249285,13.1531,2900.0,0.0495174,0.877609,146.938762755,1.65358,2000.0
0.993237509587,200,2643.5,10.316522121429443,10.37258505821228,-0.028401,453.344589471817,2.56419,-0.0247703,12.9902,2900.0,0.0038951,0.872191,131.748814036,0.0728732,2100.0
0.993706853716,200,2657.0,10.257871389389038,10.308413982391357,-0.0153715,463.6582522392273,2.55181,-0.0120723,12.8303,3000.0,0.00721527,0.866797,136.934290811,0.112216,2200.0
0.992801676323,200,2648.0,10.016673803329468,10.100035667419434,-0.0434237,473.7639067173004,2.54577,-0.0296882,12.7531,2900.0,0.0839418,0.864193,135.262707351,4.02947,2100.0
0.994564161118,200,2663.5,10.32170844078064,10.418720960617065,-0.0433163,484.1866054534912,2.53093,-0.0355265,12.5652,3000.0,0.0381539,0.857807,124.970996635,1.10487,2300.0
