MeanKL,Time,LossBefore,LossAfter,MaxReturn,Entropy,AverageReturn,Perplexity,ExplainedVariance,TotalExecTime,StdReturn,AveragePolicyStd,MinReturn,NumTrajs,ItrTime,MaxKL
0.00669225,1083.7112998962402,0.00205327,-0.00405701,2800.0,2.78801,756.5,16.2487,0.756148158858,35.79441809654236,1005.7622731,0.975409,0.0,200,36.01236391067505,0.133219
0.00799067,1120.0800983905792,-0.0253459,-0.0312314,2800.0,2.78904,967.0,16.2654,0.787819998354,36.07537484169006,1044.17958226,0.975957,0.0,200,36.342780351638794,0.0852434
0.0124161,1153.7692759037018,-0.0252594,-0.0363507,2900.0,2.77637,759.5,16.0606,0.689422349542,33.37011528015137,962.190079974,0.969782,0.0,200,33.67261815071106,0.533229
0.0253439,1189.6236753463745,-0.0109006,-0.0264027,2900.0,2.76374,1171.0,15.859,0.743832860059,35.537365436553955,1074.87627195,0.963718,0.0,200,35.82867693901062,0.620727
0.0105737,1224.6480050086975,-0.00731339,-0.0152294,2800.0,2.75829,1154.5,15.7728,0.719396349182,34.68112301826477,1005.97204236,0.961105,0.0,200,34.9949676990509,0.125736
0.0117134,1258.9866807460785,-0.0122227,-0.0210817,2800.0,2.75463,1328.0,15.7152,0.743220491132,33.93827533721924,942.611266642,0.959386,0.0,200,34.32232117652893,0.197496
0.0202529,1294.0435333251953,-0.0247004,-0.0358638,2800.0,2.74852,1535.5,15.6195,0.77964353334,34.725298166275024,954.772093224,0.956381,0.0,200,35.03635120391846,0.298043
0.0221493,1327.645924091339,-0.02681,-0.0385614,2900.0,2.73617,1690.0,15.4278,0.779866797293,33.305394649505615,910.109883476,0.950503,0.0,200,33.56908059120178,0.267737
0.0110409,1362.626482963562,-0.0186991,-0.028248,2900.0,2.72276,1830.5,15.2223,0.822518597095,34.63208222389221,796.818517606,0.944132,0.0,200,34.96498370170593,0.146169
0.022499,1399.1892824172974,-0.0286765,-0.0380847,3000.0,2.71342,1959.0,15.0807,0.834568791933,36.145124435424805,663.64071605,0.939711,0.0,200,36.546088457107544,0.427992
0.0804102,1435.4589519500732,-0.0267016,-0.0637547,2900.0,2.69908,2125.5,14.866,0.880106577895,35.85847544670105,549.27201822,0.932986,0.0,200,36.25783848762512,2.72428
0.0217433,1469.202098608017,-0.0387622,-0.0513675,2900.0,2.68573,2213.5,14.6689,0.907418554278,33.432213306427,497.461305028,0.926763,0.0,200,33.724244832992554,0.509781
0.0249123,1502.5085995197296,-0.0188447,-0.0296363,2900.0,2.66635,2351.0,14.3873,0.939841488648,32.99905848503113,349.426673281,0.917827,1000.0,200,33.29625606536865,0.393356
0.0309995,1537.580970287323,-0.0394265,-0.0516946,2900.0,2.65692,2423.5,14.2524,0.966036493232,34.85306429862976,291.886536175,0.913503,1300.0,200,35.04918694496155,0.422536
0.06625,1573.5375723838806,-0.0558556,-0.0764418,2900.0,2.63721,2479.0,13.9742,0.97589804141,35.69243764877319,235.072329295,0.904559,1600.0,200,35.92557692527771,0.551845
0.0182533,1608.8118588924408,-0.0152545,-0.0222331,3000.0,2.60928,2543.5,13.5893,0.985095389424,35.024808168411255,196.615741994,0.892033,2000.0,200,35.254886865615845,0.32218
0.057688,1643.903970003128,-0.0527945,-0.068817,2900.0,2.60165,2548.5,13.486,0.982832080858,34.76571822166443,218.169085803,0.88866,1700.0,200,35.07939052581787,0.931869
0.00854284,1679.3478679656982,-0.0488298,-0.0553258,3000.0,2.57526,2608.5,13.1347,0.989279752188,35.13619017601013,158.043506668,0.876999,2000.0,200,35.43053603172302,0.0878169
0.00795147,1713.5650782585144,-0.0238004,-0.0285767,2900.0,2.55084,2616.5,12.8179,0.99022509785,33.96412491798401,152.570475519,0.866358,2000.0,200,34.201361894607544,0.234302
0.0419992,1747.7736704349518,-0.0437574,-0.0562202,3000.0,2.53894,2606.0,12.6663,0.990661089611,33.858073472976685,151.538773916,0.861189,2200.0,200,34.17386174201965,0.510291
