StdReturn,MeanKL,MaxKL,NumTrajs,AverageReturn,Perplexity,Time,TotalExecTime,LossBefore,MinReturn,ItrTime,AveragePolicyStd,Entropy,ExplainedVariance,LossAfter,MaxReturn
109.744020338,0.0626114,0.453177,200,2682.5,8.94632,425.13864493370056,14.558067798614502,-0.026925,2100.0,14.702465057373047,0.724233,2.19124,0.994895772809,-0.0358835,3000.0
114.541477204,0.246544,1.0501,200,2669.5,8.82669,440.946902513504,15.700483322143555,-0.0199811,2400.0,15.785465955734253,0.719338,2.17778,0.994525900013,-0.0500179,2900.0
117.020297385,0.0748912,0.389815,200,2672.5,8.73894,456.1190712451935,15.0716552734375,0.00281402,2300.0,15.165249109268188,0.715684,2.16779,0.995026364267,-0.00517236,2900.0
114.712684565,0.0652266,0.613016,200,2671.0,8.75125,471.56935238838196,15.337677717208862,0.0326793,2400.0,15.444388628005981,0.716178,2.1692,0.994384917174,0.0242122,3000.0
118.486286126,0.0464354,0.244449,200,2681.0,8.89541,485.7486882209778,14.00301718711853,-9.78671e-05,2400.0,14.166463851928711,0.721977,2.18554,0.99487602907,-0.00571384,3000.0
117.490425142,0.00620445,0.0462001,200,2686.0,8.89497,499.30487084388733,13.424332857131958,-0.0162564,2300.0,13.54940915107727,0.721958,2.18549,0.994591093646,-0.0176865,3000.0
114.427924913,0.0382127,0.210895,200,2672.5,8.82297,514.5271978378296,15.079060316085815,-0.00861242,2300.0,15.21748423576355,0.719074,2.17736,0.994863382204,-0.0158765,3000.0
128.995154948,0.0742967,0.584533,200,2689.5,8.78506,529.1547560691833,14.562639713287354,-0.0240172,2400.0,14.619625806808472,0.717534,2.17305,0.99447049189,-0.0313844,3000.0
122.260991326,0.0284093,0.262519,200,2673.5,8.68019,544.0153403282166,14.748867273330688,0.00325462,2400.0,14.854132890701294,0.713315,2.16104,0.994306882718,-0.000476605,3000.0
134.922199804,0.0628648,0.390927,200,2686.0,8.69433,559.4668533802032,15.343630313873291,0.00547752,2200.0,15.446871519088745,0.713805,2.16267,0.994153263278,-0.00417885,3000.0
113.709058566,0.0249541,0.141114,200,2679.5,8.71817,574.4659271240234,14.910030364990234,-0.013273,2200.0,14.996238231658936,0.714794,2.16541,0.994399111262,-0.0172164,2900.0
124.643491607,0.0451257,0.402386,200,2692.0,8.66051,588.3015909194946,13.764041185379028,-0.0132493,2400.0,13.826143741607666,0.712462,2.15877,0.994745867533,-0.0196889,3000.0
107.703296143,0.0669,0.557274,200,2680.0,8.60333,603.5634567737579,15.167322635650635,0.0103977,2400.0,15.252293586730957,0.710187,2.15215,0.9949946925,0.00349101,2900.0
104.971424683,0.0375693,0.341982,200,2691.0,8.64817,618.5986814498901,14.967094898223877,-0.00485389,2400.0,15.026387691497803,0.712169,2.15735,0.995336705296,-0.010521,2900.0
116.136772816,0.0295829,0.298102,200,2678.5,8.6272,633.4121725559235,14.690727949142456,-0.00281247,2300.0,14.800308465957642,0.711327,2.15492,0.994884087748,-0.00790333,2900.0
104.152532374,0.0466964,0.44079,200,2673.5,8.61508,647.5976932048798,14.079060554504395,-0.0123253,2400.0,14.180970430374146,0.71091,2.15351,0.995205969708,-0.0180388,3000.0
121.967208708,0.126208,0.825602,200,2682.0,8.56216,661.8982872962952,14.19179105758667,-0.0256157,2300.0,14.296040534973145,0.708749,2.14735,0.994650928562,-0.0403628,3000.0
114.647285184,0.0230124,0.188944,200,2684.0,8.45319,676.3257455825806,14.310286283493042,0.0122214,2300.0,14.417968511581421,0.704264,2.13454,0.99484740867,0.00803547,3000.0
113.13708499,0.0780599,0.651093,200,2690.0,8.50501,691.6170105934143,15.130799531936646,-0.0260231,2300.0,15.284766435623169,0.706309,2.14066,0.995034958789,-0.0345666,3000.0
119.461290802,0.0974803,0.675871,200,2677.0,8.39506,707.3357455730438,15.601816415786743,-0.00534218,2300.0,15.709988355636597,0.701698,2.12764,0.994702885079,-0.0166449,2900.0
117.301960768,0.0239235,0.251817,200,2690.5,8.37266,721.7480335235596,14.290457725524902,-0.00967092,2400.0,14.401710510253906,0.700679,2.12497,0.994775764762,-0.0150205,3000.0
118.227534864,0.0401076,0.192052,200,2683.5,8.33227,736.2981977462769,14.38115382194519,0.00956598,2300.0,14.54136347770691,0.699089,2.12014,0.994720666748,0.00371851,3000.0
