MinReturn,ExplainedVariance,AverageReturn,Perplexity,NumTrajs,AveragePolicyStd,TotalExecTime,StdReturn,MaxKL,Entropy,ItrTime,LossAfter,MaxReturn,LossBefore,MeanKL,Time
0.0,0.469597028176,70.0,17.1021,20,1.00066,13.279176712036133,148.660687473,16850.4,2.8392,13.387785911560059,23.5905,500.0,-0.00146765,142.466,13.38778018951416
0.0,0.178479035828,15.0,17.077,20,0.999943,13.397692918777466,65.3834841531,110.727,2.83773,13.460280179977417,0.0529795,300.0,-0.00389563,1.83478,26.85700249671936
0.0,0.155460371441,75.0,17.0438,20,0.998972,13.601264238357544,238.484800354,120.682,2.83579,13.637471437454224,-0.823145,1000.0,0.000932813,1.63695,40.502371072769165
0.0,0.29694324839,20.0,17.0517,20,0.99919,12.532676458358765,87.1779788708,15.4284,2.83625,12.73622989654541,-0.0210668,400.0,0.030615,0.201075,53.24968600273132
0.0,0.0520084586702,10.0,17.3148,20,1.0069,11.629505157470703,43.5889894354,31.5481,2.85156,11.807291984558105,-0.157201,200.0,-0.00526213,0.990688,65.07169246673584
0.0,0.113170448301,180.0,17.2693,20,1.0056,13.626554489135742,463.249392876,80.8537,2.84893,13.665124416351318,0.0739108,1600.0,-0.0149216,0.921527,78.74507761001587
0.0,1,0.0,17.1409,20,1.00191,12.897121906280518,0.0,0.0,2.84147,12.953214883804321,-0.0,0.0,-0.0,0.0,91.70576620101929
