ExplainedVariance,MeanKL,TotalExecTime,LossBefore,MinReturn,AverageReturn,StdReturn,Time,NumTrajs,Perplexity,ItrTime,MaxKL,LossAfter,MaxReturn,Entropy,AveragePolicyStd
0.995614285248,0.0192027,14.599454641342163,-0.011074,2300.0,2690.5,108.902479311,423.6990270614624,200,9.20538,14.713383197784424,0.1638,-0.0146117,2900.0,2.21979,0.735487
0.995204502735,0.00415843,15.53190565109253,-0.0129403,2400.0,2683.5,115.662223738,439.3034188747406,200,9.15455,15.590417385101318,0.0322949,-0.0145897,3000.0,2.21425,0.733334
0.994513295311,0.0443746,14.535397291183472,-0.00178022,2400.0,2699.0,119.578426148,453.92741799354553,200,9.09551,14.620094537734985,0.288406,-0.00791483,3000.0,2.20778,0.731025
0.99466770484,0.0361391,14.552676677703857,0.0113129,2400.0,2680.5,127.160331865,468.57290172576904,200,9.08741,14.641587734222412,0.234962,0.00718189,3000.0,2.20689,0.730742
0.994764981823,0.21973,14.961189031600952,0.00828603,2200.0,2686.5,113.436105363,483.6551833152771,200,9.13896,15.073861598968506,2.08907,-0.0107042,2900.0,2.21255,0.733027
0.994480594112,0.129835,15.228387355804443,0.0130695,2300.0,2678.5,116.566504623,498.94920468330383,200,9.17691,15.287583351135254,1.03996,0.00247671,2900.0,2.21669,0.734594
0.994771071104,0.205386,15.502720355987549,0.0068547,2300.0,2680.5,112.559984009,514.5924034118652,200,9.23707,15.633723735809326,2.29896,-0.0137441,2900.0,2.22322,0.736862
0.994368683264,0.0415866,14.993781805038452,0.00593547,2400.0,2672.0,119.230868486,529.6843945980072,200,9.26878,15.087412357330322,0.715615,0.000729311,3000.0,2.22665,0.738217
0.995167016885,0.050857,14.942217111587524,-0.00274147,2400.0,2681.0,109.265731133,544.7176852226257,200,9.29633,15.026216745376587,0.24336,-0.00875871,3000.0,2.22962,0.739118
0.993755306466,0.0540114,14.095318078994751,0.00778655,2300.0,2656.5,127.505882217,558.9178185462952,200,9.2836,14.195464611053467,0.485473,0.00310122,2900.0,2.22825,0.73852
0.995579886186,0.00951059,14.304450511932373,-0.00388796,2400.0,2700.0,110.453610172,573.3061652183533,200,9.31981,14.38309931755066,0.0882925,-0.00661603,3000.0,2.23214,0.74001
