1AveragePolicyStd,1MinReturn,1ExplainedVariance,0NumTrajs,Time,0AveragePolicyStd,MeanKLBefore,1AverageReturn,1PolicyExecTime,0EnvExecTime,0MinReturn,dLoss,1Entropy,0Entropy,1StdReturn,0ProcessExecTime,1MaxReturn,MeanKL,0ExplainedVariance,LossBefore,1Perplexity,0PolicyExecTime,ItrTime,0MaxReturn,LossAfter,ComputeUpdatedDistTime,0Perplexity,1ProcessExecTime,1NumTrajs,0AverageReturn,0StdReturn,1EnvExecTime
0.995037,-175.457998181,0.526830150536,813,58.738423109054565,1.0,2.27084292419e-05,-61.1195117554,22.555138111114502,3.782722234725952,-193.296942009,0.0162173880963,2.82767,2.83788,24.2196149774,0.6853358745574951,-0.955149367382,0.00831015221775,0.500810606287,-0.000107610714622,16.906,2.2723681926727295,58.73842763900757,-0.0942155162287,-0.0163249988109,11.286895275115967,17.0795,0.7851731777191162,810,-69.6045509077,29.4497111861,4.771382570266724
0.999155,-103.698849832,0.556939977775,816,99.31437635421753,1.00499,2.50182233685e-06,-45.4060274963,21.497271299362183,4.4357216358184814,-164.790132968,0.0167596305255,2.83595,2.84784,16.797980445,0.7210242748260498,-0.413478161626,0.00712943449616,0.527656237863,0.000819966429844,17.0466,2.078855037689209,39.693268060684204,-0.10613729289,-0.0159396640956,0.594144344329834,17.2504,0.7730417251586914,823,-59.0747304124,23.8795348484,4.6104748249053955
0.993354,-92.2659822196,0.564858210116,815,140.60896182060242,1.00266,3.10794030156e-06,-34.8205039388,22.35574173927307,4.411942958831787,-110.074040922,0.0163025890943,2.82428,2.84318,12.9065858846,0.7050726413726807,-0.388425835494,0.00727079482749,0.57204923372,0.00123674212955,16.8488,2.0351991653442383,41.287169456481934,-0.0932589440198,-0.0150658469647,1.1883454322814941,17.1702,0.8105249404907227,842,-49.5109635555,18.0083926725,4.9196412563323975
0.990721,-68.884205081,0.617836601105,814,180.7920858860016,0.998978,3.46056367562e-05,-28.1651032565,22.707621097564697,3.379654884338379,-95.5401053265,0.0158943387214,2.81894,2.83582,9.39063381016,0.5658271312713623,-0.151719388505,0.0069107208401,0.608130031743,-0.000155361136422,16.759,1.7465629577636719,39.34911513328552,-0.551602679103,-0.0160496998578,0.6287064552307129,17.0444,0.7931904792785645,844,-43.3632250078,14.5978282804,4.817810297012329
0.991612,-56.443499645,0.589763605093,822,219.2985062599182,0.995451,3.07939167499e-08,-25.1720172362,22.286880254745483,2.8571224212646484,-88.9898338328,0.0142037749101,2.82079,2.82875,8.81105103924,0.49043798446655273,-0.00396688298719,0.00671281339601,0.536989558286,-6.82592581143e-05,16.7901,1.5751652717590332,38.50106191635132,-1.02825578125,-0.0142720341682,0.5810129642486572,16.9242,0.8405859470367432,864,-42.6389809389,16.8185036564,5.064711093902588
0.979998,-53.9285551633,0.605889719405,812,258.88929557800293,0.987665,5.39966322322e-06,-23.0483057408,22.46757459640503,2.984009027481079,-81.2821220117,0.0127283860929,2.79715,2.81304,7.88414612718,0.4906961917877197,-0.216859812913,0.00724520208314,0.59534639816,0.00122276553884,16.3979,1.6184771060943604,38.715826988220215,-0.00517581412383,-0.0115056205541,0.5352513790130615,16.6604,0.8281528949737549,864,-43.4779098945,15.3973108548,5.115902900695801
0.974235,-43.4070365921,0.577914048556,811,298.78566694259644,0.976786,2.78466395685e-05,-19.5141925576,22.702224731445312,3.3810582160949707,-83.1504984953,0.0109747268434,2.78543,2.79089,7.17393104186,0.5695312023162842,-0.369418088604,0.00754176219925,0.625280730881,0.000423526595114,16.2068,1.7299816608428955,39.88793635368347,-0.131009867752,-0.0105512002483,0.583857536315918,16.2956,0.8295724391937256,889,-43.7323495161,14.7126537655,5.137951850891113
0.956656,-43.7971364939,0.56547605382,812,338.5876679420471,0.961929,5.35596996087e-07,-18.1218176985,21.666304111480713,3.7711868286132812,-76.6534996871,0.0108491875726,2.74905,2.76024,7.21307778093,0.6286346912384033,-0.00906198009701,0.00696739088744,0.591799586673,4.11602231907e-05,15.6278,1.8178930282592773,38.95694184303284,-0.00599169062582,-0.0108080273494,0.5922253131866455,15.8037,0.802692174911499,900,-40.3395053003,14.7218985226,4.812972784042358
0.946723,-41.0437805872,0.53645186294,814,376.03422594070435,0.949741,6.51078380542e-06,-16.8940043618,22.00852870941162,2.616126775741577,-78.502116197,0.00818989460822,2.7281,2.73473,6.90419017833,0.44571518898010254,-0.0071966438012,0.00698633026332,0.591025631046,0.00116126413923,15.3038,1.5211036205291748,37.43768620491028,-0.0405748410797,-0.00702863046899,0.5411844253540039,15.4056,0.7733409404754639,908,-40.5722541618,14.7926175269,4.659281253814697
0.931976,-32.9761568077,0.523077700402,810,414.2932059764862,0.934219,1.09345219244e-05,-14.6877525762,21.088528633117676,3.307891845703125,-73.5619180083,0.0073197495658,2.69666,2.70175,6.33853428359,0.4409365653991699,-0.0580361401719,0.00747648300603,0.611139830952,0.00344062992372,14.8302,1.481767177581787,37.42437028884888,-0.268433665409,-0.00387911964208,0.5370731353759766,14.9058,0.807701826095581,942,-41.2403133349,14.4120497637,4.8228840827941895
0.922442,-35.2216375779,0.560746068613,814,451.39788937568665,0.924682,0.000662827398628,-14.3138660532,21.797569274902344,2.3813297748565674,-76.7707439658,0.00709833949804,2.67607,2.68124,6.12055652211,0.4080221652984619,-0.12882310313,0.00820430926979,0.596630051313,0.00204792572185,14.5279,1.4477622509002686,37.09729743003845,-0.908118373696,-0.00505041377619,0.5788359642028809,14.6032,0.7979307174682617,937,-39.4055865999,14.2923641461,4.828753471374512
