ItrTime,1StdReturn,1ExplainedVariance,0NumTrajs,0Entropy,1AveragePolicyStd,1PolicyExecTime,0MaxReturn,0Perplexity,LossAfter,1Entropy,MeanKLBefore,0AverageReturn,1NumTrajs,1Perplexity,1MaxReturn,LossBefore,0ExplainedVariance,1ProcessExecTime,dLoss,ComputeUpdatedDistTime,0StdReturn,0AveragePolicyStd,0PolicyExecTime,1AverageReturn,0EnvExecTime,Time,1EnvExecTime,0ProcessExecTime,0MinReturn,1MinReturn,MeanKL
105.02317237854004,168.051558722,0.184260605423,1200,2.83788,0.99691,34.293851137161255,1700.0,17.0795,-0.00727071706206,2.83167,-1.5570547518e-08,13.75,1200,16.9738,2300.0,-7.56699591875e-10,0.052046639145,0.9024028778076172,0.00727071630536,0.7373430728912354,107.94722862,1.0,21.256086826324463,28.5833333333,21.218833923339844,105.02317118644714,21.57108759880066,0.8966116905212402,0.0,0.0,0.00946649443358
103.44454956054688,431.858379243,0.320568731853,1200,2.84643,1.00494,34.33893394470215,1200.0,17.2262,-0.00633860193193,2.84769,-3.91810228706e-09,16.8333333333,1200,17.2478,2600.0,1.7462298274e-10,0.0746493426359,0.8998372554779053,0.00633860210655,0.08055853843688965,114.382278153,1.0043,20.989330291748047,126.583333333,21.18957543373108,210.24929022789001,21.55088758468628,0.9096310138702393,0.0,0.0,0.00872229412198
105.57425379753113,327.311767365,0.31175951668,1200,2.83057,0.997153,35.30396318435669,1400.0,16.9551,-0.00574610894546,2.83203,3.03843634697e-08,15.4166666667,1200,16.9799,2600.0,9.31322574615e-10,0.0397533770555,0.9409093856811523,0.00574610987678,0.10276174545288086,115.198349477,0.996423,21.32011651992798,88.0833333333,21.47306537628174,317.67250871658325,22.144673347473145,0.9056832790374756,0.0,0.0,0.00632661068812
102.95765972137451,390.973677716,0.356990053848,1200,2.83022,0.995702,34.43212056159973,2200.0,16.9491,-0.005613128189,2.82905,2.32833086145e-10,20.1666666667,1200,16.9293,2400.0,1.7462298274e-10,0.0772508823456,0.9048337936401367,0.00561312836362,0.08414840698242188,147.512617163,0.996335,20.7957181930542,137.5,20.81067681312561,422.432329416275,21.6297869682312,0.8818025588989258,0.0,0.0,0.00719008548185
103.51610112190247,491.758635466,0.343366777316,1200,2.81863,0.991845,34.661633014678955,1900.0,16.7539,-0.00585381919518,2.82083,9.31323351772e-10,18.6666666667,1200,16.7907,2400.0,-1.04773789644e-09,0.0491050051008,0.9213693141937256,0.00585381814744,0.08396148681640625,128.198630605,0.990749,20.846686363220215,193.666666667,21.02127981185913,527.8076186180115,21.70587968826294,0.8977901935577393,0.0,0.0,0.00980187952518
104.87010931968689,507.632823341,0.380928806535,1200,2.82262,0.99402,35.09928369522095,1300.0,16.8209,-0.00754409050569,2.82388,-2.79396883407e-09,19.25,1200,16.8421,2500.0,-1.86264514923e-09,0.0489872439409,0.9311797618865967,0.00754408864304,0.0765531063079834,125.583056846,0.993261,21.090517044067383,231.5,21.25732445716858,634.5260834693909,22.071552991867065,0.9178416728973389,0.0,0.0,0.00925308000296
106.02048206329346,652.221651997,0.382980422273,1200,2.80725,0.98695,35.26876759529114,1600.0,16.5643,-0.00844037719071,2.80982,-1.39698963508e-09,29.0,1200,16.607,2700.0,-8.11269273981e-10,0.0567835235044,0.9348735809326172,0.00844037637944,0.08469271659851074,154.085474115,0.985539,21.462294578552246,340.5,21.639530420303345,742.6594362258911,22.22761821746826,0.9273161888122559,0.0,0.0,0.00784092675894
104.0770833492279,597.78860998,0.351757088468,1200,2.79109,0.977798,34.935261249542236,1800.0,16.2987,-0.00842762552202,2.7913,3.25963012138e-09,31.5833333333,1200,16.3021,2600.0,2.56113708019e-09,0.0709799151742,0.9299674034118652,0.00842762808315,0.08931159973144531,171.981083424,0.977785,20.918302297592163,305.666666667,20.979447603225708,848.5472559928894,21.96402668952942,0.903667688369751,0.0,0.0,0.0070269452408
105.45713210105896,670.510502031,0.348437213137,1200,2.78064,0.970504,34.720374584198,1900.0,16.1294,-0.00595709867775,2.77636,1.86264514923e-09,34.8333333333,1200,16.0605,2700.0,3.49245965481e-10,0.0873092170962,0.935988187789917,0.005957099027,0.0723426342010498,179.592053153,0.972705,21.84941577911377,393.0,21.27757692337036,955.6209986209869,22.280977964401245,0.9062929153442383,0.0,0.0,0.0065286308527
105.70119571685791,812.400211821,0.419899118095,1200,2.74252,0.951695,34.374539613723755,1800.0,15.5261,-0.00754100270569,2.73728,2.96984659087e-15,41.8333333333,1200,15.4449,2800.0,-2.91038304567e-10,0.0814005658982,0.9152038097381592,0.00754100241465,0.07485055923461914,213.03357847,0.954235,22.24379253387451,545.25,21.782739639282227,1062.9293830394745,21.981902599334717,0.9399721622467041,0.0,0.0,0.00664864573628
102.89475750923157,787.234254103,0.405532908919,1200,2.73257,0.946715,33.38296699523926,1700.0,15.3724,-0.00677783088759,2.72635,-6.98491209317e-10,31.9166666667,1200,15.2771,2800.0,-1.83354131877e-09,0.0792051846993,0.8984603881835938,0.00677782905404,0.07711577415466309,171.482729127,0.949677,21.77237319946289,543.25,20.990697622299194,1167.9671454429626,21.389753818511963,0.8989913463592529,0.0,0.0,0.00681249145418
