StdReturn,NumTrajs,Time,ExplainedVariance,Perplexity,MaxReturn,MinReturn,TotalExecTime,AverageReturn,MaxKL,LossAfter,AveragePolicyStd,Entropy,MeanKL,ItrTime,LossBefore
21.7944947177,40,7.44627571105957,0.0221576720363,16.3558,100.0,0.0,7.36416482925415,5.0,35.9901,-0.0600599,0.982009,2.79458,0.42585,7.446279764175415,0.000878807
15.612494996,40,14.991354942321777,0.0117675482706,16.3702,100.0,0.0,7.424078702926636,2.5,29.1955,-0.054693,0.982322,2.79546,0.206356,7.539647579193115,-6.97747e-05
71.4142842854,40,22.331387519836426,0.0246859934793,16.3696,300.0,0.0,7.28018593788147,30.0,5.84738,-0.00227664,0.981855,2.79543,0.040947,7.335691690444946,0.0179033
182.328686717,40,29.484832525253296,0.0348164763562,16.5168,1000.0,0.0,7.088148832321167,77.5,8.05587,0.00436366,0.986143,2.80438,0.0614372,7.1477179527282715,0.0252978
223.103115173,40,38.07298302650452,0.0698656967616,16.7271,900.0,0.0,8.521291732788086,135.0,12.2205,-0.0369835,0.992264,2.81703,0.0666077,8.58431363105774,-0.0111973
253.95619701,40,45.96391487121582,0.116494197547,16.6337,1000.0,0.0,7.814106225967407,247.5,2.44801,-0.0185852,0.989224,2.81143,0.0864003,7.881227970123291,0.0168936
458.693797647,40,53.07099199295044,0.229902434953,16.7748,2000.0,0.0,7.0464465618133545,560.0,3.34632,-0.0670033,0.993163,2.81988,0.0961692,7.096869468688965,-0.0307938
