AveragePolicyStd,AverageReturn,LossAfter,MaxKL,StdReturn,TotalExecTime,MinReturn,ItrTime,Perplexity,Time,LossBefore,Entropy,ExplainedVariance,MeanKL,MaxReturn,NumTrajs
1.0,10.0,18.7778,14050.4,43.5889894354,16.335732460021973,0.0,16.600358247756958,17.0795,16.60035276412964,-0.000584859,2.83788,0.16914964972,232.149,200.0,20
0.999709,0.0,-0.0,0.0,0.0,16.171092987060547,0.0,16.467138528823853,17.0695,33.071528673172,-0.0,2.83729,1,0.0,0.0,20
0.999709,60.0,0.0222459,0.0064482,261.533936612,18.414942741394043,0.0,18.546656847000122,17.0695,51.634907960891724,0.0249375,2.83729,0.226590408763,0.000659917,1200.0,20
1.00598,15.0,-0.121927,83.9589,65.3834841531,16.505580186843872,0.0,16.698602437973022,17.2837,68.37204790115356,0.0110657,2.84976,0.0391522783363,0.895771,300.0,20
1.00875,45.0,-0.0074966,4.18022,196.150452459,16.90263843536377,0.0,17.039872407913208,17.3795,85.42368412017822,-0.0092055,2.85529,0.0419588472504,0.0312863,900.0,20
1.00643,50.0,0.00330465,0.276547,177.482393493,16.19990825653076,0.0,16.39565920829773,17.2997,101.843421459198,0.00595929,2.85069,0.0675771797215,0.0045634,800.0,20
1.00793,5.0,-0.10456,27.4134,21.7944947177,17.100064992904663,0.0,17.25968909263611,17.3514,119.12644219398499,0.0185084,2.85367,0.0509737409978,0.260571,100.0,20
