0ExplainedVariance,0NumTrajs,0AveragePolicyStd,dLoss,1Entropy,0Entropy,1MinReturn,1StdReturn,1MaxReturn,1Perplexity,0Perplexity,MeanKL,0EnvExecTime,1ExplainedVariance,0ProcessExecTime,0StdReturn,LossAfter,0MinReturn,ItrTime,1AveragePolicyStd,1ProcessExecTime,LossBefore,1PolicyExecTime,ComputeUpdatedDistTime,Time,MeanKLBefore,0MaxReturn,1AverageReturn,1NumTrajs,1EnvExecTime,0AverageReturn,0PolicyExecTime
0.0197253417881,1200,1.0,0.00219696131535,2.83926,2.83788,0.0,244.807052708,4700.0,17.1032,17.0795,0.00989913661033,38.62233638763428,0.0102473617656,1.4327068328857422,244.633001771,-0.00219696224667,0.0,203.77538299560547,1.0007,1.38594651222229,-9.31322574615e-10,69.20971202850342,0.9232544898986816,203.775377035141,1.38970679409e-09,5200.0,21.0833333333,1200,38.86053538322449,22.8333333333,46.233781576156616
0.0118914045504,1200,1.00332,0.0058725742856,2.84593,2.84446,0.0,310.472209796,5800.0,17.2176,17.1922,0.00625511351973,38.68135952949524,0.0275862052384,1.4345271587371826,320.648550684,-0.0058725727722,0.0,205.89602208137512,1.00409,1.3999865055084229,1.51339918375e-09,70.18129181861877,0.10368776321411133,411.85862040519714,-2.79397127656e-08,4800.0,29.4166666667,1200,38.9597270488739,36.4166666667,48.73917603492737
0.0102725729632,1200,1.00512,0.00158553407528,2.84631,2.84805,0.0,254.51150105,4900.0,17.2242,17.254,0.00648408429697,40.29585647583008,0.0084023326105,1.5207359790802002,268.722853926,-0.00158553384244,0.0,234.42785668373108,1.00426,1.5924818515777588,2.32830643654e-10,88.16319990158081,0.11046695709228516,648.5294303894043,1.97906002697e-09,4000.0,26.75,1200,43.18939733505249,31.1666666667,52.54884600639343
0.00517832467686,1200,1.00188,0.00233160221251,2.83665,2.84153,0.0,328.587877219,4800.0,17.0586,17.142,0.00714648654684,44.342517614364624,0.0100370406663,1.6483941078186035,285.266688089,-0.00233160238713,0.0,289.02215933799744,0.999424,1.7099075317382812,-1.7462298274e-10,111.73796796798706,0.1260976791381836,940.2778658866882,2.78232477058e-08,4200.0,36.5833333333,1200,46.00174260139465,32.5,75.36169099807739
0.00814895116124,1200,0.996709,0.00323130039033,2.83105,2.83099,0.0,289.497541248,4300.0,16.9632,16.9623,0.00982846412808,44.33000373840332,0.0074801276283,1.733513593673706,292.493577802,-0.00323129980825,0.0,289.2960479259491,0.996719,1.7025980949401855,5.82076609135e-10,110.70693969726562,0.11322450637817383,1232.1168594360352,-1.62981539376e-09,4900.0,31.0833333333,1200,45.0794997215271,30.9166666667,76.7493543624878
0.00596623887844,1200,0.985676,0.00408251205226,2.80648,2.80845,0.0,297.516759565,4900.0,16.5515,16.5842,0.00954040884972,46.44295597076416,0.00811432978459,1.809114933013916,229.325036187,-0.00408251164481,0.0,316.7599775791168,0.984697,1.924548864364624,4.07453626394e-10,126.96427774429321,0.125885009765625,1551.5774302482605,2.79396705771e-09,4200.0,32.6666666667,1200,50.55978751182556,21.8333333333,81.41737937927246
0.00690858310515,1200,0.990717,0.00223753717728,2.81797,2.81895,0.0,143.740120433,2300.0,16.7428,16.7592,0.0065751299262,52.47128200531006,0.00670332488139,2.054920196533203,350.852137263,-0.00223753647879,0.0,350.0351150035858,0.990261,2.3075385093688965,6.98491930962e-10,139.3421049118042,0.19188475608825684,1904.3849821090698,2.91038060318e-09,6100.0,14.3333333333,1200,60.87281346321106,38.3333333333,83.07982349395752
0.00812522727702,1200,0.972649,0.00199646726833,2.78163,2.78232,0.0,231.830742257,3000.0,16.1453,16.1565,0.00662736734375,55.35181665420532,0.0127319490585,2.315358877182007,305.019079549,-0.00199646549299,0.0,355.90288734436035,0.972337,2.307617425918579,1.77533365786e-09,145.95113897323608,0.16716337203979492,2263.1041221618652,7.21774995327e-09,5800.0,24.4166666667,1200,61.452183961868286,31.8333333333,76.82227230072021
0.00964266512809,1200,0.968678,0.00255311012006,2.76993,2.77422,0.0,322.838958392,7600.0,15.9575,16.0261,0.00639817677438,56.23692226409912,0.0187028905389,2.1447947025299072,333.199045867,-0.00255311094224,0.0,355.1816756725311,0.966601,2.154210090637207,-8.22183210403e-10,144.96950125694275,0.13633489608764648,2621.6561579704285,3.72528781156e-08,4900.0,33.4166666667,1200,56.91970181465149,40.25,83.07456612586975
0.00984432637152,1200,0.956889,0.00205291953171,2.75014,2.74951,0.0,375.945881153,5000.0,15.6449,15.635,0.00671183411032,55.34986639022827,0.0245102425094,2.1323351860046387,289.135445,-0.00205291621387,0.0,366.15156626701355,0.95715,2.4194040298461914,3.31783667207e-09,154.04855108261108,0.14244627952575684,2991.2337374687195,3.25963234182e-09,4600.0,46.1666666667,1200,61.84774851799011,30.8333333333,80.6788260936737
0.0105059819744,1200,0.961963,0.00226581399329,2.76047,2.76025,0.0,184.295034448,2900.0,15.8072,15.8037,0.00704487739131,55.494741439819336,0.011185081804,2.144902467727661,302.18973988,-0.00226581213064,0.0,339.7192475795746,0.962072,2.1360509395599365,1.86264514923e-09,132.7384262084961,0.19834232330322266,3334.5679607391357,0.0,5400.0,18.0833333333,1200,56.42930841445923,28.8333333333,80.74338269233704
