ExplainedVariance,LossBefore,MinReturn,AveragePolicyStd,MaxKL,MeanKL,MaxReturn,AverageReturn,LossAfter,Entropy,Time,ItrTime,Perplexity,StdReturn,NumTrajs
0.366284833764,-0.00473543,0.0,0.992075,0.0122651,0.00503583,1900.0,282.0,-0.0130383,2.82184,455.3744766712189,16.212075233459473,16.8078,473.788982565,200
0.450524009845,-0.000715613,0.0,0.990887,0.0189414,0.00729153,2200.0,440.5,-0.0113425,2.81947,472.3361737728119,16.73421812057495,16.768,568.867075862,200
0.540892253489,-0.0390052,0.0,0.990691,0.0346599,0.0110304,2300.0,712.0,-0.054991,2.81912,489.05157470703125,16.522448778152466,16.762,647.577022446,200
0.624089222649,-0.0285583,0.0,0.981094,0.0391896,0.0119713,2400.0,922.5,-0.0438479,2.79961,507.8736162185669,18.59377908706665,16.4383,689.669304812,200
0.658937790664,-0.0210371,0.0,0.974134,0.0532763,0.0176533,2400.0,1263.0,-0.0414828,2.78534,534.4158961772919,26.32237148284912,16.2052,633.033174486,200
0.751462917441,-0.048611,0.0,0.969049,0.057048,0.0210898,2600.0,1649.0,-0.0699448,2.77482,555.9538116455078,21.346278429031372,16.0357,551.179644036,200
0.854042702568,-0.0553596,300.0,0.957346,0.066981,0.0263985,2600.0,1840.0,-0.0796297,2.75051,572.625580072403,16.474663019180298,15.6506,476.340214553,200
0.906414832707,-0.0560967,400.0,0.944143,0.0634366,0.0213395,2800.0,2046.5,-0.075376,2.72283,589.027446269989,16.21384072303772,15.2234,379.457178085,200
0.945481038191,-0.0540532,1000.0,0.931082,0.0460615,0.0189389,2800.0,2192.5,-0.0697146,2.69478,605.4793355464935,16.251937866210938,14.8023,313.039534244,200
0.958630715033,-0.057295,800.0,0.918614,0.0730113,0.023154,2800.0,2302.0,-0.0740802,2.66776,622.0966286659241,16.43356490135193,14.4076,275.129060624,200
0.97458580761,-0.0477195,1500.0,0.905546,0.116293,0.0405731,2800.0,2380.5,-0.0722121,2.63911,638.6619222164154,16.351078987121582,14.0007,228.406983256,200
0.980881803226,-0.0606309,1700.0,0.894781,0.120925,0.0396185,2900.0,2470.0,-0.0817352,2.61525,655.3360404968262,16.382797956466675,13.6706,215.406592285,200
0.986295757966,-0.037627,1800.0,0.881427,0.0439031,0.0176099,2800.0,2521.5,-0.0463124,2.58493,671.8319942951202,16.30729842185974,13.2624,174.607416796,200
0.988576389437,-0.0421913,2100.0,0.873239,0.141297,0.0433135,2900.0,2569.5,-0.0598322,2.56612,688.3600587844849,16.328171014785767,13.0152,173.550424949,200
0.992350270913,-0.015305,2000.0,0.864131,0.0820331,0.0224448,2900.0,2603.5,-0.0254351,2.54502,705.2468657493591,16.697456121444702,12.7435,137.250683058,200
0.991781283889,-0.03455,2100.0,0.860808,0.041741,0.00830747,2900.0,2595.5,-0.0386983,2.53737,721.6664369106293,16.22778558731079,12.6464,141.172766496,200
0.991915128625,-0.0372911,2100.0,0.853346,0.0242666,0.00834558,2900.0,2600.5,-0.0411385,2.5201,738.195433139801,16.336992740631104,12.4298,144.047735144,200
