1PolicyExecTime,0AveragePolicyStd,MeanKLBefore,MeanKL,0ProcessExecTime,1StdReturn,1ProcessExecTime,0MinReturn,1Perplexity,0Perplexity,0StdReturn,0AverageReturn,dLoss,1MaxReturn,1Entropy,1NumTrajs,1AveragePolicyStd,0ExplainedVariance,LossBefore,1EnvExecTime,0NumTrajs,1ExplainedVariance,LossAfter,0PolicyExecTime,0Entropy,0MaxReturn,1MinReturn,Time,0EnvExecTime,ComputeUpdatedDistTime,1AverageReturn,ItrTime
717.1326196193695,1.0,-1.56796797768e-09,0.0070628891699,7.4271345138549805,1101.88222601,12.67153024673462,0.0,17.0974,17.0794,1096.55308923,186.35,0.000830676755868,13200.0,2.83892,2000,1.00052,0.0957812337696,-5.82076609135e-11,261.9295246601105,2000,0.0894525697163,-0.000830676814076,259.44216990470886,2.83788,14700.0,0.0,1462.8124663829803,168.19896984100342,2.0605428218841553,183.4,1462.8124737739563
261.91431307792664,0.995233,-1.39698397295e-09,0.00719585781917,9.052321672439575,1216.93434087,6.213113784790039,0.0,16.9254,16.917,1319.96893808,229.95,0.00131145876367,17700.0,2.82882,2000,0.995481,0.102401442983,-3.49245965481e-10,148.39851832389832,2000,0.095845563493,-0.00131145911291,358.54808807373047,2.82832,14400.0,0.0,2483.0674459934235,203.7127013206482,0.2694716453552246,200.9,1012.7506175041199
264.6149926185608,0.99273,1.19907745955e-08,0.00730222882703,6.679985046386719,1647.03315009,6.450846433639526,0.0,16.8292,16.832,1481.77965214,216.25,0.00194947386626,17700.0,2.82311,2000,0.992647,0.0881481239617,-8.14907252789e-10,150.31572103500366,2000,0.118413008726,-0.00194947468117,228.35227751731873,2.82328,18800.0,0.0,3318.4639365673065,150.85761070251465,0.289597749710083,271.95,830.8710312843323
260.5400378704071,0.993476,3.02680103204e-09,0.00765129504725,6.599198818206787,2556.32849953,6.433009147644043,0.0,16.8357,16.8573,2321.36593356,550.45,0.0015695180773,18400.0,2.8235,2000,0.992844,0.121527327659,2.0518200472e-09,150.154292345047,2000,0.137718242039,-0.00156951602548,225.08527898788452,2.82478,17900.0,0.0,4144.963253498077,149.08604550361633,0.2712247371673584,636.05,821.551943063736
260.8016285896301,0.992106,9.3132568324e-10,0.00874026771635,6.667003631591797,4224.82590884,6.52695894241333,0.0,16.7878,16.8109,3497.13341145,1219.05,0.00207566592144,20800.0,2.82065,2000,0.991428,0.0990057382712,1.22236087918e-09,149.91070675849915,2000,0.143619025468,-0.00207566469908,222.0408160686493,2.82203,21000.0,0.0,4967.984362125397,148.65550994873047,0.27260303497314453,1640.2,818.0662679672241
257.2275724411011,0.985025,3.25962301595e-09,0.00721632083878,6.689136266708374,6073.4109395,6.140723943710327,0.0,16.5619,16.5716,4903.27135696,2270.0,0.00212538145615,21700.0,2.8071,2000,0.984736,0.0851771918456,4.29736246588e-10,148.60888981819153,2000,0.128092048653,-0.00212538102642,221.81366205215454,2.80769,21900.0,0.0,5785.257774353027,148.60852527618408,0.2573049068450928,3436.6,812.6298658847809
259.35055780410767,0.976759,-1.4901137213e-08,0.00645264983177,6.278693914413452,6808.0162263,6.115808725357056,0.0,16.248,16.2948,5579.96587602,2778.65,0.00204752943682,21300.0,2.78797,2000,0.975359,0.0637696278691,9.24046617001e-10,149.57964777946472,2000,0.103754691836,-0.00204752851278,220.2857687473297,2.79084,21900.0,0.0,6602.583151817322,147.43012881278992,0.2836594581604004,3879.75,812.5692901611328
272.89590549468994,0.975947,-1.21072059045e-08,0.0063691707328,6.396050453186035,8101.66154425,6.236766338348389,0.0,16.2352,16.2675,6238.01092316,3358.35,0.00166827821158,22400.0,2.78718,2000,0.974981,0.0598350582749,4.32919478044e-10,152.3687949180603,2000,0.142592303253,-0.00166827777866,227.95939922332764,2.78917,22000.0,0.0,7446.926060199738,149.73331379890442,0.25966668128967285,5435.85,839.6804292201996
292.71780467033386,0.969854,-1.44354919129e-08,0.00663905171677,6.596123456954956,8733.45938203,6.432832479476929,0.0,15.9961,16.0638,6390.33595967,3363.65,0.00200482619402,22600.0,2.77235,2000,0.967814,0.0467833938287,2.18278728426e-10,157.41162204742432,2000,0.138027595827,-0.00200482597575,253.58441019058228,2.77657,22100.0,0.0,8348.428923130035,155.29958415031433,0.2685091495513916,6166.65,896.260623216629
299.0883960723877,0.961884,2.74740479256e-08,0.00949498545378,6.681807994842529,9269.89752249,6.520317554473877,0.0,15.7592,15.7997,6927.65082838,3762.0,0.00240855656739,23000.0,2.75742,2000,0.960658,0.0549279106717,-1.00408215076e-09,158.83345222473145,2000,0.145075458603,-0.00240855757147,252.8121109008789,2.75999,22900.0,0.0,9258.198383331299,156.45010542869568,0.24589896202087402,7146.85,904.6797449588776
