0ExplainedVariance,ItrTime,LossBefore,dLoss,1MinReturn,1StdReturn,MeanKL,LossAfter,1NumTrajs,0AveragePolicyStd,1Entropy,0EnvExecTime,1ExplainedVariance,0StdReturn,ComputeUpdatedDistTime,1AverageReturn,MeanKLBefore,0MinReturn,1Perplexity,1AveragePolicyStd,0MaxReturn,Time,0ProcessExecTime,0Perplexity,1MaxReturn,0AverageReturn,0Entropy,1PolicyExecTime,1ProcessExecTime,0PolicyExecTime,0NumTrajs,1EnvExecTime
0.0848350904936,739.3181486129761,1.04773789644e-09,0.00199564069044,0.0,1482.49335918,0.00863061100245,-0.0019956396427,2000,1.0,2.83706,164.93410754203796,0.0805380856845,1331.34685094,1.0214729309082031,318.8,5.45698208843e-10,0.0,17.0656,0.999593,12300.0,739.3181445598602,6.73164176940918,17.0794,15300.0,296.75,2.83788,229.96406817436218,6.04017972946167,156.26218175888062,2000,151.18502020835876
0.0778593291725,765.8654248714447,-1.45519152284e-10,0.00160543233505,0.0,2053.16091917,0.00650257850066,-0.00160543248057,2000,1.00015,2.83568,153.58904194831848,0.0994994920946,1887.20220432,0.25563478469848633,596.8,-6.40285713338e-10,0.0,17.042,0.998925,16700.0,1509.3963601589203,6.346752882003784,17.0839,16600.0,502.8,2.83813,262.2260766029358,6.118819713592529,157.46051931381226,2000,156.21523237228394
0.0824781821893,905.7508978843689,1.89174897969e-09,0.00211677703192,0.0,2877.82168315,0.00692177098244,-0.00211677514017,2000,0.988754,2.81416,164.17879581451416,0.106184314524,2475.98820625,0.256253719329834,960.6,1.48429779578e-09,0.0,16.6791,0.988274,20100.0,2419.637834072113,6.5947816371917725,16.6955,17800.0,748.45,2.81514,322.53471064567566,6.585292100906372,210.60577607154846,2000,170.3263874053955
0.0868073864104,911.125185251236,-3.78349795938e-10,0.00192469437025,0.0,3618.21132571,0.00834444258362,-0.0019246947486,2000,0.991105,2.81764,165.88567066192627,0.116554311229,2844.11105224,0.24963688850402832,1321.95,3.22470015135e-08,0.0,16.7373,0.990024,19200.0,3335.8775000572205,6.531641960144043,16.7736,19600.0,983.65,2.81981,314.46437215805054,6.494808673858643,224.68350553512573,2000,168.33010935783386
0.0793143667616,921.4808051586151,1.22236087918e-09,0.00224319408881,0.0,4574.23488657,0.00987324863672,-0.00224319286644,2000,0.990412,2.81477,166.9073441028595,0.133696836369,3235.29379037,0.26401448249816895,1962.05,1.26310517601e-08,0.0,16.6893,0.988549,20200.0,4262.567470788956,6.619782209396362,16.7522,20900.0,1234.7,2.81853,318.92915415763855,6.508275508880615,226.376305103302,2000,168.06664490699768
0.0790563805495,904.3608767986298,1.97906047106e-09,0.00201480474789,0.0,5715.12222004,0.00749618606642,-0.00201480276883,2000,0.994551,2.82791,166.63406348228455,0.152842486084,3962.75425399,0.26361632347106934,2815.1,-4.54020243623e-09,0.0,16.9101,0.99507,21000.0,5171.825831413269,6.55959153175354,16.8926,22100.0,1609.15,2.82687,318.0010509490967,6.515128135681152,214.1051380634308,2000,167.93400597572327
0.0771482366413,907.8971266746521,-5.67524693906e-10,0.00171269128623,0.0,6581.87191439,0.00912039075047,-0.00171269185375,2000,0.990678,2.81897,167.6273205280304,0.164258129406,4363.48835194,0.25678205490112305,3648.55,-7.2177406274e-09,0.0,16.7595,0.990714,21100.0,6084.6582980155945,6.669950246810913,16.7583,22300.0,1921.55,2.81889,318.3940622806549,6.491933822631836,216.21506571769714,2000,168.02585101127625
0.0606531801014,907.6781423091888,1.83354131877e-09,0.00186777973431,0.0,7292.74477752,0.00852027256042,-0.00186777790077,2000,0.972182,2.77793,167.0938596725464,0.181901022646,4089.93412875,0.26287841796875,4651.9,1.30385107155e-08,0.0,16.0857,0.97055,21300.0,6997.076852321625,6.577312231063843,16.1394,22900.0,1861.35,2.78126,320.14965438842773,6.552854537963867,213.44653415679932,2000,169.09239220619202
0.063018624621,906.5839755535126,1.23691279441e-10,0.00164748531097,0.0,8243.337193,0.00843107979745,-0.00164748518728,2000,0.962806,2.76229,167.1538257598877,0.208284091649,4573.33968889,0.25467896461486816,5393.15,9.31322519104e-10,0.0,15.836,0.962942,21600.0,7908.559910297394,6.601053714752197,15.8314,23000.0,2090.3,2.76199,318.909645318985,6.585312366485596,213.820574760437,2000,168.82881474494934
0.0617812670822,902.7107484340668,-7.93079379946e-10,0.00198026737053,0.0,7993.66474153,0.00683342758566,-0.00198026816361,2000,0.956095,2.746,167.06088209152222,0.197941897346,4615.11353029,0.2669036388397217,4952.0,-5.58793056271e-09,0.0,15.5802,0.955105,22200.0,8816.37155342102,6.603604793548584,15.6126,23100.0,2111.05,2.74808,317.28803849220276,6.501226186752319,212.68608474731445,2000,168.24375462532043
0.0558062313828,875.3586041927338,-5.82076609135e-11,0.00145763816545,0.0,8484.03342152,0.00684224208817,-0.00145763822366,2000,0.950904,2.73656,168.20466423034668,0.206719890019,4830.22048255,0.24672532081604004,5696.55,-1.86264479396e-08,0.0,15.4338,0.950606,21900.0,9696.513802051544,6.656701326370239,15.4435,23400.0,2224.7,2.73719,288.3011999130249,6.397361516952515,215.04935598373413,2000,166.07320547103882
0.053995253697,1032.57040309906,1.10594555736e-09,0.00128839089302,0.0,9468.02972838,0.00618710881099,-0.00128838978708,2000,0.945914,2.72571,176.5519621372223,0.229454091568,5258.72238072,0.2695181369781494,6868.25,-1.30385089392e-08,0.0,15.2673,0.945512,23000.0,10734.187155246735,7.057412385940552,15.2804,23400.0,2516.85,2.72657,380.2942383289337,7.357687711715698,247.30298018455505,2000,187.49471497535706
