MeanKLBefore,1MinReturn,0ExplainedVariance,0PolicyExecTime,Time,1MaxReturn,0Entropy,0StdReturn,0MaxReturn,LossBefore,0MinReturn,1ExplainedVariance,1Perplexity,1Entropy,0Perplexity,0ProcessExecTime,0AveragePolicyStd,0EnvExecTime,1AveragePolicyStd,ItrTime,1AverageReturn,1StdReturn,0NumTrajs,dLoss,0AverageReturn,1ProcessExecTime,MeanKL,ComputeUpdatedDistTime,LossAfter,1NumTrajs,1EnvExecTime,1PolicyExecTime
8.41101854832e-10,0.0,0.0401966786119,14.414860248565674,198.86129522323608,11400.0,2.83788,747.480936212,9000.0,2.73575995191e-10,0.0,0.0604000624202,17.1041,2.83932,17.0795,1.8202989101409912,1.0,55.76067519187927,1.00073,198.86129689216614,135.5,880.931183464,400,0.00159876914113,116.5,1.7113819122314453,0.00551719684154,4.756326913833618,-0.00159876886755,400,55.753292083740234,53.74114990234375
-1.67347014024e-09,0.0,0.0928342242315,12.573864698410034,369.86982226371765,10200.0,2.8414,748.505010003,8500.0,3.72529063153e-10,0.0,0.0922519520635,17.1311,2.8409,17.1398,1.549943447113037,1.00177,53.057353019714355,1.00153,170.24272203445435,163.25,874.027709801,400,0.00247070603073,140.5,1.5139260292053223,0.00924250204116,0.3652830123901367,-0.0024707056582,400,47.32837748527527,44.9782977104187
-1.05646946746e-09,0.0,0.0555526651287,13.231249332427979,527.0469062328339,10400.0,2.84708,1124.76386411,14700.0,6.22822016183e-10,0.0,0.0691393047747,17.1946,2.8446,17.2374,1.479773759841919,1.00462,48.85507416725159,1.0034,157.17283582687378,300.25,971.146197799,400,0.00202654131572,272.5,1.4423606395721436,0.0077276462689,0.3516721725463867,-0.0020265406929,400,42.66955018043518,40.71891164779663
3.21306203865e-09,0.0,0.0778362998857,13.300519466400146,681.7261297702789,6000.0,2.85738,1002.3252965,9300.0,2.59024079963e-10,0.0,0.0597529146154,17.441,2.85883,17.4159,1.4222021102905273,1.00989,46.16706323623657,1.01065,153.80861115455627,210.25,639.429384295,400,0.00278402145777,288.0,1.3276567459106445,0.00749516254291,0.3678605556488037,-0.00278402119875,400,42.45874905586243,40.13602042198181
1.07102127167e-09,0.0,0.0684082799583,14.520766735076904,842.3075988292694,8900.0,2.8576,825.960614981,5500.0,8.57107773644e-10,0.0,0.0982979694486,17.4754,2.86079,17.4196,1.529416561126709,1.01008,48.41476082801819,1.01172,160.5747377872467,423.75,1037.04432764,400,0.00240924900427,303.75,1.3648357391357422,0.00926113221794,0.38260865211486816,-0.00240924814716,400,43.278982400894165,41.22405385971069
-7.04312563826e-09,0.0,0.0606546298897,14.795732498168945,1008.0028738975525,11900.0,2.87951,877.233007815,5200.0,-4.89671914128e-10,0.0,0.0789287501517,17.9316,2.88657,17.8056,1.530928134918213,1.02135,49.179157733917236,1.02498,164.88840293884277,615.0,1337.30138712,400,0.00213023039905,371.5,1.390122652053833,0.00980145763606,0.695960521697998,-0.00213023088872,400,43.24125289916992,41.41589689254761
5.01750330173e-09,0.0,0.0891939704977,12.22436785697937,1165.3404777050018,12000.0,2.8917,1637.87209513,10400.0,-1.57160617853e-10,0.0,0.102072482585,17.9924,2.88995,18.024,1.4613032341003418,1.0275,45.59972047805786,1.02659,157.33333706855774,842.25,1994.3018672,400,0.00178922254709,655.0,1.3526229858398438,0.00766307394952,0.33007097244262695,-0.00178922270425,400,42.355790853500366,40.52728772163391
5.76546410613e-09,0.0,0.100984123455,11.58829402923584,1325.6760637760162,20800.0,2.88447,1941.06399624,13000.0,1.03536867968e-09,0.0,0.112390079461,17.8906,2.88428,17.8941,1.522346019744873,1.02381,49.263458251953125,1.02374,159.48490619659424,1292.75,2752.59376543,400,0.00234577535812,893.25,1.2813928127288818,0.00744613260031,0.34269165992736816,-0.00234577432275,400,42.397162675857544,40.63921928405762
-5.45697043108e-09,0.0,0.0474760515334,12.623447895050049,1484.8771245479584,8100.0,2.8936,1109.49985917,5800.0,5.15137821289e-10,0.0,0.0445931713188,18.0426,2.89274,18.0581,1.5256659984588623,1.02863,48.851396799087524,1.02821,159.19659614562988,733.0,1307.19585373,400,0.00264217802614,557.75,1.314709186553955,0.00930080749094,0.38875532150268555,-0.00264217751101,400,42.64852738380432,40.894092082977295
6.37955999139e-09,0.0,0.0530771708026,11.799221992492676,1645.6388969421387,8500.0,2.92246,1267.45404256,7700.0,5.15137821289e-10,0.0,0.0962710514407,18.5653,2.92129,18.5869,1.5386998653411865,1.04354,48.29663276672363,1.04296,159.9877941608429,953.5,1526.85551052,400,0.00290835257911,685.5,1.309990406036377,0.00966596323997,0.42981863021850586,-0.00290835206397,400,42.90948843955994,40.88294529914856
-2.7939595082e-10,0.0,0.0516746113716,12.305257558822632,1802.3421339988708,19600.0,2.91833,1633.30016761,13100.0,-9.05129193818e-10,0.0,0.126688470299,18.5599,2.921,18.5104,1.4288537502288818,1.04123,47.97178554534912,1.04268,156.69376826286316,1495.5,2553.50342667,400,0.00260106919159,829.25,1.3136241436004639,0.00731049617752,0.36702799797058105,-0.00260107009672,400,42.71471953392029,41.190670013427734
1.01514272544e-08,0.0,0.0552727739773,11.99496054649353,1960.1247689723969,18800.0,2.92017,1878.07873903,10400.0,-5.12227427141e-10,0.0,0.110424871187,18.4983,2.91768,18.5444,1.429069995880127,1.04204,49.23980736732483,1.04078,156.865713596344,2030.25,3364.1061127,400,0.00277328579687,1145.5,1.2845487594604492,0.00724813528359,0.8004293441772461,-0.00277328630909,400,42.37768793106079,41.39254403114319
-6.42612185686e-09,0.0,0.0493496050295,12.88632082939148,2117.5155370235443,18100.0,2.91248,1891.67115271,10800.0,-9.31322519104e-11,0.0,0.146853030347,18.4981,2.91767,18.4023,1.4312734603881836,1.03801,47.77353882789612,1.04074,157.38589024543762,2247.75,3055.44512919,400,0.00284776058979,1069.5,1.2805590629577637,0.00858445931226,0.3605196475982666,-0.00284776068293,400,42.26242637634277,39.84267544746399
3.72529118664e-10,0.0,0.0512594297053,11.952329158782959,2274.685905456543,28300.0,2.94545,1620.16781538,9400.0,7.56699702897e-11,0.0,0.110002795531,19.0729,2.94827,19.0192,1.4861071109771729,1.05529,48.129056215286255,1.05678,156.24429488182068,2101.5,3475.74420089,400,0.00275588927907,1032.5,1.326371192932129,0.00720730563626,0.34931278228759766,-0.0027558892034,400,43.01876425743103,41.66081190109253
-9.49949274798e-09,0.0,0.037162483102,11.74531078338623,2431.341229915619,16600.0,2.92969,1537.03202228,10700.0,-4.65661287308e-10,0.0,0.122698775897,18.7585,2.93165,18.7218,1.4328510761260986,1.04699,47.87506365776062,1.04805,156.64636182785034,1820.5,2747.89551293,400,0.00224304548465,902.75,1.3902101516723633,0.00648112036288,0.340313196182251,-0.00224304595031,400,42.661027908325195,41.877583742141724
7.45058126306e-10,0.0,0.0396545547186,12.988792896270752,2588.169184923172,27600.0,2.92131,2073.90308356,11900.0,6.63567312209e-10,0.0,0.110376361079,18.6789,2.92739,18.5656,1.4138691425323486,1.04263,46.394598960876465,1.04583,155.97058534622192,2357.5,3048.09674223,400,0.00351835667389,1226.0,1.2221808433532715,0.00941543467343,0.3893733024597168,-0.00351835601032,400,42.53262710571289,40.91881012916565
4.84288165126e-09,0.0,0.0327654565737,11.795295476913452,2744.2890083789825,14200.0,2.93575,1852.34093447,10700.0,-3.75439457301e-10,0.0,0.125781339163,18.794,2.93354,18.8357,1.438791275024414,1.05018,47.79142761230469,1.04906,156.11552119255066,2198.0,2778.36210743,400,0.00273761255376,1131.75,1.2838587760925293,0.00693256920204,0.34018945693969727,-0.0027376129292,400,42.4646532535553,41.90089797973633
1.09895923472e-08,0.0,0.0406442704694,12.212329626083374,2901.2203521728516,33400.0,2.91422,2379.84616099,13000.0,-1.00699260042e-09,0.0,0.137804828999,18.3864,2.91161,18.4344,1.3899052143096924,1.03891,46.97448682785034,1.03758,156.0935800075531,3522.25,4996.5968356,400,0.00347336467239,1536.5,1.295182704925537,0.00911754276603,0.43412280082702637,-0.00347336567938,400,42.55750060081482,41.5632221698761
4.37721858759e-09,0.0,0.0317569424445,11.765045166015625,3057.1273152828217,13600.0,2.91078,2274.66743448,11000.0,7.10133452042e-10,0.0,0.0651444201452,18.3855,2.91156,18.3711,1.4509663581848145,1.03714,46.650187492370605,1.03757,155.8968470096588,2126.25,2594.86722926,400,0.00320780697512,1425.75,1.216576099395752,0.00683596823364,0.34953832626342773,-0.00320780626498,400,41.96979999542236,40.04963731765747
4.0978203053e-09,0.0,0.0290476948846,11.967064142227173,3215.4157061576843,14500.0,2.90963,2377.98396757,22300.0,-2.3865143195e-10,0.0,0.11228816884,18.3749,2.91098,18.3501,1.3845958709716797,1.03655,48.24073600769043,1.03727,157.39493012428284,2894.0,3305.26307576,400,0.00370450014598,1318.5,1.2030131816864014,0.00883549638093,0.39950084686279297,-0.00370450038463,400,42.26705718040466,41.3042049407959
1.58324853228e-09,0.0,0.027038626684,12.709458589553833,3370.5721526145935,21100.0,2.90769,2651.55421404,16500.0,2.67755206895e-10,0.0,0.122112417425,18.3404,2.90911,18.3145,1.3349230289459229,1.03553,46.52056622505188,1.03628,155.14748334884644,3191.0,4288.49845517,400,0.00327614512062,1539.5,1.2594399452209473,0.00688794348389,0.3268454074859619,-0.00327614485286,400,42.59703493118286,42.21454334259033
5.40167466312e-09,0.0,0.0358473529026,10.789231777191162,3525.0103290081024,22700.0,2.9061,3141.81849213,17700.0,2.09547587615e-10,0.0,0.113830757469,18.3116,2.90754,18.2854,1.2987356185913086,1.03471,47.03006410598755,1.03548,153.7899842262268,3934.0,4872.64753496,400,0.00332942439709,1758.75,1.2388641834259033,0.00653052981943,0.3486597537994385,-0.00332942418754,400,42.12956881523132,41.53588604927063
-2.7939739411e-10,0.0,0.0348067431992,13.493763446807861,3682.227045059204,23400.0,2.90229,2093.77404464,11400.0,2.03726813197e-10,0.0,0.160813644784,18.2249,2.90279,18.2158,1.3422603607177734,1.03274,49.39661908149719,1.03303,157.21227478981018,3417.75,4231.92744946,400,0.00382176597486,1289.5,1.2379529476165771,0.00956427678466,0.36681365966796875,-0.00382176577114,400,42.33006143569946,41.39930987358093
2.79396561442e-10,0.0,0.0540893866692,12.638096570968628,3835.2029073238373,22400.0,2.88988,3111.01173254,19500.0,6.72298494653e-10,0.0,0.1515773349,17.9528,2.88775,17.9911,1.3285160064697266,1.02635,45.79965090751648,1.02527,152.32727813720703,3856.75,4763.32913386,400,0.00338777943689,1434.0,1.234487533569336,0.00705770216882,0.4019618034362793,-0.00338777876459,400,42.15168809890747,41.47876286506653
-6.51925957662e-10,0.0,0.0290748373976,10.902960300445557,3992.8850049972534,26500.0,2.88755,3123.43039581,22100.0,1.10594555736e-09,0.0,0.146086160258,17.9311,2.88653,17.9493,1.3424832820892334,1.02515,48.0139582157135,1.02465,157.67273998260498,4218.25,5093.50487754,400,0.00308909424348,1834.75,1.2344965934753418,0.00651168916374,0.37532925605773926,-0.00308909313753,400,42.70449876785278,42.77364540100098
9.31310861763e-11,0.0,0.0436005372208,14.040867567062378,4155.137743711472,29100.0,2.88811,2649.4395162,13000.0,-1.15978771031e-09,0.0,0.0992810779342,17.9802,2.88927,17.9594,1.4014246463775635,1.02544,50.05239248275757,1.02606,161.52413201332092,3822.5,5796.43370962,400,0.00356323412125,1645.5,1.2064478397369385,0.00925488956273,0.37748122215270996,-0.00356323528104,400,42.24346590042114,42.62199807167053
1.49011392114e-09,0.0,0.0395355170273,12.625931978225708,4308.247597694397,32600.0,2.89388,3007.14877417,20900.0,-1.5716070112e-10,0.0,0.250251660632,18.1443,2.89836,18.0632,1.2607355117797852,1.0284,45.498127698898315,1.03072,153.1005654335022,5327.75,6284.35000119,400,0.00401330863242,1692.5,1.2174298763275146,0.00665252422914,0.3407289981842041,-0.00401330878958,400,42.57590675354004,42.42019724845886
-1.01514192608e-08,0.0,0.0408629970767,10.794602632522583,4463.849863290787,29800.0,2.89521,3776.79904152,22100.0,6.33735952604e-10,0.0,0.161800929318,18.0934,2.89555,18.0873,1.2908236980438232,1.02908,47.24538803100586,1.02928,154.4986777305603,4966.75,6560.57691347,400,0.00270893860652,2333.0,1.2746591567993164,0.00923454202712,0.35472536087036133,-0.00270893797278,400,42.52654218673706,41.91702675819397
6.90419943439e-16,0.0,0.0471572325805,13.500633955001831,4623.589302778244,28900.0,2.89653,3931.31501536,23200.0,1.36788003147e-09,0.0,0.139767382101,18.1102,2.89648,18.1111,1.4424219131469727,1.02976,49.544511795043945,1.02975,159.73478436470032,4475.0,7171.94359989,400,0.00329693892854,2096.5,1.275303840637207,0.00933156721294,0.36867785453796387,-0.00329693756066,400,42.51438283920288,41.94857144355774
7.91625598406e-10,0.0,0.0449730823112,12.46123456954956,4776.54594874382,31600.0,2.87822,3794.46847398,21500.0,-4.56930160375e-10,0.0,0.135289682881,17.826,2.88066,17.7825,1.3283464908599854,1.02037,45.141095876693726,1.02164,152.0948576927185,5196.75,6775.62280809,400,0.00261175819614,2097.0,1.2840311527252197,0.00670348573476,0.35346245765686035,-0.00261175865307,400,42.542330503463745,41.440229177474976
9.31316065933e-11,0.0,0.0449738067968,11.334041595458984,4933.352905988693,33000.0,2.87908,3540.65600384,17800.0,-3.26326715649e-10,0.0,0.136013238487,17.7841,2.87831,17.7978,1.4568445682525635,1.02081,50.065272092819214,1.02043,156.79704666137695,6075.25,7919.39470146,400,0.00317498869226,2152.25,1.2237768173217773,0.00645694229752,0.40385985374450684,-0.00317498901859,400,42.466368198394775,41.172638177871704
-6.79865719277e-09,0.0,0.0228072982841,13.445875883102417,5090.647764205933,33300.0,2.88676,4666.61309195,27300.0,-1.50976092739e-10,0.0,0.141843619727,17.9941,2.89004,17.9351,1.3761115074157715,1.02474,49.353310108184814,1.02645,156.6413803100586,6633.5,8905.09279851,400,0.00304579277326,2558.5,1.2450544834136963,0.00701497728005,0.44483494758605957,-0.00304579292424,400,42.00521993637085,40.95938563346863
9.31320645603e-11,0.0,0.0503405026425,12.58875823020935,5244.502710819244,34400.0,2.89611,3258.26759951,20600.0,-4.6566139833e-11,0.0,0.0939605172483,18.1127,2.89661,18.1036,1.2572636604309082,1.02956,45.22374725341797,1.02985,153.85050129890442,5628.0,8247.11561699,400,0.0029294394888,1506.5,1.261756181716919,0.00708829425275,0.38142991065979004,-0.00292943953536,400,41.710105657577515,41.95321774482727
