LossAfter,ItrTime,AverageReturn,StdReturn,Entropy,MeanKL,NumTrajs,MinReturn,MaxReturn,ExplainedVariance,LossBefore,Perplexity,Time,AveragePolicyStd,MaxKL,TotalExecTime
-0.0114867,36.82764506340027,2661.0,118.232821162,2.53966,0.0227699,200,2300.0,3000.0,0.994374657211,-0.0060065,12.6753,1053.042841911316,0.86169,0.649416,36.57674980163574
-0.0236269,37.34303069114685,2666.5,128.948633184,2.53666,0.0847127,200,2100.0,3000.0,0.993765433986,-0.0123657,12.6373,1090.4039630889893,0.86036,1.44869,37.04747772216797
-0.0237933,34.05911087989807,2669.0,118.486286126,2.53047,0.078823,200,2300.0,2900.0,0.99453610509,-0.0114455,12.5594,1124.4676704406738,0.857721,1.13444,33.75772571563721
-0.0180121,35.93027639389038,2670.5,131.452462891,2.52475,0.0154907,200,2300.0,3000.0,0.994137624587,-0.0117852,12.4878,1160.417607307434,0.855303,0.670058,35.68457508087158
-0.0325475,36.924641370773315,2672.0,124.963994815,2.51886,0.0187017,200,2400.0,3000.0,0.994217908813,-0.0276392,12.4144,1197.3488533496857,0.852781,0.347783,36.61737608909607
-0.0341528,34.92754769325256,2679.0,114.712684565,2.50504,0.233288,200,2300.0,3000.0,0.994672520372,-0.0130825,12.244,1232.292914390564,0.846907,19.5851,34.5725839138031
-0.0933542,34.891788959503174,2685.5,124.658533603,2.4985,0.311436,200,2300.0,3000.0,0.994397811628,-0.0177817,12.1642,1267.1984796524048,0.84407,24.9077,34.63684821128845
-0.0186353,34.10091996192932,2681.0,121.815434162,2.48961,0.0291688,200,2300.0,3000.0,0.994579177983,-0.0111549,12.0565,1301.3231914043427,0.840306,0.425723,33.74719738960266
-0.008945,31.85831332206726,2676.5,123.684073348,2.48403,0.0520878,200,2300.0,3000.0,0.99449852956,-0.00175831,11.9895,1333.1978740692139,0.83792,2.64668,31.614971160888672
-0.0413855,35.03683614730835,2666.5,113.700263852,2.48315,0.0965119,200,2400.0,2900.0,0.995043348944,-0.0194701,11.9789,1368.2473726272583,0.837546,1.61994,34.78395390510559
-0.00986754,34.88406682014465,2683.5,123.198011348,2.47341,0.00296344,200,2200.0,2900.0,0.994435321717,-0.00675038,11.8629,1403.1505734920502,0.833511,0.0473636,34.6361768245697
-0.0210506,33.77515912055969,2679.0,119.829044893,2.47004,0.0740355,200,2400.0,3000.0,0.994354630931,-0.00507769,11.8229,1436.9524247646332,0.83214,1.50135,33.458773374557495
-0.0132012,35.53618931770325,2654.0,135.218341951,2.4675,0.183291,200,2300.0,3000.0,0.993254646827,-8.52421e-05,11.7929,1472.4982390403748,0.83121,9.26524,35.21935057640076
-0.0193219,35.486172676086426,2686.5,110.759875406,2.46746,0.00506314,200,2300.0,2900.0,0.994775689745,-0.0151673,11.7924,1507.99951338768,0.831193,0.0882156,35.16781663894653
-0.00177521,35.51260495185852,2670.0,111.803398875,2.45987,0.103589,200,2400.0,3000.0,0.995559529183,0.0111357,11.7033,1543.5185160636902,0.828012,2.71868,35.11795377731323
-0.0154501,35.515657901763916,2675.5,138.020831761,2.46544,0.0701733,200,2200.0,3000.0,0.993422730785,-0.000522625,11.7687,1579.060930967331,0.830304,1.75176,35.230676889419556
-0.0236261,35.86820650100708,2689.0,110.358506695,2.46518,0.00876821,200,2400.0,3000.0,0.995344867989,-0.0176627,11.7656,1614.9452393054962,0.830205,0.235038,35.525758266448975
-0.0148869,36.39562487602234,2682.0,118.220133649,2.45635,0.0490712,200,2400.0,3000.0,0.994800825988,-0.00457475,11.6621,1651.3553392887115,0.826564,1.90218,36.077075719833374
-0.184814,36.96351456642151,2680.0,117.473401245,2.45406,0.540495,200,2400.0,3000.0,0.995099266416,-0.00733318,11.6355,1688.330638408661,0.825603,59.8901,36.641297578811646
-0.00312022,33.70616793632507,2671.5,118.481011137,2.45039,0.11431,200,2200.0,2900.0,0.994638070565,0.00992707,11.5929,1722.0463707447052,0.824089,2.33487,33.39315342903137
-0.0028344,37.0735559463501,2680.0,129.228479833,2.45536,0.0923823,200,2300.0,3000.0,0.994134198507,0.00668994,11.6506,1759.1362838745117,0.826129,2.44482,36.779662132263184
