MeanKLBefore,ComputeUpdatedDistTime,0ExplainedVariance,1MaxReturn,1ProcessExecTime,1ExplainedVariance,1AverageReturn,1Entropy,1StdReturn,1PolicyExecTime,LossBefore,0AveragePolicyStd,0StdReturn,Time,1NumTrajs,1AveragePolicyStd,MeanKL,0ProcessExecTime,LossAfter,0Entropy,0PolicyExecTime,0EnvExecTime,ItrTime,0MinReturn,0NumTrajs,1MinReturn,dLoss,1Perplexity,0AverageReturn,0Perplexity,0MaxReturn,1EnvExecTime
1.39607370109e-09,0.6436634063720703,0.042326905916,1500.0,0.8199338912963867,0.0839968850959,18.0833333333,2.84128,121.647001835,33.24905753135681,-2.32830643654e-10,1.0,76.3303765803,95.42218708992004,1200,1.00171,0.00645689386874,0.8073434829711914,-0.00353362644091,2.83788,18.365435361862183,18.27031636238098,95.4221875667572,0.0,1200,0.0,0.00353362620808,17.1377,8.08333333333,17.0795,1000.0,19.39773941040039
-3.87081211528e-09,0.1008002758026123,0.0529054009497,1800.0,0.6654748916625977,0.150902626936,46.9166666667,2.84561,204.915819437,25.233156204223633,1.16415321827e-10,1.00055,114.738349687,178.2694606781006,1200,1.00389,0.00763686187565,0.7583882808685303,-0.00431302189827,2.83898,17.77752685546875,17.660480260849,81.0257363319397,0.0,1200,0.0,0.00431302201468,17.212,15.3333333333,17.0983,1800.0,15.602476596832275
1.39698341783e-09,0.0799562931060791,0.0467279528797,1800.0,0.650963544845581,0.177487898001,94.0,2.82344,291.085325406,23.973003149032593,-6.98491930962e-10,0.996103,136.14205714,257.82590985298157,1200,0.992813,0.00837878417224,0.7528119087219238,-0.00638103345409,2.83007,17.022363424301147,17.077851057052612,77.7965841293335,0.0,1200,0.0,0.0063810327556,16.8346,20.5833333333,16.9466,1700.0,15.114623308181763
-1.16415273255e-10,0.08294153213500977,0.058188987144,2200.0,0.6572170257568359,0.248710086503,256.083333333,2.815,506.83297024,25.38682532310486,5.52972778678e-10,0.990474,203.882301967,336.07213306427,1200,0.988642,0.0065093813464,0.690706729888916,-0.00667522288859,2.81872,15.715352535247803,15.726841926574707,76.47911858558655,0.0,1200,0.0,0.00667522344156,16.6931,46.0833333333,16.7553,2000.0,15.138190746307373
1.86264437207e-09,0.07983040809631348,0.0722091259187,2700.0,0.6817059516906738,0.353184462461,480.083333333,2.78125,684.186860238,25.227850437164307,0.0,0.9737,261.148691149,414.82531547546387,1200,0.9721,0.00734781194478,0.6867091655731201,-0.00871765147895,2.78456,15.479830980300903,15.483882665634155,76.88015151023865,0.0,1200,0.0,0.00871765147895,16.1392,67.8333333333,16.1928,2100.0,16.007418870925903
-1.02445580907e-08,0.0813143253326416,0.060591438598,2400.0,0.6386346817016602,0.349704555144,485.25,2.74258,684.853345007,25.596004486083984,1.62981450558e-09,0.958541,263.126382287,493.52948451042175,1200,0.953502,0.00738449534401,0.6990139484405518,-0.00930580124259,2.75317,15.656020164489746,15.79971957206726,76.78201246261597,0.0,1200,0.0,0.0093058028724,15.527,76.4166666667,15.6924,1800.0,15.215372562408447
4.6566119849e-09,0.09264278411865234,0.0719183702898,2700.0,0.600078821182251,0.404991564556,645.666666667,2.71725,850.518208049,22.283418893814087,-2.21189111471e-09,0.946021,315.593576544,566.8076405525208,1200,0.941489,0.00726868771017,0.6747524738311768,-0.0092841098085,2.72689,15.148936986923218,15.166358470916748,71.30158138275146,0.0,1200,0.0,0.00928410759661,15.1386,95.8333333333,15.2853,2100.0,14.200233697891235
1.86264437207e-09,0.0810708999633789,0.0740352669002,2700.0,0.6681687831878662,0.454585808747,835.5,2.69447,941.110912698,30.060290575027466,-7.42147676647e-10,0.933763,322.55248281,648.2989346981049,1200,0.930829,0.0072229844518,0.622657299041748,-0.00942945666611,2.70077,14.619755506515503,14.585230350494385,79.3335874080658,0.0,1200,0.0,0.00942945592396,14.7977,98.75,14.8913,1900.0,15.694089651107788
1.38777878078e-16,0.08034706115722656,0.0967969323902,2800.0,0.609952449798584,0.470464763354,922.333333333,2.6723,1003.88473221,23.271983861923218,-1.04773789644e-09,0.921896,331.962807488,725.6283192634583,1200,0.920613,0.00710203498602,0.6964788436889648,-0.00903881341219,2.6751,16.46503257751465,16.722002744674683,75.69211053848267,0.0,1200,0.0,0.00903881236445,14.4732,95.8333333333,14.5138,2000.0,14.65629506111145
-1.30385249264e-08,0.07616996765136719,0.0817189616012,2700.0,0.6201353073120117,0.446636778414,847.083333333,2.65423,937.189856106,24.778827667236328,-2.32830643654e-10,0.912217,303.179436693,801.6458556652069,1200,0.912434,0.00689510861412,0.6188347339630127,-0.00907071493566,2.65383,14.314209222793579,14.5332772731781,74.41743612289429,0.0,1200,0.0,0.00907071470283,14.214,76.75,14.2083,2400.0,14.947969913482666
-1.8626434839e-09,0.31890010833740234,0.0839695778415,2800.0,0.6131501197814941,0.496512044322,988.666666667,2.63064,1025.46163046,23.843278884887695,2.32830643654e-09,0.901942,283.166311065,881.5238008499146,1200,0.901706,0.00988329201937,0.6911666393280029,-0.0103263510391,2.63115,17.859926223754883,16.397016525268555,78.05666899681091,0.0,1200,0.0,0.0103263533674,13.8826,70.4166666667,13.8897,2000.0,15.027708768844604
