0ProcessExecTime,1AveragePolicyStd,1Entropy,ComputeUpdatedDistTime,1AverageReturn,1EnvExecTime,0EnvExecTime,0NumTrajs,0AveragePolicyStd,1ExplainedVariance,1StdReturn,MeanKL,MeanKLBefore,0Perplexity,0AverageReturn,0MinReturn,0StdReturn,LossAfter,0MaxReturn,1MaxReturn,1PolicyExecTime,1NumTrajs,0Entropy,1ProcessExecTime,0ExplainedVariance,0PolicyExecTime,dLoss,1Perplexity,1MinReturn,LossBefore,ItrTime,Time
0.7439315319061279,1.01453,11.4654,0.10082197189331055,0.0637657758637,90.38085961341858,90.14820599555969,200,1.01366,0.161865023764,51.1260618446,0.00764425517991,-3.89991372529e-09,94719.0,0.50129235902,-116.327284931,46.4753991231,-0.0115311173722,127.559904664,169.380160653,39.647988080978394,200,11.4587,0.7357230186462402,0.171924157106,24.710826873779297,0.0115311242407,95354.0,-178.878412215,6.86850398779e-09,254.43808960914612,3093.42919921875
0.6595208644866943,1.01296,11.4536,0.09206843376159668,-4.59092853591,84.38743138313293,85.31873965263367,200,1.01327,0.173374930241,52.5696774973,0.00753235630691,-2.85217383045e-09,94458.1,0.949961055178,-164.80996912,48.7216830023,-0.0119427647442,145.209944173,153.564053238,27.363765001296997,200,11.4559,0.6326472759246826,0.165460646996,18.79901909828186,0.0119427682366,94240.2,-209.536326461,3.49245965481e-09,224.85634326934814,3318.768691778183
0.679757833480835,1.01562,11.4742,0.10406208038330078,-2.67138807481,84.9419777393341,84.50754857063293,200,1.01562,0.139780009812,50.3490003877,0.00848428253084,1.43627607585e-08,96199.9,-7.65759028137,-173.391642888,53.7353351772,-0.0115786138922,125.348196478,181.708008051,31.242884159088135,200,11.4742,0.6286664009094238,0.186070508253,20.179075002670288,0.0115786233218,96206.2,-189.231024675,9.42964106798e-09,229.52855277061462,3548.9777767658234
0.6486997604370117,1.01713,11.4862,0.11705160140991211,-12.8983319614,84.30407977104187,83.42703771591187,200,1.01685,0.19943965099,56.2426529287,0.00804611388594,-1.92085236606e-09,97152.8,-7.74125817839,-211.695736339,52.9429869614,-0.0123788183555,160.135331979,136.50371819,27.29750156402588,200,11.484,0.6333298683166504,0.194082362704,25.18805718421936,0.012378819476,97362.9,-205.077845079,1.12049747258e-09,228.9685137271881,3778.4431953430176
0.6479623317718506,1.01562,11.4746,0.11928701400756836,-0.982018706671,84.97629904747009,85.30958294868469,200,1.01691,0.156304697655,49.4998309442,0.00800714641809,4.22014534429e-10,97238.6,-3.84375557115,-191.175309469,54.4604420678,-0.0123290270567,160.895258768,146.303763977,32.14754128456116,200,11.4849,0.630852460861206,0.164829261173,18.758951663970947,0.0123290219344,96242.3,-173.22859884,-5.12227416039e-09,230.082377910614,4008.998594522476
0.649338960647583,1.0145,11.4658,0.11909699440002441,-1.73653085736,84.74016165733337,84.14221239089966,200,1.0141,0.152683858752,46.500226565,0.00816140603274,-2.561141077e-09,95103.6,-3.1926799445,-147.848677838,48.2738411105,-0.0133420173079,121.543443934,112.699680106,26.03290843963623,200,11.4627,0.6365220546722412,0.165481236099,19.785982131958008,0.0133420156199,95401.0,-128.229211649,-1.68802216649e-09,223.71489191055298,4233.193724870682
0.6675400733947754,1.01319,11.4547,0.10919857025146484,-5.78971303736,84.34052181243896,84.95781087875366,200,1.01235,0.161098194824,55.0281718963,0.00751977227628,-5.56610295632e-08,93775.9,-5.2559740189,-194.580818017,48.5102209869,-0.0122558604926,94.1473235206,134.012593693,30.681879997253418,200,11.4487,0.6262753009796143,0.198694101213,25.42478060722351,0.0122558642179,94345.9,-198.705157616,3.72529029846e-09,235.52503108978271,4469.327528476715
0.65509033203125,1.01303,11.4542,0.09824657440185547,-2.17525492763,85.30549478530884,84.26358723640442,200,1.01389,0.143009106653,42.4689387347,0.00888849236071,4.71482053399e-09,94938.3,-1.67092696803,-174.209391108,50.1360124904,-0.0130747724324,120.878904744,125.557522522,27.62072205543518,200,11.461,0.6499769687652588,0.132094473352,18.389443397521973,0.013074772316,94299.5,-132.424244138,-1.16415321827e-10,224.29579734802246,4694.047695875168
0.658970832824707,1.01136,11.4411,0.09152483940124512,3.24849983818,84.72667050361633,83.64863419532776,200,1.01317,0.140721028907,43.5660225946,0.00808698683977,1.06519975063e-08,94416.9,-3.9021740749,-199.771854106,50.6614283925,-0.011782377027,122.629835533,126.555691079,27.460572004318237,200,11.4555,0.6283929347991943,0.177837336834,26.194759607315063,0.0117823774926,93073.5,-135.739850463,4.65661287308e-10,232.11806678771973,4926.6303651332855
0.6388680934906006,1.01345,11.4576,0.12260103225708008,-4.47528940843,85.60420227050781,84.07401442527771,200,1.01416,0.170631559208,47.984931839,0.00804323609918,-8.20728285333e-09,95162.6,-3.35557301203,-228.334481619,55.5664193555,-0.0129998829216,172.945779961,99.0806551641,33.3588604927063,200,11.4633,0.6516611576080322,0.176450627624,18.135647535324097,0.0129998792545,94613.6,-190.766263592,-3.66708263755e-09,230.32027626037598,5157.394561052322
