Entropy,AveragePolicyStd,LossAfter,Time,Perplexity,TotalExecTime,LossBefore,StdReturn,NumTrajs,ExplainedVariance,MaxReturn,ItrTime,AverageReturn,MinReturn,MeanKL,MaxKL
2.73374,0.949513,-0.0554715,5.5450921058654785,15.3903,5.486465930938721,-0.00683878,3353.26706363,20,0.428341010102,13200.0,5.545095682144165,5840.0,0.0,0.213397,1.17368
2.7269,0.946411,0.00145519,10.277187824249268,15.2854,4.685115814208984,0.0155773,5915.84947408,20,0.784145463727,22300.0,4.727284908294678,16635.0,3400.0,0.0233945,0.27114
2.73469,0.949901,-0.0393661,15.7723867893219,15.4049,5.466033458709717,-0.0150647,4918.64818827,20,0.808943560814,23000.0,5.491018772125244,17430.0,1900.0,0.0746276,0.337774
2.72716,0.946301,-0.0268422,21.157747745513916,15.2893,5.3426690101623535,0.00814386,5684.31834084,20,0.73451100899,21900.0,5.382081747055054,14145.0,0.0,0.162737,0.74294
2.73123,0.948262,-0.0301109,26.892063856124878,15.3517,5.679477214813232,-0.00780153,6270.84324473,20,0.732720806503,22200.0,5.729338884353638,14745.0,0.0,0.0831693,0.350186
2.72733,0.946543,0.0013278,31.986992120742798,15.292,5.026824951171875,0.00671507,6958.25229494,20,0.825800466359,22000.0,5.071488857269287,15865.0,0.0,0.0264516,0.145386
2.73068,0.948192,-0.0133461,36.59479999542236,15.3434,4.561214923858643,-0.00674867,5014.30703089,20,0.885061255037,23500.0,4.6007208824157715,19335.0,0.0,0.00877559,0.0645311
