Perplexity,LossBefore,AverageReturn,LossAfter,MaxReturn,ItrTime,AveragePolicyStd,Entropy,MeanKL,Time,ExplainedVariance,NumTrajs,MinReturn,TotalExecTime,StdReturn,MaxKL
7.06603,-0.0120424,2678.0,-0.0209799,2900.0,37.212327003479004,0.64325,1.9553,0.0955991,776.6355011463165,0.994491674046,200,2300.0,37.05454611778259,120.066648158,0.607948
7.02361,-0.00178568,2677.5,-0.0075809,2900.0,24.802135705947876,0.641305,1.94928,0.0793841,801.4662351608276,0.994660422891,200,2400.0,24.733093738555908,115.515150521,0.94635
7.01735,0.00518037,2663.5,0.00133056,2900.0,25.39968514442444,0.641008,1.94839,0.0129892,826.8752336502075,0.994266587183,200,2200.0,25.219061374664307,127.740948799,0.171146
7.03555,-0.0104019,2679.0,-0.0152231,3000.0,25.514880418777466,0.641844,1.95098,0.0327512,852.3991794586182,0.994421275313,200,2300.0,25.342684507369995,121.074357318,0.217339
6.99905,-0.00671019,2668.0,-0.0247278,3100.0,26.559316873550415,0.640193,1.94577,0.116893,878.9656610488892,0.994432230224,200,2300.0,26.346548080444336,119.899958299,0.749374
6.97561,-0.0115332,2682.5,-0.0147312,3000.0,25.47214937210083,0.639123,1.94242,0.0206772,904.4454462528229,0.99475090269,200,2200.0,25.347343921661377,115.947186253,0.152595
6.9355,0.00504945,2665.5,-0.0250194,3000.0,25.769941806793213,0.63727,1.93665,0.349378,930.2197771072388,0.994504204379,200,2300.0,25.45079755783081,121.90057424,2.99644
6.95303,-0.0115159,2684.5,-0.0298888,3000.0,25.52100706100464,0.638081,1.93918,0.240231,955.7563674449921,0.993958420708,200,2200.0,25.373212814331055,119.204655949,1.81563
6.91311,-6.02426e-05,2679.5,-0.00986016,2900.0,25.485556602478027,0.636259,1.93342,0.0851793,981.2562136650085,0.994996446506,200,2400.0,25.385099172592163,113.709058566,0.633151
6.9129,0.00176034,2685.5,-0.0145841,3000.0,25.273789882659912,0.636226,1.93339,0.157041,1006.5497159957886,0.995059641755,200,2400.0,25.0705885887146,118.066718426,1.33265
6.91899,-0.00454039,2677.5,-0.0100556,2900.0,24.895020723342896,0.63651,1.93427,0.0590983,1031.4502658843994,0.994354441795,200,2300.0,24.81824016571045,113.77060253,0.353258
6.9033,-0.0142132,2687.5,-0.0293441,3000.0,25.07348132133484,0.635799,1.932,0.166126,1056.5430862903595,0.995178210302,200,2300.0,24.96812415122986,118.295181643,1.82853
6.85441,-0.0149385,2664.0,-0.0174386,3000.0,26.069166660308838,0.633567,1.92489,0.0261296,1082.6204152107239,0.994310291448,200,2300.0,25.993090629577637,118.33849754,0.421204
6.80341,-0.0237604,2668.5,-0.0300065,2900.0,25.173901081085205,0.6312,1.91742,0.0792535,1107.8004508018494,0.99520141435,200,2400.0,25.071196794509888,107.040880041,0.623232
6.72306,-0.0133774,2676.0,-0.0222529,3000.0,24.85487461090088,0.627438,1.90554,0.0709084,1132.6606109142303,0.994443454337,200,2200.0,24.75316023826599,118.0,0.752464
6.67824,-0.0101313,2675.0,-0.0224116,2900.0,23.30663824081421,0.62536,1.89885,0.106864,1155.9717664718628,0.994613580969,200,2300.0,23.2314715385437,109.430343141,0.804905
6.6445,-0.0144807,2680.5,-0.0263001,2900.0,22.56869912147522,0.623755,1.89379,0.0797959,1178.5508515834808,0.995481850309,200,2300.0,22.494205474853516,114.759531195,0.773574
6.59656,0.00804862,2675.5,0.00537625,2900.0,23.033756494522095,0.621532,1.88655,0.0138586,1201.6103143692017,0.994922953215,200,2300.0,22.9261257648468,112.025666702,0.128599
6.62316,-0.00864379,2687.0,-0.0281944,3000.0,23.05629825592041,0.622791,1.89057,0.201342,1224.672124862671,0.994755238101,200,2300.0,22.92592716217041,118.02965729,1.73419
6.5946,-0.0152139,2677.0,-0.0174466,3000.0,23.503307580947876,0.621438,1.88625,0.00935877,1248.179326057434,0.994367608958,200,2200.0,23.4304621219635,129.888413648,0.0845615
6.54462,-0.000282157,2699.5,-0.0109129,3000.0,21.529296159744263,0.619077,1.87864,0.109034,1269.7149457931519,0.995673757586,200,2400.0,21.432177305221558,111.57844774,0.634541
