MeanKLBefore,Time,0EnvExecTime,0StdReturn,1StdReturn,0MinReturn,LossAfter,0NumTrajs,1ExplainedVariance,ComputeUpdatedDistTime,0ExplainedVariance,1EnvExecTime,0AverageReturn,1NumTrajs,1MinReturn,0Perplexity,0AveragePolicyStd,1PolicyExecTime,0MaxReturn,1Perplexity,dLoss,1MaxReturn,1AveragePolicyStd,0Entropy,0PolicyExecTime,1Entropy,1ProcessExecTime,1AverageReturn,LossBefore,ItrTime,MeanKL,0ProcessExecTime
2.04890966415e-08,206.37257933616638,1.9252359867095947,444.662793586,714.934164364,0.0,-0.0128261474892,160,0.532594564702,0.08071374893188477,0.506893527763,1.904829502105713,170.0,160,0.0,14.8487,0.932415,3.9480602741241455,1800.0,14.5993,0.0128261530772,2600.0,0.924693,2.69791,2.1560378074645996,2.68098,0.08688545227050781,465.625,5.58793544769e-09,11.006218910217285,0.00696121575311,0.09777712821960449
0.0,217.30470657348633,1.854611873626709,94.5714015969,330.065689485,0.0,-0.00558403367177,160,0.34270677266,0.0795888900756836,0.0407784748803,1.8803024291992188,7.5,160,0.0,14.8005,0.931017,3.8285961151123047,1200.0,14.7421,0.00558403111063,1900.0,0.929176,2.69466,2.021153688430786,2.69071,0.08318424224853516,84.375,-2.56113708019e-09,10.598271608352661,0.00736386608332,0.0952003002166748
1.86264537128e-09,228.45038676261902,2.0073249340057373,499.014262697,807.306478359,0.0,-0.00907561741769,160,0.397157913923,0.1035468578338623,0.16148901868,1.9235785007476807,206.875,160,0.0,14.8606,0.932861,3.384582996368408,2000.0,14.7499,0.00907562719658,2700.0,0.929481,2.69871,2.441432476043701,2.69124,0.08474612236022949,497.5,9.77888703346e-09,10.797873973846436,0.00844918284565,0.09759736061096191
1.67638063431e-08,240.08634233474731,2.014519691467285,373.245374218,525.284149294,0.0,-0.00355609320104,160,0.218341647818,0.0943143367767334,0.134947590366,1.9777462482452393,99.375,160,0.0,14.7744,0.930284,3.606793165206909,1900.0,14.7496,0.00355609296821,2800.0,0.929486,2.6929,2.5537500381469727,2.69122,0.08919286727905273,158.75,-2.32830643654e-10,11.305891275405884,0.00952386204153,0.09932518005371094
-3.72529074255e-09,251.8730480670929,2.0099098682403564,503.322942429,747.444604971,0.0,-0.0126639530063,160,0.448722220549,0.11790847778320312,0.397291932661,2.0028820037841797,221.875,160,0.0,14.3128,0.915609,3.882901906967163,1900.0,14.3414,0.0126639511436,2600.0,0.916489,2.66116,2.2029876708984375,2.66315,0.09205985069274902,471.25,-1.86264514923e-09,11.196130752563477,0.00777740590274,0.09756302833557129
1.56125112838e-17,263.52811098098755,1.9885163307189941,496.103567816,938.815535329,0.0,-0.00824066251516,160,0.32855272888,0.08291888236999512,0.238526589655,1.9540278911590576,197.5,160,0.0,14.2469,0.913672,4.098968267440796,2100.0,14.2765,0.0082406597212,2800.0,0.914763,2.65654,2.2428205013275146,2.65862,0.0888068675994873,650.625,-2.79396772385e-09,11.287810564041138,0.0067309406586,0.09932088851928711
1.39698403956e-08,274.75830340385437,1.9089488983154297,456.839943936,776.932821662,0.0,-0.00987597927451,160,0.173160761398,0.07707357406616211,0.0559594365078,1.9182491302490234,163.125,160,0.0,13.8524,0.901284,3.379976511001587,2000.0,14.0517,0.0098759806715,2600.0,0.908047,2.62846,2.7057628631591797,2.64274,0.0871727466583252,469.375,1.39698386192e-09,10.886318683624268,0.00714545883238,0.09684610366821289
-1.86264537128e-09,285.4038817882538,1.8177857398986816,440.680847525,755.028714272,0.0,-0.0158082284033,160,0.271074046265,0.08101820945739746,0.0812785214124,1.8908264636993408,129.375,160,0.0,14.0258,0.907131,3.607717990875244,2500.0,14.0537,0.0158082256094,2800.0,0.908074,2.6409,2.000788450241089,2.64289,0.09017515182495117,384.375,-2.79396772385e-09,10.284900665283203,0.00716203451157,0.09042787551879883
-3.72529074255e-09,296.44360280036926,1.893205165863037,516.907873803,939.575826836,0.0,-0.00837461370975,160,0.345553045615,0.11218762397766113,0.0573364316848,1.787161111831665,217.5,160,0.0,13.8858,0.902783,3.160632610321045,2100.0,13.9845,0.00837461464107,2800.0,0.906042,2.63087,2.489673614501953,2.63795,0.07813692092895508,703.125,9.31322574615e-10,10.423502206802368,0.00685450807214,0.09262919425964355
-2.32830643654e-09,307.13579654693604,1.8711235523223877,478.798953111,671.469645163,0.0,-0.0139163136482,160,0.236164394328,0.11941075325012207,0.211172409133,1.8701221942901611,198.75,160,0.0,14.1059,0.910119,3.294241428375244,2400.0,14.3035,0.0139163210988,2500.0,0.916475,2.64659,2.240978717803955,2.6605,0.08555769920349121,308.125,7.45058059692e-09,10.340437889099121,0.00975299533457,0.09125757217407227
