ItrTime,Time,1StdReturn,dLoss,1Perplexity,1AverageReturn,1ExplainedVariance,ComputeUpdatedDistTime,LossBefore,1PolicyExecTime,MeanKL,0MaxReturn,0ProcessExecTime,1NumTrajs,MeanKLBefore,1ProcessExecTime,0NumTrajs,0AveragePolicyStd,1MaxReturn,0AverageReturn,1EnvExecTime,0ExplainedVariance,LossAfter,0PolicyExecTime,1AveragePolicyStd,1MinReturn,0EnvExecTime,0Entropy,0Perplexity,1Entropy,0StdReturn,0MinReturn
199.56999373435974,199.56999015808105,180.830933164,0.00172148121055,17.122,17.0833333333,0.00437502396916,0.8521316051483154,1.16415321827e-10,67.96194362640381,0.00653580622748,2600.0,1.401883840560913,1200,1.86264492719e-09,1.3855829238891602,1200,1.0,3400.0,13.8333333333,38.04341793060303,0.0152457713108,-0.00172148109414,45.557106018066406,1.00125,0.0,37.52429986000061,2.83788,17.0795,2.84037,158.982091934,0.0
204.1358368396759,406.0059323310852,178.683146006,0.00384241482243,16.8372,17.0,0.00629852974582,0.11408734321594238,-4.65661287308e-10,68.30724215507507,0.00926576461643,3700.0,1.442154884338379,1200,-2.32830932312e-09,1.3854765892028809,1200,0.993584,3700.0,17.75,38.109081506729126,0.00688843314281,-0.00384241528809,50.87737679481506,0.993207,0.0,37.850043535232544,2.82437,16.8503,2.82359,198.980579036,0.0
231.68779826164246,640.2380800247192,185.110702614,0.00232218118617,17.6638,14.1666666667,0.00620081176705,0.1158134937286377,5.82076609135e-11,85.53540921211243,0.00941529124975,3800.0,1.5169191360473633,1200,2.56113796837e-09,1.5774779319763184,1200,1.01722,3800.0,20.5,41.949063777923584,0.00403353470615,-0.00232218112797,54.81841850280762,1.01734,0.0,39.50009512901306,2.87145,17.6626,2.87152,206.590779078,0.0
283.6259138584137,926.4744579792023,168.500556379,0.00186328298878,17.7629,15.25,0.00641745859053,0.12560820579528809,-6.98491930962e-10,108.1635525226593,0.00645796116441,2400.0,1.6903624534606934,1200,3.02680263076e-08,1.6768498420715332,1200,1.02174,3400.0,20.0833333333,44.98991346359253,0.00932694713733,-0.00186328368727,76.29456305503845,1.02106,0.0,43.68574571609497,2.87849,17.7875,2.87711,194.948693393,0.0
284.93502593040466,1214.1263811588287,349.740816733,0.00277034298051,17.1684,37.8333333333,0.00799041709205,0.12276363372802734,5.82076609135e-10,105.38906049728394,0.00967550463974,4600.0,1.7095911502838135,1200,-9.31323129727e-10,1.6945679187774658,1200,1.00402,5300.0,20.75,44.397072076797485,0.0118565521155,-0.00277034239843,81.22512674331665,1.00451,0.0,43.52208232879639,2.84221,17.1537,2.84307,242.131722072,0.0
321.92053842544556,1539.066543340683,368.270394321,0.00077262474224,17.8239,39.5,0.00567777408211,0.13248658180236816,-6.40284270048e-10,125.96498656272888,0.00654659513384,4100.0,1.8176119327545166,1200,-1.86264559332e-09,1.859832763671875,1200,1.02132,7100.0,20.0833333333,49.674806356430054,0.0176136162999,-0.000772625382524,87.98790550231934,1.02414,0.0,45.65081834793091,2.87518,17.7285,2.88054,197.834088036,0.0
335.0812373161316,1877.3601443767548,272.248852156,0.00098470854573,17.7749,29.25,0.00864696018925,0.27392125129699707,9.31322574615e-10,129.42099523544312,0.00683129811659,3700.0,1.9073219299316406,1200,2.79397083247e-09,2.197852373123169,1200,1.02284,4200.0,20.3333333333,59.23946952819824,0.00847908781452,-0.000984707614407,83.4851541519165,1.02291,0.0,49.36215376853943,2.87789,17.7767,2.87779,221.479620332,0.0
370.6001055240631,2250.7985050678253,183.469627368,0.00144557940075,17.7435,16.75,0.00432746288611,0.17257332801818848,-9.89530235529e-10,152.62095046043396,0.00702717667446,5400.0,2.1812732219696045,1200,-9.3132279666e-10,2.4625296592712402,1200,1.02154,3300.0,26.3333333333,60.69422197341919,0.00495509238555,-0.00144558039028,85.62721538543701,1.02224,0.0,56.678712368011475,2.87465,17.7192,2.87602,271.397412581,0.0
346.9079866409302,2601.436688184738,266.942565608,0.0027049005148,16.8171,25.0,0.00644492114955,0.20166873931884766,-1.7462298274e-10,138.5995876789093,0.0064163506031,4100.0,2.047466993331909,1200,9.31317578612e-10,2.083876371383667,1200,0.996242,4700.0,38.75,56.12539625167847,0.00882016305734,-0.00270490068942,86.09629154205322,0.993903,0.0,52.37674021720886,2.82715,16.8972,2.82239,305.679741178,0.0
365.7196035385132,2970.5845181941986,179.921259784,0.00136895966716,16.7633,17.4166666667,0.00611856572004,0.17606377601623535,-9.31322574615e-10,154.98493099212646,0.0071061081253,2900.0,2.11445689201355,1200,1.86264559332e-09,2.4619038105010986,1200,0.991795,3200.0,14.75,62.572144746780396,0.00973272767147,-0.00136896059848,79.72412109375,0.991762,0.0,53.46808218955994,2.81922,16.7638,2.81919,146.710954488,0.0
