LossAfter,MaxKL,Time,AverageReturn,Perplexity,AveragePolicyStd,NumTrajs,StdReturn,TotalExecTime,LossBefore,ExplainedVariance,MeanKL,ItrTime,MaxReturn,Entropy,MinReturn
-0.145314,5.61999,1.1487510204315186,130.0,9.10867,0.730372,20,266.645832519,1.062894344329834,0.000430942,0.663973982933,2.38636,1.1487536430358887,1000.0,2.20923,0.0
-0.0777715,0.666694,2.033637762069702,2600.0,9.1126,0.730869,20,167.332005307,0.8233869075775146,0.00457563,0.992089208294,0.291111,0.8807294368743896,2800.0,2.20966,2200.0
-0.052776,3.53822,2.961210012435913,2575.0,9.13346,0.731804,20,108.972473589,0.8801548480987549,0.0122166,0.994770923344,0.980702,0.9160082340240479,2700.0,2.21195,2400.0
-0.0592121,2.01242,3.958564519882202,2680.0,9.18943,0.734052,20,92.736184955,0.9643440246582031,-0.00186872,0.995770336872,0.807201,0.9900565147399902,2800.0,2.21805,2500.0
0.0214616,0.224345,4.827304363250732,2660.0,9.18084,0.733619,20,86.0232526704,0.8296866416931152,0.0449201,0.996501206798,0.0976486,0.8580484390258789,2800.0,2.21712,2500.0
-0.160438,3.16392,5.7257184982299805,2675.0,9.38938,0.741946,20,108.972473589,0.8704574108123779,-0.067621,0.997419509353,1.23309,0.8929073810577393,2900.0,2.23958,2500.0
-0.0187985,0.214303,6.7156713008880615,2695.0,9.07723,0.729608,20,124.398553046,0.9574010372161865,0.00693164,0.996502105949,0.0682765,0.9842994213104248,2900.0,2.20577,2400.0
