NumTrajs,Perplexity,MaxKL,LossBefore,Time,LossAfter,AverageReturn,MeanKL,ExplainedVariance,MaxReturn,AveragePolicyStd,StdReturn,TotalExecTime,Entropy,ItrTime,MinReturn
200,5.05629,3.10823,-0.00155224,404.02727484703064,-0.0223541,2687.0,0.502986,0.994890200224,3000.0,0.544108,112.387721749,13.334928512573242,1.62063,13.391166925430298,2400.0
200,5.05236,1.79382,0.00260659,417.5714681148529,-0.0130435,2683.0,0.241125,0.995344745935,3000.0,0.543891,107.75435026,13.432121276855469,1.61986,13.5384521484375,2400.0
200,5.05895,2.11511,0.0172072,430.88403582572937,0.00397088,2669.5,0.22132,0.993658522428,3000.0,0.544244,127.748776902,13.234962224960327,1.62116,13.309495210647583,2300.0
200,5.10267,3.50436,0.00304556,444.46754217147827,-0.0195805,2689.5,0.609316,0.995724502741,3000.0,0.546591,111.084427351,13.496494770050049,1.62976,13.567310094833374,2200.0
200,5.11045,0.347108,-0.0139872,457.8658058643341,-0.0176769,2678.5,0.0450258,0.994953501891,3000.0,0.547006,114.401704533,13.326590061187744,1.63129,13.392042875289917,2300.0
200,5.07483,2.06498,0.00676924,471.3241066932678,-0.00595539,2693.0,0.268907,0.995379949837,3000.0,0.545103,110.684235553,13.356623649597168,1.62429,13.448770523071289,2400.0
200,5.09203,3.01599,-0.0103712,484.7803111076355,-0.022528,2666.0,0.212699,0.995211884349,3000.0,0.546028,113.331372532,13.364655256271362,1.62768,13.449104070663452,2400.0
200,5.0657,3.86051,0.00494975,498.4112739562988,-0.0259879,2689.5,0.657855,0.994529289664,2900.0,0.544615,120.580885716,13.53150486946106,1.62249,13.624194145202637,2300.0
200,5.07825,2.55158,-0.00099919,511.82907915115356,-0.0209503,2666.0,0.543888,0.994377952357,2900.0,0.545296,129.011627383,13.315551996231079,1.62497,13.414145231246948,2300.0
200,5.07571,5.8302,0.00746771,525.2001249790192,-0.0334203,2673.5,0.661926,0.994978840115,3000.0,0.545159,106.525818467,13.297566175460815,1.62447,13.367262125015259,2400.0
200,5.0947,1.6323,-0.00397509,538.6894378662109,-0.0123847,2685.0,0.165033,0.995550852397,3000.0,0.546179,113.907857499,13.397037267684937,1.6282,13.481667041778564,2400.0
200,5.08458,10.4559,0.00547422,552.1133410930634,-0.0349336,2685.0,1.15623,0.995113121454,2900.0,0.545656,112.13830746,13.333269357681274,1.62621,13.418479681015015,2400.0
200,5.09852,0.560269,0.0104521,565.6606338024139,0.00423299,2681.5,0.083622,0.994224371262,2900.0,0.546426,118.354340858,13.4785795211792,1.62895,13.537392377853394,2300.0
200,5.12524,3.52117,0.0120295,579.1346111297607,-0.0118621,2690.5,0.678031,0.994871876549,3000.0,0.547824,119.414195136,13.414777755737305,1.63418,13.46836543083191,2400.0
200,5.15615,3.13147,-0.00355956,592.6028759479523,-0.0271657,2681.0,0.332947,0.995572425624,3000.0,0.549481,105.541461047,13.394255638122559,1.64019,13.461916208267212,2400.0
200,5.14699,3.4441,0.000405098,605.937793970108,-0.0183939,2689.0,0.59401,0.994962428993,3000.0,0.548975,124.012096184,13.245169639587402,1.63841,13.319896459579468,2300.0
200,5.14803,0.777398,-0.0057417,619.264580488205,-0.0115401,2688.5,0.0765477,0.995497085297,2900.0,0.549025,106.853872181,13.252610921859741,1.63861,13.315906286239624,2400.0
200,5.13327,1.54383,-0.0057028,632.5790505409241,-0.0190214,2678.0,0.200874,0.99465917773,3000.0,0.548228,122.947143114,13.239108562469482,1.63574,13.299136400222778,2300.0
200,5.11866,0.61628,0.00335662,646.0021352767944,-0.000731727,2687.0,0.0488713,0.995588524685,3000.0,0.547464,108.309741021,13.321646928787231,1.63289,13.417346477508545,2400.0
200,5.12725,1.139,-0.0188245,659.3966393470764,-0.0274366,2684.0,0.181669,0.994163958441,3000.0,0.547946,123.870900538,13.311753511428833,1.63457,13.390202522277832,2200.0
200,5.07922,4.38506,0.0198864,672.9321708679199,-0.00456941,2686.5,0.544441,0.994870081405,3000.0,0.545393,113.436105363,13.429713249206543,1.62516,13.520934343338013,2300.0
