MaxReturn,NumTrajs,LossAfter,Time,Perplexity,MeanKL,MaxKL,Entropy,AveragePolicyStd,AverageReturn,MinReturn,ExplainedVariance,LossBefore,ItrTime,TotalExecTime,StdReturn
0.0,200,-0.0,25.569180011749268,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.569186210632324,25.26668357849121,0.0
0.0,200,-0.0,51.76693797111511,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.193172454833984,25.92548966407776,0.0
0.0,200,-0.0,80.2853934764862,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,28.513899087905884,28.264562129974365,0.0
0.0,200,-0.0,106.41311407089233,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.118053674697876,25.883436918258667,0.0
0.0,200,-0.0,134.51745676994324,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,28.078089475631714,27.792359828948975,0.0
0.0,200,-0.0,162.7673215866089,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,28.229525804519653,27.965726613998413,0.0
0.0,200,-0.0,189.28195524215698,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.50769543647766,26.323500633239746,0.0
0.0,200,-0.0,214.93379139900208,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.637235164642334,25.56170415878296,0.0
0.0,200,-0.0,243.09516310691833,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,28.121821880340576,27.842411994934082,0.0
0.0,200,-0.0,268.86402893066406,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.74061417579651,25.670098066329956,0.0
0.0,200,-0.0,294.29439544677734,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.422081470489502,25.2492573261261,0.0
0.0,200,-0.0,319.233469247818,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,24.92542791366577,24.73346972465515,0.0
0.0,200,-0.0,344.7889070510864,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.544618844985962,25.33833074569702,0.0
0.0,200,-0.0,370.95885944366455,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.155649423599243,25.941928148269653,0.0
0.0,200,-0.0,397.88545322418213,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.902839183807373,26.676181077957153,0.0
0.0,200,-0.0,423.49499559402466,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.589483499526978,25.308774948120117,0.0
0.0,200,-0.0,449.72097516059875,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.221399068832397,26.015528202056885,0.0
0.0,200,-0.0,474.92595767974854,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.182408571243286,24.91394281387329,0.0
0.0,200,-0.0,501.1471326351166,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.213043212890625,26.043442249298096,0.0
0.0,200,-0.0,526.6586682796478,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.500436067581177,25.262601852416992,0.0
0.0,200,-0.0,552.1203444004059,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.438817977905273,25.254464864730835,0.0
0.0,200,-0.0,577.3432397842407,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.201945781707764,24.986420392990112,0.0
0.0,200,-0.0,603.0096940994263,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.655412197113037,25.429367303848267,0.0
0.0,200,-0.0,630.5298838615417,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,27.50485920906067,27.29310154914856,0.0
0.0,200,-0.0,659.7574458122253,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,29.211841106414795,28.99132800102234,0.0
0.0,200,-0.0,685.5120928287506,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,25.72699809074402,25.555237293243408,0.0
0.0,200,-0.0,712.9684193134308,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,27.44794774055481,27.200448751449585,0.0
0.0,200,-0.0,741.0348401069641,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,28.046705961227417,27.762777090072632,0.0
0.0,200,-0.0,769.5997104644775,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,28.5400812625885,28.263739109039307,0.0
0.0,200,-0.0,796.3545725345612,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.73808479309082,26.372926950454712,0.0
0.0,200,-0.0,823.711662530899,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,27.34799098968506,27.126734495162964,0.0
0.0,200,-0.0,849.9432151317596,7.93364,0.0,0.0,2.07111,0.681555,0.0,0.0,1,-0.0,26.220641613006592,26.04925012588501,0.0
