0AverageReturn,0PolicyExecTime,0EnvExecTime,1AveragePolicyStd,0MinReturn,MeanKLBefore,dLoss,1EnvExecTime,LossAfter,0MaxReturn,0Entropy,0NumTrajs,1Entropy,ComputeUpdatedDistTime,1Perplexity,1NumTrajs,Time,1MinReturn,ItrTime,0AveragePolicyStd,MeanKL,1ProcessExecTime,0ProcessExecTime,1ExplainedVariance,1MaxReturn,LossBefore,1AverageReturn,1PolicyExecTime,0Perplexity,0StdReturn,0ExplainedVariance,1StdReturn
67.75,145.6165587902069,138.66806602478027,0.999342,0.0,2.91565651622e-08,0.00205079196166,141.25046181678772,-0.00205079186708,8900.0,2.83788,2000,2.83656,1.2927818298339844,17.057,2000,708.7460424900055,0.0,708.7460458278656,1.0,0.00600855518132,5.870510578155518,6.016443490982056,0.0520358644451,10500.0,9.45874489844e-11,96.6,246.44896697998047,17.0794,570.915876027,0.0407589116706,710.977102304
185.0,166.3061122894287,142.50198006629944,1.00181,0.0,-2.00816385743e-09,0.00241948800976,141.0867154598236,-0.00241948780604,15800.0,2.84084,2000,2.84149,0.37561964988708496,17.1412,2000,1442.6435475349426,0.0,729.8374559879303,1.00148,0.00753394002095,5.863407850265503,6.157249450683594,0.0704465521695,17100.0,2.03726813197e-10,204.75,244.98102569580078,17.1301,1157.27049561,0.0695979778478,1199.37168447
528.95,170.69537234306335,142.90860176086426,0.998653,0.0,3.14321368933e-09,0.00205277639907,142.85938215255737,-0.00205277791247,17400.0,2.83788,2000,2.8351,0.3859279155731201,17.0321,2000,2182.3261523246765,0.0,735.5073573589325,1.00003,0.00678876275197,6.092320919036865,6.224258184432983,0.134828661014,18400.0,-1.51339918375e-09,718.35,243.81716012954712,17.0795,2125.40981872,0.110265109684,2484.53783982
1113.25,172.89256501197815,142.78122854232788,0.997069,0.0,-4.24915924668e-09,0.00155169036589,143.08284497261047,-0.0015516896965,20000.0,2.83261,2000,2.83197,0.22878575325012207,16.9789,2000,2921.0232553482056,0.0,734.0825374126434,0.997382,0.00715502724051,6.089773178100586,6.323884725570679,0.129096263733,20100.0,6.69388100505e-10,1274.5,240.00517177581787,16.9898,3331.98731053,0.121458223538,3612.54062261
1713.6,172.8441207408905,143.02118110656738,0.989489,0.0,-6.75209088641e-09,0.00199789719045,143.02633810043335,-0.0019978962373,19800.0,2.81982,2000,2.81674,0.25960206985473633,16.7222,2000,3659.30256152153,0.0,733.5080597400665,0.991014,0.00958386622369,6.1006903648376465,6.384905576705933,0.153552787205,20700.0,9.53150447458e-10,2796.7,239.27455019950867,16.7739,4115.31105021,0.0820185582562,5403.02314543
1932.55,171.08460545539856,141.3052864074707,0.976338,0.0,-7.94503351997e-16,0.00149755271559,141.8256857395172,-0.00149755179882,18700.0,2.79057,2000,2.78996,0.2441706657409668,16.2804,2000,4393.313739776611,0.0,729.3937132358551,0.976629,0.00636918609962,5.781708478927612,5.974480867385864,0.175338803649,21800.0,9.16770659387e-10,3974.0,240.712486743927,16.2903,4153.51002136,0.0738896401112,6960.66692207
1805.3,171.10803699493408,140.9236717224121,0.966704,0.0,4.6566159817e-09,0.00203272078215,141.55933356285095,-0.00203272118233,21400.0,2.77408,2000,2.77015,0.2258749008178711,15.961,2000,5122.7065353393555,0.0,724.8600497245789,0.968604,0.00657203467563,5.753995180130005,6.024385690689087,0.247988280923,22400.0,-4.0017766878e-10,5257.3,236.84330558776855,16.0238,3975.99445548,0.061665860131,7887.62934664
1489.95,164.42974662780762,141.23583364486694,0.958396,0.0,-2.79396172864e-09,0.00169889203971,142.02346968650818,-0.00169889279641,21300.0,2.75511,2000,2.75287,0.39840054512023926,15.6876,2000,5852.707308769226,0.0,725.5332658290863,0.959466,0.00702581647784,5.796776294708252,6.039578199386597,0.302580337769,22800.0,-7.56699591875e-10,5878.65,234.28622436523438,15.7227,3573.23718741,0.0677974365597,8685.0002405
1495.6,162.28723621368408,140.94638895988464,0.952977,0.0,4.65660576765e-09,0.00199015927501,142.1142177581787,-0.00199015950784,21600.0,2.741,2000,2.74152,0.2667067050933838,15.5105,2000,6576.567401409149,0.0,719.697859287262,0.952734,0.00658278912306,5.793562412261963,6.0137693881988525,0.381663887299,22900.0,-2.32830643654e-10,7199.45,239.76371598243713,15.5025,3640.62915442,0.0872616240785,9100.99910436
1238.1,170.51301193237305,141.73584985733032,0.940277,0.0,1.86264237367e-09,0.00230204156833,142.48277592658997,-0.00230204244144,21200.0,2.7132,2000,2.71457,0.2919907569885254,15.0981,2000,7307.571236610413,0.0,726.8830468654633,0.939636,0.00679987343028,5.792400360107422,6.028149366378784,0.402482842536,23300.0,-8.73114913702e-10,7641.4,237.36043047904968,15.0775,3446.12222505,0.0789406194847,9271.93054547
1267.55,171.3203890323639,141.7666895389557,0.925082,0.0,-3.72528674575e-09,0.00315694853634,142.62271451950073,-0.003156948369,22300.0,2.68279,2000,2.68209,0.2811102867126465,14.6156,2000,8038.7264766693115,0.0,726.6834230422974,0.925407,0.00965661834925,5.776565313339233,6.002336025238037,0.451574038108,23400.0,1.67347025126e-10,8641.05,236.46199536323547,14.6258,3551.00014045,0.121799869139,9364.64200584
836.6,171.51749515533447,140.89949989318848,0.910639,0.0,1.86264215163e-09,0.00253689748934,142.6827428340912,-0.0025368980132,19900.0,2.64907,2000,2.65051,0.26024293899536133,14.1613,2000,8769.501435279846,0.0,726.3079187870026,0.909987,0.00734267523512,5.79096794128418,5.982436180114746,0.526374712419,23500.0,-5.23868948221e-10,9233.6,236.54038286209106,14.1409,2574.87872336,0.0780472152265,9924.72876405
889.85,174.15853881835938,141.0664098262787,0.895417,0.0,1.8626424847e-09,0.00265580035193,142.3892467021942,-0.00265579996631,20800.0,2.61728,2000,2.61654,0.25221824645996094,13.6882,2000,9503.105199813843,0.0,728.9839081764221,0.895752,0.00730099761859,5.818094968795776,6.021289348602295,0.530883548778,23300.0,3.85625753552e-10,10820.45,236.47770714759827,13.6984,2896.48959561,0.110454228559,9791.25971454
850.85,172.21394038200378,141.77176475524902,0.883161,0.0,5.58793056271e-09,0.00288088151137,143.0219066143036,-0.0028808824718,22100.0,2.58876,2000,2.58857,0.2654283046722412,13.3107,2000,10236.05916261673,0.0,728.7008535861969,0.883263,0.00885289441794,5.793385744094849,6.041918039321899,0.552449934381,23500.0,-9.60426405072e-10,11699.55,237.10890364646912,13.3133,3154.1162435,0.145371381575,9746.56887307
778.85,171.5442099571228,140.13080310821533,0.869859,0.0,3.72528674575e-09,0.00380260669044,142.57828950881958,-0.00380260474049,22100.0,2.5567,2000,2.55783,0.2617380619049072,12.9078,2000,10966.426427841187,0.0,725.8333556652069,0.869348,0.00774917751551,5.798227310180664,5.955261945724487,0.550833546655,23400.0,1.9499566406e-09,12010.9,236.99270749092102,12.8932,3305.07755998,0.135565387817,9301.64615485
