MeanKL,Perplexity,Entropy,Time,MinReturn,LossAfter,NumTrajs,ItrTime,MaxKL,AveragePolicyStd,ExplainedVariance,StdReturn,MaxReturn,TotalExecTime,AverageReturn,LossBefore
0.0,10.6089,2.36169,15.160645484924316,0.0,-0.0,200,15.160651445388794,0.0,0.789575,1,0.0,0.0,14.974951028823853,0.0,-0.0
0.0217244,10.6089,2.36169,29.79280686378479,0.0,-0.0120783,200,14.625576734542847,0.230179,0.789575,0.0550453754842,37.9176739793,500.0,14.548175811767578,3.5,-0.00742816
0.733919,10.5695,2.35798,45.138625383377075,0.0,-0.0631471,200,15.336457967758179,8.15718,0.787826,0.298321955036,262.488094968,1900.0,15.2052481174469,60.0,0.0102695
0.00925629,10.624,2.36311,59.75015735626221,0.0,-0.0165765,200,14.604697704315186,0.103021,0.789752,0.825265263205,1179.76226419,3000.0,14.479185104370117,981.0,-0.0138999
0.0479984,10.5504,2.35616,74.69247078895569,0.0,-0.0352591,200,14.93620491027832,0.589739,0.787224,0.8098820608,1097.61001726,2800.0,14.83992600440979,773.5,-0.021511
0.0616667,10.4375,2.34541,88.97183966636658,0.0,-0.0239164,200,14.27475380897522,0.815973,0.783307,0.815834393227,1108.73802136,2800.0,14.16271710395813,930.0,-0.00711743
0.0393868,10.4004,2.34185,102.4968421459198,0.0,-0.00601387,200,13.52033805847168,0.394767,0.781803,0.810609252007,1094.79575721,2800.0,13.418457746505737,916.5,0.00269789
0.0895529,10.4145,2.3432,118.41248035430908,0.0,-0.0154609,200,15.911594152450562,0.938664,0.782296,0.825345357399,1177.78775677,2900.0,15.768994808197021,1246.0,0.00133499
0.145312,10.4214,2.34386,133.37596702575684,0.0,-0.0595697,200,14.954515933990479,1.76387,0.78242,0.820754130032,1234.68174037,2900.0,14.871683835983276,1331.0,-0.0199823
0.0581842,10.3178,2.33387,147.82789945602417,0.0,-0.00614481,200,14.444320917129517,0.311408,0.778614,0.817233127962,1255.96088713,2900.0,14.357389450073242,1171.5,0.00302614
0.0376204,10.3334,2.33538,162.44585013389587,0.0,-0.0134039,200,14.602547883987427,0.285424,0.77921,0.801131616232,1245.21644705,2900.0,14.531310319900513,1144.0,-0.0058073
0.0164517,10.3035,2.33248,177.5002875328064,0.0,-0.00624592,200,15.037903308868408,0.0660643,0.778227,0.808927875744,1253.11362214,3000.0,14.902883768081665,1387.5,-0.00245981
0.167743,10.2908,2.33125,192.18888139724731,0.0,-0.0428309,200,14.682842254638672,1.34455,0.777721,0.794072082189,1233.64297915,2900.0,14.587420463562012,1475.0,-0.00957661
0.14372,10.2417,2.32646,206.1224012374878,0.0,-0.0176682,200,13.931116580963135,1.40499,0.775996,0.797715844286,1171.02423118,2900.0,13.835026741027832,1623.5,0.00147311
0.310613,10.2492,2.3272,220.9086558818817,0.0,-0.0589734,200,14.782538414001465,2.90742,0.77624,0.902583703163,602.939466282,3000.0,14.715847969055176,2208.0,-0.0135443
0.115273,10.18,2.32043,236.03013110160828,1600.0,-0.054759,200,15.11489725112915,0.757951,0.774006,0.984743972503,234.153261775,3000.0,15.05966567993164,2533.5,-0.0390478
0.0183827,9.9832,2.3009,251.27911949157715,1500.0,-0.0256461,200,15.243615627288818,0.138767,0.766397,0.987543133844,217.126115426,3000.0,15.161176681518555,2577.5,-0.018473
0.186299,9.89142,2.29167,266.34612250328064,2000.0,-0.0523249,200,15.060898303985596,1.29833,0.762921,0.991412808995,164.346432879,3000.0,14.969546556472778,2615.5,-0.0286156
0.0754437,9.7509,2.27736,281.38114309310913,2100.0,-0.0362014,200,15.02977705001831,0.54315,0.757346,0.991929121911,154.135492344,3000.0,14.959964513778687,2631.5,-0.0240391
0.0408135,9.6344,2.26534,296.54000759124756,2200.0,-0.0184926,200,15.150939464569092,0.485824,0.752855,0.994326224268,130.267992999,3000.0,15.028597593307495,2644.5,-0.0123978
0.153309,9.57486,2.25914,318.998615026474,2200.0,-0.0279951,200,22.44753122329712,0.804297,0.750174,0.99325435499,132.324411958,2900.0,22.344072341918945,2659.5,-0.0123109
0.0341922,9.5161,2.25299,338.1015717983246,2200.0,-0.0204658,200,19.09659171104431,0.250554,0.747723,0.993889719323,131.742172443,3000.0,18.958097219467163,2662.0,-0.0155069
0.0288258,9.44261,2.24523,352.7256922721863,2200.0,-0.0122892,200,14.619467973709106,0.178372,0.744839,0.993649002748,128.339393796,3000.0,14.561904907226562,2673.0,-0.00742713
0.0510475,9.4076,2.24152,366.0166368484497,2100.0,-0.0312405,200,13.28209114074707,0.360799,0.743369,0.993888769069,144.290505578,3000.0,13.181690216064453,2669.5,-0.0233722
0.0281322,9.29831,2.22983,381.02326703071594,2300.0,-0.0142004,200,14.999497652053833,0.218334,0.739049,0.994062139793,129.116226711,3000.0,14.901752233505249,2677.0,-0.0111232
0.0457204,9.24673,2.22427,395.91135573387146,2000.0,-0.0133762,200,14.881856441497803,0.496929,0.736853,0.993872208208,130.727770577,3000.0,14.783359050750732,2660.5,-0.00425011
0.0402316,9.22711,2.22215,410.11277318000793,2300.0,-0.0283094,200,14.196746110916138,0.334489,0.736151,0.994648772926,121.83492931,2900.0,14.136756420135498,2682.5,-0.0217419
0.213577,9.12735,2.21128,425.36062359809875,2200.0,-0.0226203,200,15.243773221969604,1.47638,0.732268,0.994322393895,122.954259788,3000.0,15.157608985900879,2688.5,-0.00646769
0.186927,9.09788,2.20804,439.97109866142273,2300.0,-0.0272626,200,14.606289863586426,1.25546,0.731224,0.994493746485,118.621245989,3000.0,14.53920865058899,2673.0,-0.0106402
0.0947984,9.0496,2.20272,454.86166429519653,2400.0,-0.013443,200,14.884797811508179,0.56924,0.729345,0.994748912646,114.210332282,3000.0,14.79976487159729,2684.0,-0.00459769
0.0543028,9.02883,2.20042,469.4727895259857,2400.0,-0.00711682,200,14.605642318725586,0.371202,0.728365,0.995204659781,109.48858388,3000.0,14.517268419265747,2678.5,-0.000165366
0.0806431,9.02808,2.20034,484.2515742778778,2300.0,0.00287139,200,14.76574993133545,0.650012,0.728213,0.993517665417,130.490421104,3000.0,14.685044765472412,2666.5,0.0117982
0.142658,9.08149,2.20624,498.9568109512329,2200.0,-0.00953018,200,14.69806718826294,0.864925,0.730334,0.9955160452,113.595774569,3000.0,14.636829853057861,2686.0,0.00165905
0.0112803,9.08903,2.20707,513.3528099060059,2300.0,-0.019379,200,14.38726019859314,0.0631925,0.7307,0.99475000305,117.149477165,3000.0,14.217969179153442,2674.0,-0.0173162
0.0639206,9.01068,2.19841,528.3363342285156,2400.0,-0.00215789,200,14.977842569351196,0.455202,0.727709,0.995134133743,114.191724744,3000.0,14.926902770996094,2689.5,0.00472691
0.0550031,9.032,2.20077,542.9416010379791,2400.0,-0.0189564,200,14.601042985916138,0.707667,0.728591,0.994983455647,115.026083998,3000.0,14.527421712875366,2663.0,-0.0123879
0.125347,8.97623,2.19458,557.5508964061737,2300.0,-0.00924276,200,14.599745750427246,0.924935,0.726364,0.994254970815,125.058986083,2900.0,14.546360969543457,2685.5,0.00396863
0.0907935,8.99405,2.19656,572.4828143119812,2300.0,-0.0103646,200,14.928246259689331,0.416057,0.727167,0.994287174885,131.266903673,2900.0,14.827972173690796,2663.0,-0.00260501
0.132321,8.98235,2.19526,585.8606376647949,2400.0,-0.0151351,200,13.373231410980225,0.9545,0.72666,0.994784780801,109.452044293,3000.0,13.313188791275024,2670.5,0.00077657
0.0314054,8.98584,2.19565,599.9904561042786,2400.0,-0.00790584,200,14.125162363052368,0.298233,0.726801,0.995580353841,114.065770501,3000.0,14.042788743972778,2683.0,-0.00410997
0.26778,8.96739,2.19359,614.5565333366394,2400.0,-0.0185874,200,14.562115907669067,2.29358,0.726203,0.995174696094,113.47246362,2900.0,14.497373819351196,2682.0,0.00223308
0.0185469,8.97741,2.19471,628.8024959564209,2300.0,0.00639419,200,14.237367630004883,0.107368,0.726746,0.994279185076,118.991596342,2900.0,14.17479157447815,2679.0,0.00940609
0.164034,9.01972,2.19941,643.6431214809418,2400.0,0.00287727,200,14.836952209472656,0.759732,0.728195,0.994901230954,120.073935556,3000.0,14.768871784210205,2688.5,0.014873
0.0696178,9.08705,2.20685,659.1224014759064,2400.0,-0.0170011,200,15.47071385383606,0.829977,0.730956,0.995522136625,105.830052443,3000.0,15.402111291885376,2680.0,-0.00536146
0.119892,9.06273,2.20417,673.365017414093,2300.0,-0.00911072,200,14.235918760299683,0.819559,0.729819,0.994827130735,125.92060991,3000.0,14.169204711914062,2688.0,-0.000550884
0.0182852,9.06024,2.2039,688.2528421878815,2400.0,-0.0107969,200,14.872228145599365,0.172887,0.729683,0.995461606044,108.137643769,2900.0,14.78700065612793,2687.5,-0.00761883
0.0615331,9.02578,2.20008,702.666396856308,2300.0,-0.0130509,200,14.404882907867432,0.466024,0.728147,0.994656978523,122.947143114,3000.0,14.351313352584839,2678.0,-0.00514222
0.0110647,9.0026,2.19751,717.394547700882,2400.0,-4.65401e-05,200,14.721359729766846,0.137506,0.727459,0.99554088966,108.939203228,3000.0,14.560211420059204,2686.5,0.00201843
0.0431456,9.01169,2.19852,731.6733536720276,2200.0,-0.0247008,200,14.272094488143921,0.272516,0.728013,0.994141762374,124.409605738,3000.0,14.119342565536499,2683.5,-0.0201314
0.123751,8.92144,2.18846,746.7650003433228,2300.0,0.00521157,200,15.08298373222351,1.05202,0.724487,0.994936474058,112.870501018,3000.0,15.033368349075317,2685.5,0.0174561
