ExplainedVariance,Entropy,ItrTime,LossBefore,MeanKL,AveragePolicyStd,StdReturn,MinReturn,LossAfter,AverageReturn,MaxKL,NumTrajs,Time,TotalExecTime,MaxReturn,Perplexity
1,2.4367,4.665148973464966,-0.0,0.0,0.82843,0.0,0.0,-0.0,0.0,0.0,40,4.665142774581909,4.61222767829895,0.0,11.4353
0.627235888666,2.4367,4.705369234085083,0.0207488,0.013066,0.82843,171.737444956,0.0,0.00471858,27.5,0.225392,40,9.374704122543335,4.652865648269653,1100.0,11.4353
0.62873537672,2.44708,4.034646987915039,-0.00766131,0.0599197,0.832178,687.368169179,0.0,-0.0389835,195.0,0.607456,40,13.413804769515991,4.0041258335113525,2900.0,11.5545
0.636231321475,2.44325,3.529832363128662,-0.028564,0.38007,0.830678,2243.76357935,0.0,-0.142678,2205.0,2.26985,40,16.947635412216187,3.4740066528320312,6300.0,11.5104
0.812103840986,2.42896,3.8017995357513428,-0.00632913,1.44021,0.825203,962.483766097,3700.0,-0.18496,5525.0,2.0967,40,20.753429412841797,3.7614638805389404,7600.0,11.3471
0.0471314801177,2.4258,3.6020216941833496,0.0164344,0.241025,0.823521,128.233186032,0.0,-0.0184893,42.5,0.43175,40,24.364747285842896,3.573843240737915,700.0,11.3113
0.629375611368,2.43402,4.159719228744507,-0.004824,2.53001,0.826196,966.433520735,1900.0,-0.319885,3572.5,3.93646,40,28.530109643936157,4.123558282852173,6200.0,11.4046
