AverageReturn,MinReturn,MeanKL,Time,NumTrajs,Perplexity,MaxKL,MaxReturn,LossBefore,TotalExecTime,ItrTime,AveragePolicyStd,ExplainedVariance,Entropy,LossAfter,StdReturn
2378.0,1000.0,0.0312533,1006.8732061386108,200,14.4415,0.977607,3000.0,-0.0359331,33.637067556381226,33.928943395614624,0.919537,0.941815581514,2.67011,-0.0501791,346.0
2441.0,1300.0,0.0332366,1039.170855998993,200,14.1843,0.903143,2900.0,-0.0469369,32.05775213241577,32.281779766082764,0.911313,0.96219124366,2.65214,-0.0610002,281.280998292
2495.5,1200.0,0.0300719,1074.2447438240051,200,13.8553,0.194325,2900.0,-0.0472627,34.72465705871582,35.05754280090332,0.900685,0.971576368457,2.62867,-0.062552,259.094094877
2562.0,1800.0,0.00827608,1108.1961379051208,200,13.5318,0.0792231,2900.0,-0.0193435,33.64205265045166,33.93625020980835,0.890104,0.985549984864,2.60504,-0.0245322,193.277003288
2586.0,1900.0,0.0388871,1140.7108204364777,200,13.4015,1.32061,2900.0,-0.0336861,32.20094275474548,32.48994755744934,0.885808,0.988283270007,2.59537,-0.0462149,176.079527487
2589.5,2200.0,0.0717946,1174.8309123516083,200,13.1777,0.899343,2900.0,-0.0434188,33.91381239891052,34.11608624458313,0.878383,0.990024471672,2.57852,-0.0627187,163.522934171
2629.0,2200.0,0.0153773,1207.6067168712616,200,12.8947,0.296185,2900.0,-0.0349486,32.540711641311646,32.75770449638367,0.868917,0.992196703933,2.55681,-0.0421936,136.231420752
2632.5,2200.0,0.0203108,1239.2255594730377,200,12.6713,0.208596,2900.0,-0.0183779,31.331878900527954,31.591537952423096,0.861353,0.993179724668,2.53934,-0.0250411,127.646974112
2636.5,2100.0,0.0482195,1272.704924583435,200,12.5554,3.40028,3100.0,-0.0182221,33.257002115249634,33.46510434150696,0.857395,0.992597312979,2.53015,-0.0314046,141.837054397
2657.5,2200.0,0.0115786,1307.023508310318,200,12.4415,0.126945,2900.0,-0.0192374,33.98877477645874,34.30944848060608,0.853516,0.992497160313,2.52104,-0.0247914,129.783473524
2651.0,2300.0,0.0487268,1340.1362087726593,200,12.3224,1.14248,3000.0,-0.0339551,32.79356789588928,33.09966516494751,0.849401,0.992947294574,2.51142,-0.0458138,129.610956327
2672.0,2300.0,0.0100252,1373.7300777435303,200,12.115,0.110954,2900.0,-0.0260205,33.288060665130615,33.58785319328308,0.842226,0.993237116811,2.49444,-0.0327425,128.514590611
2680.5,2200.0,0.0188159,1408.7634739875793,200,11.9584,0.212207,3000.0,-0.00269397,34.70678997039795,35.018757581710815,0.836777,0.994493423909,2.48143,-0.00817434,123.570829891
2667.0,2300.0,0.00376764,1441.6229197978973,200,11.9423,0.0581665,3100.0,-0.0177451,32.54852294921875,32.85544466972351,0.836196,0.994551836821,2.48009,-0.0207781,116.666190475
2663.5,2300.0,2.03533,1475.191294670105,200,11.8368,231.679,3000.0,-0.0146734,33.273985624313354,33.556509494781494,0.832508,0.994165633811,2.47121,-0.0325289,118.818138346
2666.5,2300.0,0.0108823,1508.135619878769,200,11.7503,0.202863,2900.0,0.00457557,32.66920566558838,32.932453632354736,0.829447,0.994163832184,2.46388,-0.000636965,126.600750393
2660.0,2300.0,0.0180034,1539.263260126114,200,11.7772,0.402427,2900.0,-0.0199675,30.7920982837677,31.110143899917603,0.830393,0.994660003176,2.46617,-0.0253391,117.046999107
2669.0,2300.0,0.0195299,1572.1818315982819,200,11.6602,0.327006,2900.0,-0.00763907,32.60370969772339,32.9042603969574,0.826259,0.993584875675,2.45618,-0.0121811,125.055987462
2676.0,2400.0,0.058585,1600.7121319770813,200,11.6158,0.480763,3000.0,-0.00869113,28.2124605178833,28.52194333076477,0.824687,0.994391866618,2.45236,-0.0215998,115.429632244
2669.5,2200.0,0.0821562,1630.069162607193,200,11.5654,5.43738,3000.0,0.000520271,29.083539247512817,29.33869457244873,0.822904,0.995015061563,2.44802,-0.012076,116.274459792
2661.5,2300.0,0.0195448,1660.0990552902222,200,11.5684,0.93887,3000.0,-0.00828822,29.7863028049469,30.02233648300171,0.823023,0.994800321153,2.44828,-0.0178488,111.659079344
