0EnvExecTime,0NumTrajs,1ProcessExecTime,0ExplainedVariance,1EnvExecTime,1Perplexity,0AveragePolicyStd,0PolicyExecTime,0MaxReturn,0Entropy,1MinReturn,ItrTime,MeanKLBefore,dLoss,ComputeUpdatedDistTime,1StdReturn,1ExplainedVariance,0MinReturn,1PolicyExecTime,LossAfter,1MaxReturn,Time,1AveragePolicyStd,LossBefore,0ProcessExecTime,0Perplexity,1AverageReturn,MeanKL,1NumTrajs,1Entropy,0AverageReturn,0StdReturn
158.57618141174316,2000,6.556541681289673,0.0495300497358,157.26033520698547,17.0899,1.0,225.64413928985596,12900.0,2.83788,0.0,912.6608369350433,-2.47018916433e-09,0.00262927968288,1.207916259765625,795.299132402,0.068746667315,0.0,331.34284353256226,-0.00262928125449,13500.0,912.6608345508575,1.00031,-1.57160684466e-09,6.868308067321777,17.0794,107.7,0.00743521004915,2000,2.83849,65.7,611.999599673
156.97793221473694,2000,6.558309078216553,0.0716502401228,156.2826223373413,16.9937,0.997232,217.06564283370972,13900.0,2.83231,0.0,897.0154829025269,4.01632682667e-09,0.00131773552857,0.2598745822906494,1276.40863363,0.07596125768,0.0,328.72478675842285,-0.00131773552857,14500.0,1814.5685834884644,0.997504,0.0,6.7648537158966064,16.9846,199.0,0.00594914378598,2000,2.83284,201.65,1260.78240688
157.21615743637085,2000,6.830871343612671,0.0807545610832,159.05434799194336,16.8155,0.992647,215.53539657592773,13300.0,2.82309,0.0,901.834879398346,1.16415066476e-09,0.00286885978858,0.26605868339538574,1518.38845409,0.104768631312,0.0,332.05928683280945,-0.00286886002868,15600.0,2721.154027700424,0.992261,-2.40106601268e-10,6.835251569747925,16.8288,347.45,0.0079153617844,2000,2.8223,268.7,1353.48820091
157.3337230682373,2000,6.852127552032471,0.111820890668,159.09669423103333,16.815,0.992998,213.39569568634033,19400.0,2.82378,0.0,892.5438184738159,5.20232801282e-10,0.00157785500051,0.26586031913757324,2871.62336667,0.112145543332,0.0,324.27325797080994,-0.00157785590272,18500.0,3618.6197016239166,0.992247,-9.02218744159e-10,6.922206878662109,16.8403,861.8,0.00719520542771,2000,2.82227,762.15,2717.27664722
157.36092448234558,2000,6.94830584526062,0.0950989412623,159.72935938835144,16.7193,0.990076,224.65099692344666,18400.0,2.81792,0.0,904.0276889801025,-3.60887586481e-09,0.00124730446259,0.25034284591674805,4271.01854802,0.131820697348,0.0,323.938045501709,-0.00124730495736,21200.0,4527.70832157135,0.989408,-4.94765117764e-10,6.973615407943726,16.742,1833.25,0.00672271521762,2000,2.81656,1295.9,3516.46032112
156.82641434669495,2000,7.048384189605713,0.0860607243656,160.7672679424286,16.5721,0.985311,222.5458164215088,20400.0,2.80817,0.0,906.1549446582794,-1.53085952803e-08,0.0017266983632,0.25359010696411133,5415.61260708,0.139338013285,0.0,327.55687403678894,-0.00172670045868,22100.0,5439.360263586044,0.985099,-2.09547579288e-09,7.0054614543914795,16.5795,2774.7,0.00922953989357,2000,2.80772,1868.4,4297.63323703
158.24552941322327,2000,7.077889680862427,0.0734309431143,160.6027421951294,16.1423,0.974145,227.9925720691681,21200.0,2.7854,0.0,912.5230188369751,-9.3132568324e-10,0.00177616508154,0.24873661994934082,6243.85334529,0.154417378982,0.0,326.7821798324585,-0.00177616463043,21400.0,6357.166949510574,0.972215,4.51109372079e-10,7.169123888015747,16.2063,3655.95,0.0064396513626,2000,2.78144,2047.95,4490.7244179
161.961834192276,2000,7.2542688846588135,0.0736069517791,164.15627765655518,15.9308,0.967185,243.0865387916565,21500.0,2.77095,0.0,949.1312654018402,-1.86264237367e-09,0.00214181213232,0.2827479839324951,7221.9758266,0.163479650055,0.0,340.2378978729248,-0.00214181398042,21800.0,7311.927660226822,0.965888,-1.848093234e-09,7.440261125564575,15.9738,4625.4,0.007857369259,2000,2.76825,2507.05,5126.90016457
160.41050839424133,2000,7.189373254776001,0.0539435128915,162.62102961540222,15.5532,0.956031,236.31711339950562,21400.0,2.74774,0.0,934.8557786941528,1.21430643318e-15,0.00205260541406,0.2484574317932129,8361.63427193,0.210595065936,0.0,336.0068621635437,-0.00205260561779,22300.0,8252.218468666077,0.954376,-2.03726813197e-10,7.338816165924072,15.6073,5616.95,0.00738708395511,2000,2.74426,2572.2,5270.20655762
169.81668782234192,2000,6.875636339187622,0.0625963062572,157.4369969367981,15.39,0.950187,257.45823550224304,22000.0,2.73534,0.0,929.8557832241058,1.39698199675e-08,0.0021883892914,0.26347970962524414,8882.69511114,0.272343186823,0.0,305.9600772857666,-0.00218838872388,23000.0,9187.347373962402,0.949427,5.67524693906e-10,7.804230213165283,15.4149,6672.75,0.00742931477726,2000,2.73372,2629.3,5242.20864808
154.05025267601013,2000,6.28788948059082,0.0512895621316,153.40446662902832,14.8871,0.935745,206.7063114643097,21400.0,2.70463,0.0,845.7543618679047,-3.46944695195e-17,0.00183952652151,0.2721221446990967,9411.97553333,0.288396596642,0.0,294.83136677742004,-0.00183952576481,23300.0,10037.991597890854,0.933811,7.56699591875e-10,6.68004035949707,14.9489,7178.4,0.00666585098952,2000,2.7005,2553.15,5097.32773887
150.79172229766846,2000,6.237383604049683,0.0558536211815,152.58924770355225,14.8683,0.935426,202.41638445854187,21600.0,2.70396,0.0,830.6494925022125,1.86262893997e-09,0.00281063112925,0.2510690689086914,9567.29466346,0.328283836733,0.0,288.75865936279297,-0.00281063048169,23300.0,10873.557946681976,0.93323,6.47560227662e-10,6.395247220993042,14.9388,7818.65,0.00976368039846,2000,2.69923,2238.6,4625.67184742
