ItrTime,dLoss,1NumTrajs,0MinReturn,0Entropy,1PolicyExecTime,0ProcessExecTime,1EnvExecTime,0MaxReturn,0Perplexity,0AveragePolicyStd,LossAfter,0EnvExecTime,0AverageReturn,1AverageReturn,LossBefore,MeanKLBefore,0ExplainedVariance,1ProcessExecTime,1AveragePolicyStd,1ExplainedVariance,1MaxReturn,1Perplexity,0StdReturn,MeanKL,Time,0PolicyExecTime,1StdReturn,1MinReturn,ComputeUpdatedDistTime,0NumTrajs,1Entropy
57.36072778701782,0.00567423040047,800,0.0,2.83788,18.6563503742218,0.494753360748291,10.872835159301758,1700.0,17.0795,1.0,-0.00567422993481,11.311665058135986,14.75,27.25,4.65661287308e-10,2.2700996638e-09,0.0542481558899,0.4641103744506836,0.996612,0.168965666533,2300.0,16.9636,117.611383378,0.00768465176225,57.36072087287903,11.527135848999023,167.279519069,0.0,0.7992966175079346,800,2.83107
54.2810742855072,0.00446004141122,800,0.0,2.83703,17.234609842300415,0.5125463008880615,10.590632915496826,1000.0,17.0651,0.999579,-0.00446004094556,11.501134395599365,7.75,41.875,4.65661287308e-10,5.8207300091e-11,0.0582147917257,0.4574611186981201,0.999735,0.131456750535,1900.0,17.0683,66.0676736385,0.00755636952817,112.9281394481659,11.682788848876953,209.425367076,0.0,0.07611203193664551,800,2.83723
62.25510120391846,0.00716747046681,800,0.0,2.83338,20.896411418914795,0.5254220962524414,12.65765905380249,1300.0,17.0029,0.997767,-0.00716746971011,11.730785131454468,19.625,146.625,7.56699591875e-10,2.56113708019e-09,0.05687688093,0.5256495475769043,0.995123,0.279778159716,2500.0,16.9118,120.840222505,0.00886497739702,176.401451587677,13.464663743972778,442.367052768,0.0,0.10987281799316406,800,2.82801
67.23940443992615,0.00677190674469,800,0.0,2.82012,22.89457654953003,0.5998117923736572,13.536418199539185,1600.0,16.7789,0.991226,-0.006771909073,13.382768154144287,26.75,178.125,-2.32830643654e-09,1.16415072027e-10,0.0615912917173,0.5787522792816162,0.993669,0.289460889345,2800.0,16.859,164.801206003,0.00766655243933,244.9191038608551,13.791378498077393,508.708152456,0.0,0.07309937477111816,800,2.82488
61.541401624679565,0.00720300339162,800,0.0,2.81337,19.201659440994263,0.585350513458252,11.687174558639526,2000.0,16.666,0.987976,-0.00720300339162,13.465664386749268,41.0,245.125,0.0,5.82077608335e-10,0.0711243692621,0.5006990432739258,0.987381,0.308710136522,2500.0,16.6442,191.230227736,0.00814779754728,307.8026211261749,13.733684539794922,581.851556993,0.0,0.07643532752990723,800,2.81206
62.13757872581482,0.0082540648873,800,0.0,2.77296,21.114708423614502,0.534125804901123,13.002599954605103,1700.0,16.006,0.968427,-0.00825406517833,11.548288345336914,41.875,333.25,-2.91038304567e-10,1.51348995558e-08,0.0552961045966,0.5507733821868896,0.972692,0.351420367651,2700.0,16.1461,199.584529398,0.00747425295413,371.395605802536,12.872939586639404,669.099721641,0.0,0.0733482837677002,800,2.78168
74.78883695602417,0.00741434766678,800,0.0,2.75253,27.492119073867798,0.5511837005615234,18.139119386672974,1500.0,15.6823,0.95841,-0.0074143493548,12.33735704421997,49.0,313.125,-1.68802216649e-09,-1.39698403956e-08,0.0626277880712,0.7748029232025146,0.957988,0.331385242751,2700.0,15.6651,209.34182573,0.00873102527112,447.50406408309937,12.936845064163208,639.99237056,0.0,0.07203435897827148,800,2.75144
71.76514744758606,0.00653558259364,800,0.0,2.73277,27.381763458251953,0.4714512825012207,17.988969802856445,1600.0,15.3754,0.948901,-0.0065355822444,10.695017576217651,56.125,446.25,3.49245965481e-10,9.31322574615e-10,0.0649415165377,0.7739310264587402,0.947315,0.405322579033,2800.0,15.3225,228.06245718,0.00632886588573,520.4611134529114,11.902218103408813,757.172990472,0.0,0.07296204566955566,800,2.72933
75.7463150024414,0.00798390974523,800,0.0,2.71343,27.936253786087036,0.5408895015716553,18.43891143798828,2300.0,15.0809,0.939757,-0.00798390526325,12.235297441482544,61.375,425.0,4.48198989034e-09,-9.31322519104e-10,0.077737127818,0.7791740894317627,0.942276,0.369827219852,2700.0,15.1617,264.188586761,0.00790023617446,597.6261825561523,13.268720149993896,736.512050139,0.0,0.07463932037353516,800,2.71878
75.1597375869751,0.00517197721638,800,0.0,2.70858,27.828944206237793,0.5213019847869873,18.414258241653442,1700.0,15.0079,0.93751,-0.00517197605222,11.970232963562012,66.125,394.75,1.16415321827e-09,9.31321908482e-10,0.063662351357,0.7758193016052246,0.937666,0.3584451723,2800.0,15.0118,254.735125915,0.00804806314409,674.070410490036,13.016250371932983,721.957365431,0.0,0.07441878318786621,800,2.70884
