MaxKL,ItrTime,MaxReturn,MeanKL,NumTrajs,AveragePolicyStd,ExplainedVariance,LossBefore,Time,MinReturn,Perplexity,LossAfter,Entropy,AverageReturn,StdReturn
0.0,16.952371835708618,0.0,0.0,200,1.00135,1,-0.0,674.7279210090637,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,17.29891562461853,0.0,0.0,200,1.00135,1,-0.0,692.2824285030365,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,16.293687105178833,0.0,0.0,200,1.00135,1,-0.0,708.7917742729187,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,16.331392526626587,0.0,0.0,200,1.00135,1,-0.0,725.3168213367462,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,16.73310947418213,0.0,0.0,200,1.00135,1,-0.0,742.2396113872528,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,16.415984392166138,0.0,0.0,200,1.00135,1,-0.0,758.8794295787811,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,16.70281481742859,0.0,0.0,200,1.00135,1,-0.0,775.7674345970154,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,16.293270349502563,0.0,0.0,200,1.00135,1,-0.0,792.2841787338257,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,17.1539044380188,0.0,0.0,200,1.00135,1,-0.0,809.7422313690186,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,16.62383198738098,0.0,0.0,200,1.00135,1,-0.0,826.5516526699066,0.0,17.1255,-0.0,2.84057,0.0,0.0
0.0,16.23809552192688,0.0,0.0,200,1.00135,1,-0.0,842.9968407154083,0.0,17.1255,-0.0,2.84057,0.0,0.0
