NumTrajs,AverageReturn,TotalExecTime,ExplainedVariance,LossAfter,ItrTime,StdReturn,AveragePolicyStd,MaxReturn,MinReturn,MaxKL,MeanKL,Entropy,Time,LossBefore,Perplexity
200,1187.5,15.707602500915527,0.798582472733,-0.0120588,15.764983654022217,1082.07843986,0.948754,2800.0,0.0,0.0160355,0.00244759,2.73262,490.1319491863251,-0.00899442,15.3731
200,1230.0,16.017421007156372,0.779604731066,-0.0080559,16.11025381088257,1036.77384226,0.946642,2900.0,0.0,0.072835,0.00872726,2.72812,506.24775314331055,0.00112546,15.3041
200,1364.5,16.21354103088379,0.797463287341,-0.013283,16.296828746795654,908.564664732,0.946885,2800.0,0.0,0.0476548,0.00745807,2.72868,522.5474214553833,-0.0052771,15.3127
200,1629.5,15.613800287246704,0.815539137107,-0.0547795,15.70592713356018,880.726830521,0.945647,2900.0,0.0,0.0520328,0.0112338,2.72604,538.261949300766,-0.0437863,15.2723
200,1762.0,16.253231287002563,0.826948020516,-0.0487088,16.341513633728027,709.828148216,0.935352,2900.0,0.0,0.0633712,0.0124374,2.70415,554.6072347164154,-0.0365907,14.9416
200,1981.5,17.32496666908264,0.882248473355,-0.0336709,17.41083788871765,602.335247184,0.926823,2800.0,0.0,0.0242246,0.00627474,2.68586,572.0225121974945,-0.0268442,14.6708
200,2006.0,15.858574151992798,0.876042944286,-0.0495369,15.94807505607605,616.493308966,0.920635,2900.0,0.0,0.0663228,0.0121379,2.67243,587.9758214950562,-0.0394228,14.4751
200,2122.0,16.13674759864807,0.915787307854,-0.0521403,16.212655782699585,490.933804092,0.911635,2900.0,700.0,0.118058,0.0223759,2.65272,604.1978392601013,-0.0373781,14.1926
200,2235.0,16.381059885025024,0.934580444131,-0.0327918,16.457940816879272,431.595875791,0.903191,2900.0,800.0,0.0326058,0.00755633,2.63403,620.6607937812805,-0.0255825,13.9298
200,2334.0,16.33788824081421,0.944470988217,-0.0546816,16.46909809112549,366.938686976,0.897533,2900.0,700.0,0.0657144,0.0137384,2.62124,637.148157119751,-0.0433422,13.7528
200,2358.5,16.39439558982849,0.963339971497,-0.0468236,16.45537281036377,302.700759827,0.887853,2800.0,1300.0,0.0537873,0.0114902,2.59957,653.6073174476624,-0.0389974,13.458
200,2423.5,15.761911153793335,0.970792116326,-0.055168,15.82026743888855,289.823653279,0.879169,2900.0,1300.0,0.0500189,0.0122538,2.58007,669.4315464496613,-0.046508,13.1981
200,2443.0,16.08803915977478,0.973532274394,-0.0368084,16.17490005493164,266.553934505,0.869088,2900.0,1400.0,0.0608498,0.0106632,2.55682,685.6178019046783,-0.029941,12.8947
200,2468.5,15.712381601333618,0.972877134803,-0.0367958,15.796649694442749,261.453150679,0.862621,2900.0,1000.0,0.0552262,0.0155292,2.54185,701.4204399585724,-0.0281139,12.7031
200,2515.0,15.888750314712524,0.982950844312,-0.0356584,15.983996868133545,220.170388563,0.856649,2900.0,1600.0,0.0920477,0.0163966,2.52779,717.4110915660858,-0.0268795,12.5258
200,2551.0,15.971142530441284,0.985518131928,-0.0450363,16.069250345230103,216.561769479,0.850868,2900.0,1800.0,0.178399,0.0290219,2.51435,733.4841685295105,-0.0329434,12.3586
200,2566.5,15.850497961044312,0.98814851625,-0.0261177,15.923251390457153,182.010301906,0.844044,2900.0,1700.0,0.0392136,0.00835588,2.49788,749.4107036590576,-0.022236,12.1567
200,2598.0,15.831998586654663,0.990311300735,-0.0485029,15.948964834213257,168.214149227,0.839424,2900.0,2000.0,0.173316,0.0341037,2.48676,765.3800110816956,-0.0357243,12.0223
200,2604.5,16.523805856704712,0.991505996971,-0.0252628,16.613255262374878,149.431422398,0.831995,2900.0,2000.0,0.0607632,0.011557,2.4689,781.9958138465881,-0.019759,11.8094
200,2597.5,17.93124032020569,0.991137374552,-0.0385625,18.02401041984558,157.619002661,0.827866,3000.0,1900.0,0.0745416,0.0098998,2.45902,800.0265417098999,-0.0333478,11.6933
200,2602.0,18.3527090549469,0.991130550693,-0.0366855,18.455106496810913,157.784663387,0.820926,2900.0,2200.0,0.0210824,0.00330485,2.44235,818.4849526882172,-0.0333918,11.5
