2MaxReturn,2PolicyExecTime,2MinReturn,2Entropy,1PolicyExecTime,1Entropy,0Perplexity,dLoss,ComputeUpdatedDistTime,1MinReturn,0ProcessExecTime,LossBefore,2EnvExecTime,0StdReturn,1MaxReturn,1EnvExecTime,0ExplainedVariance,Time,2Perplexity,1AveragePolicyStd,1StdReturn,2ProcessExecTime,1AverageReturn,1ProcessExecTime,1NumTrajs,LossAfter,0MaxReturn,0AverageReturn,2ExplainedVariance,2AverageReturn,MeanKLBefore,2NumTrajs,2AveragePolicyStd,0PolicyExecTime,0EnvExecTime,0MinReturn,1Perplexity,0NumTrajs,0AveragePolicyStd,1ExplainedVariance,ItrTime,MeanKL,2StdReturn,0Entropy
2700.0,42.87114238739014,0.0,2.83559,45.5583074092865,2.83771,17.0795,-1.86264514923e-09,0.43988704681396484,0.0,1.177551031112671,-0.0069806096144,32.83517551422119,433.620185005,2800.0,34.185070753097534,0.0871396363491,232.6338551044464,17.0405,0.999922,611.759344917,1.1011123657226562,257.9375,1.1503043174743652,1600,-0.00698060775176,2600.0,137.8125,0.172211271571,236.8125,0.051352199167,1600,0.998865,28.525906324386597,34.58441424369812,0.0,17.0767,1600,1.0,0.153529705415,232.63385701179504,0.0513522028923,564.403304246,2.83788
2800.0,29.619410514831543,0.0,2.85578,30.693044424057007,2.83772,17.0795,9.31322574615e-10,0.09664797782897949,0.0,0.8498594760894775,-0.00205827830359,22.78815245628357,432.534319448,2800.0,22.442095041275024,0.113010754556,393.6721520423889,17.3881,0.999935,617.192117071,0.7890043258666992,253.375,0.7769794464111328,1600,-0.00205827923492,2500.0,136.25,0.265270636481,242.625,4.98082304001,1600,1.00922,19.367988348007202,23.83957004547119,0.0,17.0768,1600,1.0,0.147767619418,158.7251100540161,4.98082304001,591.213252029,2.83788
2700.0,31.515873432159424,0.0,2.83603,33.37965774536133,2.83228,17.0795,3.0267983675e-09,0.08810210227966309,0.0,0.8523285388946533,-0.00234513939358,23.433603525161743,411.673219731,2900.0,23.166760206222534,0.0889673114538,562.13179063797,17.048,0.997211,601.899464067,0.8272745609283447,241.8125,0.8127255439758301,1600,-0.00234514242038,2800.0,126.8125,0.124880908677,228.625,0.242411613464,1600,0.999092,20.888304471969604,23.346548080444336,0.0,16.9841,1600,1.0,0.160246531393,165.73556208610535,0.242411613464,567.290145671,2.83788
2700.0,31.349955558776855,0.0,2.83061,33.047059059143066,2.83533,17.0795,0.0,0.11204218864440918,0.0,0.862856388092041,-0.00420393701643,23.469680309295654,431.718834826,2800.0,23.112977743148804,0.091078623592,730.504903793335,16.9558,0.998746,618.980383246,0.8152883052825928,271.8125,0.802210807800293,1600,-0.00420393701643,2600.0,140.3125,0.139329244853,236.0625,0.913209497929,1600,0.996434,20.984471559524536,23.352142810821533,0.0,17.0361,1600,1.0,0.16268811605,165.37757802009583,0.913209438324,595.487821953,2.83788
2600.0,31.137337923049927,0.0,2.8319,33.11173915863037,2.83334,17.0795,0.0,0.10476565361022949,0.0,0.854395866394043,-0.0112996613607,23.416994333267212,433.769411489,2800.0,23.117605447769165,0.115346439707,898.3628668785095,16.9777,0.997737,695.886024702,0.8253574371337891,328.375,0.8020458221435547,1600,-0.0112996613607,2800.0,141.6875,0.111023817522,136.5625,0.349356919527,1600,0.99706,20.899837493896484,23.341044187545776,0.0,17.0021,1600,1.0,0.219667365976,165.08481860160828,0.349356949329,427.091247386,2.83788
2500.0,34.579291105270386,0.0,2.82676,36.53568959236145,2.82885,17.0795,0.0,0.11216211318969727,0.0,0.8887228965759277,-0.00749494042248,24.893344163894653,455.581205028,2900.0,24.701191425323486,0.126702536952,1077.9439041614532,16.8907,0.995506,686.013822633,0.8890435695648193,310.1875,0.8666651248931885,1600,-0.00749494042248,2900.0,147.125,0.110533418335,156.6875,0.203117057681,1600,0.994501,21.799171209335327,23.8917396068573,0.0,16.926,1600,1.0,0.19074932919,176.94976353645325,0.203117057681,451.959928914,2.83788
2800.0,34.18572974205017,0.0,2.83944,35.58129167556763,2.8327,17.0795,1.86264514923e-09,0.10522747039794922,0.0,0.8915600776672363,-0.00540176592767,24.38786768913269,468.076912584,2900.0,24.076472997665405,0.12279702993,1255.6582171916962,17.1063,0.997439,627.418168843,0.8536245822906494,260.4375,0.8438177108764648,1600,-0.00540176779032,2800.0,154.0625,0.209907790842,300.9375,0.036154191941,1600,1.00084,22.349169731140137,24.08399224281311,0.0,16.9913,1600,1.0,0.155974743755,174.97110557556152,0.0361541844904,662.395554857,2.83788
2600.0,37.87868046760559,0.0,2.83999,39.1944534778595,2.83153,17.0795,4.19095158577e-09,0.10773420333862305,0.0,0.9227323532104492,-0.00451121479273,25.86783456802368,456.638105479,2800.0,25.00118327140808,0.126175532819,1446.1068665981293,17.1156,0.99684,586.569339331,0.918175458908081,228.8125,0.8733124732971191,1600,-0.00451121898368,2700.0,155.625,0.178813317407,238.1875,0.0263984315097,1600,1.00109,24.147244930267334,24.856202840805054,0.0,16.9715,1600,1.0,0.138321340916,187.77374863624573,0.026398435235,580.25680939,2.83788
2900.0,40.19819736480713,0.0,2.83561,42.54176878929138,2.83437,17.0795,4.65661287308e-10,0.10162067413330078,0.0,0.9926872253417969,-0.00400307588279,26.410497903823853,416.244819788,2800.0,26.049641847610474,0.0900182281444,1651.1281871795654,17.0409,0.998257,609.994079761,0.9408140182495117,256.6875,0.9192798137664795,1600,-0.00400307634845,2600.0,134.5,0.239693645619,272.625,0.0618414022028,1600,0.998909,28.66042685508728,26.375370502471924,0.0,17.0196,1600,1.0,0.1642413418,201.28517150878906,0.0618414022028,641.716923086,2.83788
2900.0,44.564186573028564,0.0,2.84755,45.767568588256836,2.83175,17.0795,9.31322574615e-10,0.11276936531066895,0.0,0.9904162883758545,-0.00788201857358,27.847237825393677,425.65104087,2900.0,27.010047912597656,0.10445462865,1866.1660437583923,17.2455,0.996966,683.883302248,0.9942672252655029,311.0625,0.9629096984863281,1600,-0.0078820195049,2500.0,138.4375,0.272469437676,337.875,0.321437627077,1600,1.00491,28.787815809249878,26.479403495788574,0.0,16.9751,1600,1.0,0.198421907809,212.21531438827515,0.321437627077,717.506435076,2.83788
