Entropy,MinReturn,LossBefore,ExplainedVariance,MaxKL,Time,MeanKL,Perplexity,StdReturn,TotalExecTime,NumTrajs,LossAfter,AverageReturn,ItrTime,MaxReturn,AveragePolicyStd
2.64941,10500.0,0.00199448,0.704446998393,1.50184,10.02439284324646,0.635343,14.1457,2854.09793105,9.919255495071411,20,-0.0890291,15825.0,10.024400234222412,20400.0,0.917354
2.65141,8100.0,-0.022675,0.627163921829,0.623044,20.282381057739258,0.221963,14.174,2916.83047159,10.159773111343384,20,-0.0776837,12910.0,10.251131772994995,17900.0,0.918092
2.64007,19100.0,-0.0127688,0.98449457438,0.077466,30.24744176864624,0.00628007,14.0142,617.150710929,9.915311336517334,20,-0.0182787,20675.0,9.959698915481567,21400.0,0.913325
2.63369,19700.0,-0.00988329,0.988738352119,0.0648942,40.50040578842163,0.00427061,13.925,411.582312545,10.195395469665527,20,-0.0129555,20840.0,10.24119782447815,21700.0,0.910236
2.62875,19700.0,-0.00606917,0.987559130242,0.162433,50.852768421173096,0.034143,13.8564,499.49974975,10.308607816696167,20,-0.01666,20950.0,10.34475564956665,21800.0,0.908411
2.62571,21000.0,-0.0137875,0.992002964991,0.0931096,60.88578510284424,0.00466844,13.8144,233.238075794,9.928481817245483,20,-0.0178935,21440.0,10.027428388595581,22000.0,0.90678
2.61882,20000.0,-0.000234295,0.98832172963,0.529668,71.05271530151367,0.0477132,13.7195,429.651021179,10.10873556137085,20,-0.0138192,21080.0,10.16352367401123,21700.0,0.904232
