ItrTime,ExplainedVariance,MeanKL,MinReturn,NumTrajs,StdReturn,Time,MaxReturn,Entropy,AverageReturn,TotalExecTime,LossAfter,Perplexity,LossBefore,MaxKL,AveragePolicyStd
37.63675045967102,0.993806496274,0.0713594,2300.0,200,123.66790206,1131.044448375702,3000.0,2.50403,2667.5,37.259034872055054,-0.0183564,12.2317,-0.00945268,1.1871,0.846264
36.590855836868286,0.993510350268,0.0503089,2100.0,200,126.791166885,1167.6523010730743,2900.0,2.4993,2668.0,36.251495361328125,-0.0266409,12.174,-0.0182703,1.73218,0.844273
37.22165870666504,0.994113371574,0.0206985,2300.0,200,124.398553046,1204.8932101726532,3000.0,2.49017,2675.0,36.984593629837036,-0.0194193,12.0633,-0.0135049,0.143268,0.840439
37.60468363761902,0.99500136271,0.0423287,2300.0,200,117.473401245,1242.514496088028,3000.0,2.48341,2680.0,37.37865424156189,-0.0180574,11.9821,-0.010709,1.15403,0.837603
35.89604139328003,0.994035845355,0.00302177,2300.0,200,116.059252109,1278.4415242671967,3000.0,2.47806,2680.5,35.49734926223755,0.0073575,11.9181,0.0098683,0.090629,0.835366
36.49140739440918,0.994908571662,0.0112019,2300.0,200,109.97158724,1314.9498863220215,2900.0,2.48299,2672.5,36.11188077926636,-0.0270215,11.9771,-0.022399,0.172458,0.837442
34.377923011779785,0.994356182072,0.00699461,2200.0,200,124.818868766,1349.3391149044037,2900.0,2.47179,2670.5,34.08396291732788,-0.0126484,11.8437,-0.00829477,0.227113,0.832768
36.80410146713257,0.995463421321,0.0145612,2400.0,200,111.874930168,1386.1685972213745,2900.0,2.46765,2672.0,36.452916860580444,-0.0108824,11.7947,-0.00586433,0.401988,0.831065
35.06068444252014,0.9944696637,0.059631,2300.0,200,122.105487182,1421.2505493164062,2900.0,2.46471,2659.5,34.70134925842285,-0.0137472,11.7601,-0.00254626,0.72971,0.829848
34.09798884391785,0.994717246275,0.0726754,2300.0,200,122.474487139,1455.363727092743,3000.0,2.46344,2670.0,33.84042716026306,-0.0157343,11.7452,-0.00223534,3.57897,0.829334
36.48327946662903,0.994488070421,0.0071743,2300.0,200,115.055421428,1491.861854314804,2900.0,2.46232,2671.5,36.20825791358948,0.0250623,11.732,0.0291429,0.0970157,0.828853
34.7606999874115,0.995252666416,0.0357929,2300.0,200,110.171457284,1526.6334900856018,3000.0,2.47689,2671.5,34.44307065010071,-0.00884023,11.9042,-0.00390534,0.900516,0.834902
36.24210834503174,0.995011172375,0.025057,2400.0,200,114.455231423,1562.8920669555664,3000.0,2.47494,2670.0,35.97724652290344,-0.00611497,11.881,0.000673456,0.463237,0.834077
37.01331686973572,0.994229290931,0.0145251,2300.0,200,118.422970745,1599.9187998771667,2900.0,2.47528,2676.0,36.68535280227661,-0.0103435,11.885,-0.00671924,0.624823,0.834243
34.50577783584595,0.994903179659,0.0572909,2300.0,200,114.764977236,1634.4384455680847,2900.0,2.47192,2673.0,34.17455291748047,-0.0076131,11.8452,-0.000526171,1.13412,0.832876
34.93867373466492,0.994391712598,0.00712375,2300.0,200,124.473892845,1669.3938794136047,3000.0,2.47166,2667.5,34.7332546710968,-0.017797,11.842,-0.014611,0.182163,0.832721
35.69193768501282,0.995065976465,0.0410113,2300.0,200,120.290273921,1705.092081785202,3000.0,2.46435,2680.5,35.3346962928772,-0.0127698,11.7559,-0.00563815,0.555038,0.829685
35.025168657302856,0.994626425419,0.0365155,2300.0,200,119.209898918,1740.140733242035,3100.0,2.46153,2683.0,34.76707148551941,-0.00287735,11.7228,0.00423703,0.765732,0.828517
36.39513921737671,0.994657274029,0.0461103,2300.0,200,116.592238164,1776.5444741249084,3000.0,2.46365,2667.5,36.09843373298645,-0.0248241,11.7476,-0.0188462,1.40946,0.829367
34.78115367889404,0.99464191962,0.0287497,2300.0,200,119.036759028,1811.3505096435547,2900.0,2.45423,2680.5,34.46050500869751,-0.00504656,11.6374,0.000844155,0.402126,0.825487
35.20547389984131,0.994743838496,0.0132968,2300.0,200,109.589004923,1846.573076248169,2900.0,2.45465,2684.5,34.867300033569336,-0.00933395,11.6424,-0.00560245,0.659002,0.825664
35.41639709472656,0.994815189827,0.0213586,2400.0,200,119.372316724,1882.0081219673157,3000.0,2.45185,2675.5,35.121885776519775,0.00838305,11.6098,0.0143567,0.504179,0.824487
