MinReturn,MaxReturn,AverageReturn,ExplainedVariance,Perplexity,AveragePolicyStd,Time,LossAfter,NumTrajs,Entropy,StdReturn,MaxKL,LossBefore,ItrTime,MeanKL
1700.0,2900.0,2442.0,0.982938747747,12.9497,0.870886,551.8501152992249,-0.0599062,200,2.56107,217.108267922,0.0961211,-0.0459381,16.668357133865356,0.0255739
1900.0,2900.0,2477.5,0.985120515894,12.6557,0.860989,568.5913829803467,-0.0974779,200,2.5381,203.822839741,0.126398,-0.0776642,16.538931131362915,0.0387087
2100.0,2900.0,2564.5,0.991618717124,12.1736,0.844379,585.4501483440399,-0.0258842,200,2.49927,156.492012576,0.00912093,-0.0226657,16.676294565200806,0.00369656
2000.0,3000.0,2529.0,0.9877901632,12.0364,0.839605,602.0258519649506,-0.0607972,200,2.48794,184.821535542,0.0293174,-0.0542065,16.265440225601196,0.010508
1600.0,2900.0,2580.0,0.990129409912,11.7146,0.828333,618.6356065273285,-0.0228216,200,2.46083,177.200451467,0.0139814,-0.0188473,16.412813901901245,0.00639425
2000.0,2900.0,2581.5,0.990374573555,11.6047,0.824491,635.149144411087,-0.0325869,200,2.45141,175.806001035,0.094121,-0.0239332,16.301241874694824,0.0260791
1900.0,2900.0,2600.0,0.992273480693,11.4667,0.819612,651.5234797000885,-0.0502116,200,2.43945,142.828568571,0.0587493,-0.0419605,16.182963371276855,0.0164426
2200.0,2900.0,2623.0,0.993996017484,11.2286,0.811113,668.4607381820679,-0.0431818,200,2.41846,137.007299076,0.00443344,-0.0413094,16.744511365890503,0.0010767
2300.0,2900.0,2630.0,0.992801942359,10.9991,0.802782,685.4297380447388,-0.0197938,200,2.39781,138.924439894,0.0716375,-0.0154152,16.772051095962524,0.0153319
2200.0,2900.0,2632.5,0.993139863081,10.9146,0.799697,702.4842233657837,-0.0324127,200,2.3901,134.140784253,0.0835818,-0.0251719,16.849119663238525,0.0247048
2300.0,3000.0,2648.0,0.993471822208,10.7781,0.794569,719.4601144790649,-0.0285358,200,2.37752,138.910042833,0.118301,-0.0193985,16.771818161010742,0.0325093
2300.0,3000.0,2654.0,0.994280314449,10.6741,0.790829,737.5336527824402,-0.01726,200,2.36782,115.256236274,0.0339366,-0.0155487,17.880045175552368,0.0053292
2200.0,3000.0,2655.0,0.994239138266,10.5914,0.787696,754.4866344928741,-0.0247963,200,2.36004,139.194109071,0.06608,-0.0207695,16.756361722946167,0.0135482
2300.0,2900.0,2662.0,0.994311607447,10.482,0.783618,771.3196229934692,-0.030964,200,2.34966,123.515181253,0.0117617,-0.0297371,16.6527738571167,0.00248631
2300.0,3000.0,2650.5,0.994041860137,10.3273,0.777753,788.2270476818085,-0.0210312,200,2.33479,131.147817367,0.00584742,-0.0189902,16.716902256011963,0.00243749
2300.0,3000.0,2665.0,0.994631590011,10.2297,0.774167,805.5684561729431,-0.0114973,200,2.32529,122.372382505,0.0136382,-0.00984447,17.023341417312622,0.00399082
2100.0,3000.0,2656.5,0.993555714076,10.1795,0.772362,822.2117257118225,-0.0422645,200,2.32037,138.049809851,0.053267,-0.0374882,16.440664291381836,0.0171996
2200.0,3000.0,2675.0,0.994667527202,9.99044,0.765232,838.7832989692688,0.00890106,200,2.30163,118.215904175,0.00875847,0.00962432,16.37337899208069,0.00153823
