0AveragePolicyStd,0AverageReturn,0ProcessExecTime,1PolicyExecTime,1ProcessExecTime,0Entropy,ComputeUpdatedDistTime,dLoss,MeanKLBefore,1AverageReturn,0EnvExecTime,1AveragePolicyStd,MeanKL,ItrTime,1MaxReturn,0ExplainedVariance,Time,0StdReturn,1StdReturn,0NumTrajs,1NumTrajs,1Entropy,1Perplexity,0MaxReturn,1MinReturn,0PolicyExecTime,0MinReturn,1EnvExecTime,1ExplainedVariance,0Perplexity,LossBefore,LossAfter
1.0,68.6,6.519880533218384,288.16094493865967,6.5452306270599365,2.83788,1.0888221263885498,0.00201002776157,-2.22644369607e-09,84.25,146.19722533226013,0.999309,0.00636960100383,822.6683955192566,9400.0,0.0287212387335,822.6683902740479,576.692326982,588.92863532,2000,2000,2.83649,17.0558,11400.0,0.0,199.54167246818542,0.0,150.16902494430542,0.0423470988993,17.0794,2.21189111471e-09,-0.00201002554968
1.0002,303.3,6.6625895500183105,288.8774571418762,6.549790382385254,2.83829,0.2989790439605713,0.00155871516472,-2.86672996452e-09,281.25,149.92314982414246,1.00019,0.006229841616,847.6322364807129,13800.0,0.0779209387065,1674.9866409301758,1257.53294589,1183.35685129,2000,2000,2.83825,17.0859,14200.0,0.0,220.73540210723877,0.0,151.14614820480347,0.0669404149686,17.0865,-3.1286617741e-10,-0.00155871547759
1.00044,530.25,6.734393119812012,317.842839717865,7.01386833190918,2.83875,0.28852391242980957,0.00144361387356,6.98492430562e-10,491.55,149.76500344276428,1.00084,0.00733521440998,880.6345753669739,14600.0,0.0882396915026,2560.3159971237183,1857.81590517,1781.69963728,2000,2000,2.83956,17.1083,15400.0,0.0,217.5780291557312,0.0,157.67552065849304,0.0846400694481,17.0944,9.02218744159e-10,-0.00144361297134
1.00132,703.75,6.9469287395477295,304.75081038475037,6.833112001419067,2.84052,0.2559816837310791,0.00172359018325,3.52887830068e-10,932.75,153.9006905555725,0.99991,0.0067190984264,887.415647983551,18900.0,0.0916528869315,3453.1568977832794,2259.13721086,2665.02953783,2000,2000,2.8377,17.0764,17900.0,0.0,235.172465801239,0.0,155.6322684288025,0.110417225985,17.1246,1.09139364213e-10,-0.00172359007411
0.995978,868.5,6.993563413619995,302.4400486946106,6.894608020782471,2.8298,0.24993538856506348,0.00255134805411,-2.5884197008e-09,1188.8,153.99717235565186,0.996649,0.00808840990067,886.9063801765442,19800.0,0.0919789232343,4344.8156723976135,2904.09671843,3303.12799631,2000,2000,2.83113,16.9647,19900.0,0.0,237.2377588748932,0.0,155.33254861831665,0.131454756609,16.9421,-1.52431312017e-09,-0.00255134957843
0.992089,1139.85,6.976893901824951,301.8820674419403,6.873156547546387,2.8219,0.2420637607574463,0.0016967185984,-1.0768427261e-09,1730.95,153.14334511756897,0.991939,0.00841140374541,884.9720435142517,20900.0,0.102817298988,5234.78998875618,3377.43348972,4277.44399116,2000,2000,2.82161,16.804,20600.0,0.0,236.55521273612976,0.0,155.55650210380554,0.152910435278,16.8088,4.40195435658e-10,-0.0016967181582
0.990965,1666.0,7.043683290481567,301.7837634086609,6.877285480499268,2.81958,0.2502424716949463,0.00167210117797,-3.31783756025e-09,3021.35,153.5873100757599,0.991662,0.00682658702135,886.5034885406494,22400.0,0.0873898595471,6126.197844743729,4211.21170211,5734.96810606,2000,2000,2.82095,16.7929,21200.0,0.0,236.98765325546265,0.0,156.01204204559326,0.158691129482,16.7698,-2.61934474111e-10,-0.00167210143991
0.985484,1879.35,7.009392023086548,303.29953813552856,6.93543553352356,2.80855,0.2592151165008545,0.00229018754271,1.9790626915e-09,3904.3,154.13554644584656,0.985703,0.00814063847065,889.1112785339355,21800.0,0.103351670889,7020.4818522930145,4532.7506635,6440.03505503,2000,2000,2.80899,16.5932,21200.0,0.0,237.04034543037415,0.0,156.7180585861206,0.183948630682,16.5859,1.39152689371e-10,-0.00229018740356
0.977295,2445.5,6.9692723751068115,297.98699259757996,6.526215314865112,2.79178,0.23803019523620605,0.00166250580151,-2.58441890111e-08,4261.4,153.91985821723938,0.976148,0.00794183928519,881.8596675395966,22300.0,0.0921756642747,7907.685757398605,5461.08411856,7077.03681211,2000,2000,2.78941,16.2715,21800.0,0.0,237.5304877758026,0.0,154.6989779472351,0.154234375742,16.3101,1.52431312017e-09,-0.00166250427719
0.972453,2179.2,6.577476978302002,297.6875774860382,6.482205390930176,2.78188,0.259976863861084,0.00290853516344,-3.25963434022e-08,4979.75,151.88806223869324,0.971469,0.00857001915574,878.0294969081879,22400.0,0.0732992689815,8790.653922319412,4717.98445949,7741.24828032,2000,2000,2.77986,16.1167,21200.0,0.0,237.40714764595032,0.0,154.04131937026978,0.180182714518,16.1493,-1.76805770025e-09,-0.0029085369315
0.962836,1940.45,6.630605459213257,296.35452461242676,6.492742300033569,2.762,0.2585759162902832,0.002309219577,9.31325128128e-10,5688.2,151.73422813415527,0.961464,0.00848737359047,877.3162496089935,22800.0,0.0808746771182,9672.785522937775,4540.908367,7880.22212631,2000,2000,2.75914,15.7862,20700.0,0.0,238.11698842048645,0.0,154.15767908096313,0.229334139396,15.8316,-3.34694050252e-10,-0.00230921991169
0.95714,2245.05,6.563387393951416,297.2937502861023,6.4713454246521,2.74995,0.24497389793395996,0.00391579819552,-4.65661564863e-10,5289.95,152.7127001285553,0.955875,0.00662262318656,879.3991985321045,22900.0,0.0909302832536,10556.88467001915,5092.92798864,8142.96407934,2000,2000,2.74725,15.5996,21700.0,0.0,237.96925973892212,0.0,154.68452429771423,0.237672834408,15.6419,-6.54836185277e-10,-0.00391579885036
0.948427,2570.35,6.5973241329193115,296.9160530567169,6.504046440124512,2.73146,0.24787616729736328,0.0025596866908,-4.65660576765e-09,6257.55,151.83730816841125,0.947655,0.00704551395029,878.7411720752716,22900.0,0.0722108484246,11440.559792995453,5322.3346266,8720.85219445,2000,2000,2.72982,15.3301,21100.0,0.0,238.40490770339966,0.0,154.82154178619385,0.225041875336,15.3554,6.11180439591e-10,-0.00255968607962
0.939062,2061.7,6.627366781234741,296.9587502479553,6.505390882492065,2.7114,0.2594771385192871,0.00252142296813,2.15105711021e-16,7306.95,151.5778148174286,0.937567,0.00676282402128,879.761522769928,23300.0,0.0822315092393,12325.409451723099,4506.65209551,9034.21699416,2000,2000,2.70822,15.0025,22000.0,0.0,239.51958012580872,0.0,154.88744187355042,0.320411858544,15.0503,-1.58615875989e-09,-0.00252142455429
0.944734,2540.4,6.612476348876953,296.19282364845276,6.449930667877197,2.72288,0.2573056221008301,0.00254492048407,3.72529340709e-09,7163.8,152.8475239276886,0.944619,0.00861639715731,879.780859708786,23200.0,0.0581404280526,13210.045865058899,5226.59237362,9245.97747996,2000,2000,2.72262,15.2201,22700.0,0.0,239.31035375595093,0.0,154.7044677734375,0.290942048338,15.2241,-6.40284270048e-10,-0.00254492112435
0.93924,2262.25,6.593516826629639,295.5996661186218,6.467600345611572,2.7111,0.28062891960144043,0.00309720367659,-6.46704911844e-15,7260.8,154.10757684707642,0.938507,0.00715173827484,880.6849427223206,23500.0,0.0652578380912,14095.370374679565,4809.33986504,9396.9890582,2000,2000,2.7095,15.0218,21900.0,0.0,238.91827416419983,0.0,155.22701740264893,0.331789769696,15.0457,1.51339918375e-09,-0.00309720216319
0.935579,2595.3,6.557744741439819,296.3484191894531,6.515698432922363,2.70367,0.25698375701904297,0.0034558597481,3.72528696779e-09,5608.25,152.45546340942383,0.935426,0.0098284939304,877.737669467926,23400.0,0.0691983026282,14978.26557469368,5295.34398411,9473.78208201,2000,2000,2.70337,14.93,22100.0,0.0,236.98028659820557,0.0,155.32735347747803,0.295396543719,14.9345,3.71983333025e-10,-0.00345585937612
0.927443,2621.0,6.5939905643463135,294.9503619670868,6.4581618309021,2.68558,0.2514035701751709,0.0028709866092,9.31321297859e-10,6102.4,152.01935601234436,0.927467,0.0098227225244,877.6252315044403,23500.0,0.0557985362056,15860.714825630188,5309.24467321,9843.18923114,2000,2000,2.68558,14.6667,22500.0,0.0,237.94494318962097,0.0,156.17717480659485,0.278574412987,14.6667,-5.60248736292e-10,-0.00287098716944
0.923675,2405.25,6.619388580322266,294.00595355033875,6.497398138046265,2.67734,0.25324177742004395,0.00297434238018,-3.72528519144e-09,8515.05,154.57480025291443,0.922645,0.0073348605074,881.2398626804352,23700.0,0.0638306562287,16746.685116052628,4989.81537108,10616.9147353,2000,2000,2.67509,14.5137,21500.0,0.0,239.7275893688202,0.0,155.90909790992737,0.347299202318,14.5463,9.89530235529e-10,-0.00297434139065
0.923706,2266.7,6.618706703186035,295.3229808807373,6.52935791015625,2.67761,0.26241183280944824,0.00217919633724,-3.72529918025e-09,9984.6,152.59988808631897,0.922737,0.00673846667632,878.9334671497345,23800.0,0.0579057427356,17630.38038635254,4863.93987525,11013.5118305,2000,2000,2.67557,14.5207,23300.0,0.0,237.6905698776245,0.0,156.33033323287964,0.4123786407,14.5503,6.98491930962e-10,-0.00217919563875
0.917037,2346.1,6.675177335739136,294.60385370254517,6.493108749389648,2.66299,0.2454524040222168,0.00199021599838,-9.31321297859e-10,10512.85,153.20375633239746,0.916414,0.00696986867115,880.1091001033783,23800.0,0.0632730617076,18515.20531964302,4956.66569278,11151.368072,2000,2000,2.66161,14.3193,22500.0,0.0,239.26812529563904,0.0,156.03522276878357,0.411914752637,14.3391,-3.20142135024e-10,-0.00199021631852
0.905251,2364.35,6.628278970718384,293.9127588272095,6.449402570724487,2.63659,0.2542734146118164,0.0025088807306,-1.49011665229e-08,10828.3,155.28564977645874,0.904821,0.00986563693732,881.6345131397247,23900.0,0.0686770915518,19401.522381067276,5046.80929672,11269.7106933,2000,2000,2.63565,13.9524,23000.0,0.0,239.55367279052734,0.0,156.06160068511963,0.424898043435,13.9654,-5.3842086345e-10,-0.00250888126902
0.888939,1952.1,6.598559617996216,303.19757652282715,6.528984069824219,2.59967,0.2722325325012207,0.00206886073283,0.0,10870.85,153.25240445137024,0.889374,0.00697157485411,878.1352469921112,24100.0,0.0940069580701,20284.52965760231,4699.0441145,11282.9993919,2000,2000,2.60068,13.4729,23300.0,0.0,227.9647958278656,0.0,156.80284070968628,0.457144892232,13.4592,-6.54836185277e-10,-0.00206886138767
0.879218,2278.75,6.628942251205444,303.99411129951477,6.49205470085144,2.57749,0.3882927894592285,0.00393237147364,7.4505939196e-09,9261.65,153.77133750915527,0.879195,0.00709887361154,876.3546130657196,24200.0,0.0790147249949,21165.450077056885,4960.3773483,10447.5042128,2000,2000,2.57748,13.164,23200.0,0.0,225.9236867427826,0.0,155.62954926490784,0.340414271337,13.164,2.03726813197e-10,-0.00393237126991
0.869827,2133.75,6.607217073440552,309.26020860671997,6.441171884536743,2.55556,0.24136829376220703,0.00423965701611,0.0,8021.75,155.5271828174591,0.869515,0.00691483588889,876.1832242012024,24200.0,0.0737862759628,22046.042135715485,4674.36476299,10049.1473239,2000,2000,2.55487,12.8697,23500.0,0.0,219.01703643798828,0.0,155.60364651679993,0.305214293378,12.8785,1.91630533664e-09,-0.00423965509981
0.863815,1620.8,6.552198171615601,318.1584162712097,6.5287086963653564,2.54106,0.24529099464416504,0.00157972581655,1.86264237367e-09,10911.1,153.36873769760132,0.864149,0.00719860428944,874.4428942203522,24100.0,0.0764188435023,22924.817152500153,3855.05348342,11368.6633687,2000,2000,2.54186,12.7033,21800.0,0.0,209.4374680519104,0.0,156.80735635757446,0.464107955086,12.6931,5.16592990607e-10,-0.00157972529996
0.843393,1196.95,6.526401519775391,317.73389649391174,6.4183595180511475,2.49208,0.24287867546081543,0.00179692813708,-3.72528474735e-09,10628.2,155.15703797340393,0.843594,0.00631167599931,874.6904308795929,24100.0,0.0992689658713,23804.127753973007,3218.06552101,11166.097114,2000,2000,2.49262,12.0929,20600.0,0.0,209.54460215568542,0.0,155.44528317451477,0.473346238784,12.0864,1.35514710564e-10,-0.00179692800157
0.833975,1541.25,6.590771913528442,317.8566439151764,6.453295946121216,2.46849,0.2473595142364502,0.00163329599309,-1.86264259572e-09,10291.5,154.0426971912384,0.834561,0.0077741406858,874.4919829368591,24200.0,0.0771850489141,24683.67977786064,3446.51322898,11183.4966692,2000,2000,2.46993,11.8217,21200.0,0.0,209.6985855102539,0.0,156.1528263092041,0.446612398905,11.8046,-9.60426405072e-10,-0.00163329695351
0.819877,1183.1,6.570750713348389,321.5030343532562,6.43918514251709,2.4338,0.3892192840576172,0.00453610537807,0.0,6927.6,156.07200360298157,0.820226,0.00874386262149,873.3050825595856,24300.0,0.0954776721526,25561.662354707718,2867.93381897,9860.32292777,2000,2000,2.4347,11.4124,17400.0,0.0,203.20965123176575,0.0,156.02609992027283,0.398650675403,11.4021,9.89530235529e-10,-0.00453610438854
0.81769,1513.55,6.561248302459717,326.207156419754,6.502878904342651,2.42795,0.25391292572021484,0.00129745180311,-1.8626424847e-09,5890.85,154.2997019290924,0.817895,0.00648013083264,873.0300416946411,24200.0,0.0784224208277,26439.49403333664,3269.99868463,10202.7526324,2000,2000,2.4284,11.3407,19400.0,0.0,199.88796281814575,0.0,156.06590938568115,0.342392864779,11.3356,-1.38243194669e-09,-0.00129745318554
0.809014,1766.4,6.59004545211792,325.23414063453674,6.416450500488281,2.40675,0.25795722007751465,0.00116332992548,0.0,10441.15,155.4694287776947,0.808922,0.0071415277198,873.8235943317413,24100.0,0.046509247463,27317.66078186035,3520.49443118,11356.3172586,2000,2000,2.40661,11.0962,19700.0,0.0,200.12303400039673,0.0,156.57152581214905,0.423922878623,11.0979,2.29192664847e-10,-0.00116332969628
0.789742,1132.45,6.553478240966797,328.6453585624695,6.4967076778411865,2.35753,0.2502281665802002,0.00216867527342,3.72528519144e-09,10260.35,154.98745775222778,0.789881,0.00817195139825,878.0880296230316,24200.0,0.0569886931609,28200.544417142868,2919.49002353,11500.8966119,2000,2000,2.35796,10.5693,21200.0,0.0,200.46224427223206,0.0,157.46231317520142,0.474942571688,10.5648,1.48429535329e-09,-0.00216867378913
0.785273,1239.0,6.57132363319397,327.5269682407379,6.423842191696167,2.34568,0.2519543170928955,0.00216927804468,3.7252845253e-09,11302.1,156.0066225528717,0.78536,0.00643268367276,876.1619417667389,24200.0,0.0683553623952,29081.331299066544,2856.31738433,11628.8707788,2000,2000,2.346,10.4437,18600.0,0.0,199.75155782699585,0.0,156.36989426612854,0.487062631924,10.4404,9.91349224932e-10,-0.00216927705333
0.778786,1492.7,6.534709215164185,326.1617012023926,6.511051654815674,2.32769,0.24414682388305664,0.00175088937976,3.72528430326e-09,9879.9,154.34808015823364,0.779598,0.00672229239717,873.2523877620697,24200.0,0.0587976107079,29959.27705001831,2970.3815765,11247.2492633,2000,2000,2.32979,10.2758,14900.0,0.0,199.83865761756897,0.0,156.4915533065796,0.431238754473,10.2543,-5.52972778678e-10,-0.00175088993274
0.766955,1202.8,6.549234867095947,327.9357054233551,6.476542711257935,2.29353,0.25682520866394043,0.00146803358803,0.0,10757.0,154.3852298259735,0.767603,0.00770403910428,873.6825926303864,24200.0,0.0735577750296,30837.531421661377,2676.17491207,11405.0581322,2000,2000,2.29519,9.92632,13100.0,0.0,199.11772894859314,0.0,155.72897720336914,0.479620002667,9.90989,5.23868948221e-10,-0.00146803306416
